source_doc_id,cited_doc_id,type_of_reference,details
R1-2409814,R1-2409424,Contribution,Huawei/HiSilicon's proposals on LP-WUS procedures.
R1-2406062,TR38.901,Technical Report,Baseline channel model specification for 0.5-100 GHz frequencies
R1-2401420,R1-2312622,Previous Agreement,Summary #3 on dynamic switching between DFT-S-OFDM and CP-OFDM (RAN1#115).
R1-2400696,arXiv:2312.15174,Preprint,Overview of 5G-Advanced evolution in 3GPP Release 19.
R1-2400039,38.213,Technical Specification,"NR Physical layer procedures for control (Clauses 7.4, 8.1)"
R1-2407022,R1-2307916,Previous evaluation,Qualcomm's prior work on AI/ML CSI feedback evaluation
R1-2410090,TR 38.848,Technical Report,Release 18 study on Ambient IoT requirements
R1-2400489,TR 38.848,Technical Report,Base document for Ambient IoT SI objectives.
R1-2401771,TR 21.900,Technical Report,3GPP change request categorization guidelines
R1-2407142,RP-234039,Citation,New WID on AI/ML for NR Air Interface approved at RAN#102
R1-2405220,38.212,Technical Specification,NR multiplexing and channel coding
R1-2409082,TS38.213,Technical Specification,Clause 11.1 provides timeline requirements for dynamic DL/SFI cancellations.
R1-2407951,RP-234039,Citation,New WID on AI/ML for NR Air Interface (Rel-19)
R1-2408850,R11,Technical Paper,Low-Power Continuously-Calibrated Clock Recovery Circuit for RFID
R1-2409611,TR38.901,Technical Report,Baseline channel model for 0.5-100 GHz frequencies
R1-2401246,RP-234035,Work Item,Rel-19 WID approval for NR duplex evolution
R1-2405227,RP-240775,Work Item Description,Revised WID for NTN Phase 3 specifications
R1-2406674,R1-2400035,LS Response,SA5 LS on model management considerations
R1-2408195,R1-2311537,Citation,Intel's proposal on angle scaling methodology.
R1-2400553,RP-234007,Work Item Description,New WID for NR MIMO Phase 5 enhancements
R1-2405283,3GPP TR 38.843,Technical Report,Rel-18 study on AI/ML for NR air interface.
R1-2402554,RP-234039,WID,New WID on AI/ML for NR Air Interface approved at RAN#102
R1-2403165,38.214,Technical Specification,Defines UE assumptions for CDM group usage in PDSCH.
R1-2406093,RP-234058,Study Item Approval,New SID approval for Ambient IoT at RAN#102
R1-2407755,RP-234007,WID,New WID for NR MIMO Phase 5 specifications
R1-2408797,RP-242348,Citation,Revised SID for ISAC channel modeling study
R1-2405465,R1-2403951,Contribution,Huawei's discussion on RRM-aware scheduling enhancements
R1-2407405,R1-2407407,Change Request,CR proposing FR2-NTN alignment with FR2-1 procedures.
R1-2408279,TS 38.214,Technical Specification,Physical layer procedures for data channels
R1-2406110,RP-234078,Work Item Description,NTN Phase 3 WID approved at RAN#102
R1-2404776,R1-240XXXX,Previous Meeting Report,Draft Report of 3GPP TSG RAN WG1 #116b v0.3.0
R1-2409692,RP-234069,Study Item Description,New SID on ISAC channel modeling
R1-2409796,RP-234035,Work Item,Initial SBFD work item proposal for Rel-19
R1-2407436,NR_redcap,Work Item,Support of reduced capability NR devices work item
R1-2404273,TR 38.843,Technical Report,Study on AI/ML for NR air interface
R1-2406865,RP-241667,Revised WID,Non-Terrestrial Networks (NTN) for NR Phase 3
R1-2400039,38.321,Technical Specification,MAC protocol specifications for PHR procedures
R1-2403142,RP-240799,Study Item,Revised SID on ISAC channel modeling
R1-2406829,TR 38.843,Technical Report,Study on AI/ML for NR air interface
R1-240XXXX,RP-241624,Related Work,Outlines IoT-NTN Phase 3 objectives.
R1-2402093,R1-2401591,Previous Summary,Feature lead summary on multi-cell scheduling
R1-2400237,RP-234007,Work Item Dependency,New WID: NR MIMO Phase 5 from RAN#102
R1-2408701,RP-240826,Background,Revised SID on Ambient IoT in Rel-19
R1-2410878,38.331,Technical Specification,Source of ssb-PerRACH-Occasion-r18 parameter
R1-240xxxx,38.214,Technical Specification,3GPP TS 38.214 containing the disputed Clause 6.2.1
R1-2401636,RP-223549,Work Item Description,New WID on expanded and improved NR positioning
R1-2408727,R1-2401844,RAN1 Summary,FL Summary on NR-NTN downlink coverage enhancements
R1-2404616,RAN1#116-bis,Meeting Notes,Discussed agreements on SBFD RA operation.
R1-2409524,R1-2406000,Previous Contribution,Channel modeling methodology for ISAC by CMCC/BUPT.
R1-2410884,R1-2409689,Contribution,vivo's initial LP-WUS/LP-SS design proposal
R1-2408939,R1-2401835,Previous Meeting Summary,FL Summary for Ambient IoT Device Architecture from RAN1 #116-bis
R1-2407020,TS 38.215,Technical Specification,NR physical layer procedures for control
R1-2401160,TR 38.848,Technical Report,Study on Ambient IoT in RAN (Release 18)
R1-2406001,RP-241515,Work Item Description,Revised Work Item for NR mobility enhancements Phase 4
R1-2400694,TR 38.843,Technical Report,Study on AI/ML for CSI prediction in Rel-18.
R1-2405689,R1-2404160,Contribution,Maintenance on Further NR Coverage Enhancements
R1-2408939,TR-38.869,Technical Report,Study on low-power wake-up receiver for NR
R1-2407164,TS 37.213,Technical Specification,Defines channel access procedures for NR-U operation
R1-2401731,R1-2401796,Discussion Summary,Captures RAN1#116 agreement on CFR applicability.
R1-2402130,TR 38.901,Baseline Specification,3GPP channel model technical report used as foundation
R1-246130,RP-241667,WID Specification,Revised Work Item Description for NR NTN Phase 3
R1-2403126,RP-234056,Work Item Description,Approved WID on low-power wake-up signal and receiver for NR
R1-2404883,3GPP TS 38.104,Standard,Base station frequency error requirements (0.05–0.1 ppm).
R1-24xxxxx,R1-2408998,Measurement Data,Compilation of data sources for channel model validation
R1-2408059,RP-234069,Study Item,Rel-19 ISAC channel modeling study approval
R1-2405761,38.214,Congestion control reference,Congestion control processing time definition
R1-2410021,TR 38.843,Technical Report,Rel-18 study on AI/ML for air interface
R1-2408615,R2-2407848,Citation,LS on applicable functionality reporting for beam management UE-sided model.
R1-2409632,TR38.858,Technical Report,Study on Evolution of NR Duplex Operation
R1-2401063,RP-234069,Citation,New SID on ISAC channel modeling
R1-2407815,RAN1#116,Meeting Note,Chairman's notes from RAN1#116 meeting
R1-2401835,R1-2400057,Contribution,Spreadtrum's proposal on device architectures
R1-2400427,3GPP TS 36.211,Technical Specification,Physical layer procedures for NPRACH/NPUSCH
R1-2405521,R1-2401691,Meeting Report,RAN1#116 discussion summary
R1-2403350,38.213,Technical Specification Amendment,TS 38.213 clause 8.1 modifications for MAC-CE triggered PRACH.
R1-2401527,TS38.211,Technical Specification,Physical layer procedures for NR
R1-2407790,TS 38.331,Normative,Defines RRC parameters tag2-Id and tag-Id-ptr
R1-2402444,TR 21.900,Citation,Specifies CR categories and approval guidelines.
R1-2407909,Chairman’s notes RAN1#118,Citation,References prior observations on CW node control characteristics.
R1-2400056,38.830,Technical Report,TR on NR coverage enhancements in Release 17
R1-2405338,38.214,Technical Specification,Referenced for quasi-co-location (QCL) requirements
R1-2409656,TS 38.213V16.7.0,Specification,Referenced for UL full power transmission mode 0 rules
R1-2407995,R1-2407438,Liaison Statement,Final LS on on-demand SSB SCell operation.
R1-2404573,TR 36.777,UAV Specifications,Base parameters for UAV deployment scenarios
R1-2401430,RP-234039,Work Item,New WID on AI/ML for NR Air Interface approval
38.202 CR,38.306,UE Capability Reference,UE capabilities for simultaneous reception combinations
R1-2405200,RP-234035,Related Work,New WID on Evolution of NR duplex operation
R1-2400391,38.214,Technical Specification,Clarification of CSI reference resource definition in clause 5.2.2.5
R1-2406689,RP-234065,Work Item,New WID: Enhancements of network energy savings for NR (RAN#102)
R1-2402519,RP-234056,Work Item Description,New WID for Low-power wake-up signal and receiver for NR
R1-2404721,RAN1#116bis,Meeting Notes,Chair's notes from previous RAN1 meeting
R1-2408203,RAN1#118,Meeting Agreement,L1-RSRP/SINR measurement agreements
R1-2405162,RP-234065,Related Work,Enhancements of network energy savings for NR
R1-2402075,R1-2401857,Feature Lead Summary,Summary on downlink/uplink channel aspects
R1-2410704,R1-2410330,Contribution,Initial TP for TR 38.769 conclusions
R1-240XXXX,RP-241789,Work Item,NR-NTN Phase 3 WI scope
R1-2401057,RP-234039,WID,New WID on AI/ML for NR Air-Interface
R1-2409344,R1-2407385,Feature List,RAN1 feature list for Rel-18 NR
R1-2402225,38.211,Technical Specification,Physical layer procedures for NR - Main document being amended
R1-2404038,TR 38.901,Channel model,Study on channel model for 0.5-100 GHz
R1-24xxxxx,R1-2409401,Contribution,Proposal on SRS beamforming enhancements for FR2 positioning.
R1-2409020,TS 38.211,Technical Specification,NR Physical channels and modulation
R1-2401651,38.321,3GPP Specification,MAC protocol specification for beam failure recovery
R1-2404746,38.214,Technical Specification,NR Physical layer procedures for data
R1-2400478,TR 38.821,Technical Report,NTN system simulation parameters and evaluation methodology
R1-2400978,R4-2321976,LS,RAN4 LS on UE capability support for DMRS bundling.
R1-2402639,38.214,Specification,TS 38.214 amendments for TCI state handling
R1-2402475,38.869,Technical Report,Study on low-power wake-up signal and receiver for NR
R1-2410043,RP-234039,Work Item Description,New WID on AI/ML for NR Air Interface (Release 19).
R1-2402162,RAN1#116,Meeting Notes,Previous discussion on multiplexing prioritization issues.
R1-2400394,RP-234039,Citation,Objectives for NR AI/ML enhancement framework
R1-2410311,R1-118,Previous meeting report,Draft Report of 3GPP TSG RAN WG1 #118
R1-2408085,38.214,Citation,3GPP TS 38.214 V17.11.0 - Physical layer procedures for data
R1-2402094,TR38.843,Technical Report,Study on AI/ML for NR air interface (V2.0.1)
R1-2405662,38.214,Technical Specification,NR physical layer procedures for data transmission
R1-2404886,R1-2402446,Contribution,Samsung's proposal on power assumption corrections.
R1-2408444,R1-2407603,Liaison Statement,Original LS from RAN2 regarding LTM measurement capabilities
R1-240XXXX,TS 38.214,Technical Specification,CRs for SRS configurations in clause 6.2.1
R1-2406777,RP-241667,Work Item Description,New WID for NTN Phase 3 enhancements
R1-24xxxxx,38.214,Technical Specification,Amendments to resource allocation and TCI state configurations.
R1-2401871,RP-234056,Work Item,New WID on Low-power wake-up signal and receiver for NR
R1-2404073,38.214,Technical Specification,Specification modified by this CR for PUSCH procedure alignment
R1-2408158,TR 38.843,Technical Report,Study on AI/ML for NR air interface (V2.0.0)
R1-2405302,R1-2405119,Contribution,3Tx UL transmission baseline discussion
R1-2407585,TR 38.858,Technical Report,Clarification of SBFD co-existence requirements
R1-2405652,38.211,Technical Specification,NR Physical channels and modulation
R1-2405697,TR 36.777,Parameter Source,Aerial UE parameters for UAV scenarios.
R1-2406199,R1-117,Previous Meeting,RAN1 #117 agreements on channel model parameters
R1-240xxxx,R1-2401391,Contribution,Discussion on remaining issues for RedCap configurations.
R1-2409588,RP-242394,WID,Revised WID for NR MIMO Phase 5 enhancements.
R1-2410789,38.211,Technical Specification,PT-RS mapping procedures for DFT-S-OFDM
R1-2408967,TR38.848,Citation,"Study on Ambient IoT in RAN, covering use cases and requirements."
R1-240XXXX,R1-2407593,Contribution,MediaTek LS on data block sizes for Ambient IoT
R1-2408221,TR 38.843,Technical Report,Study on AI/ML for NR air interface
R1-2402335,RP-234065,Prior Work,New WID: Enhancements of network energy savings for NR (RAN#102)
R1-2401402,RP-234058,Study Item Description,New SID for Ambient IoT solutions in NR
R1-2405284,38.843,Technical Report,Study on AI/ML for NR air interface (Release 18)
R1-2400211,RP-234056,Work Item Description,New WID: Low-power wake-up signal and receiver for NR (LP-WUS/WUR)
R1-2405399,R1-2311072,Contribution,Previous discussion on SRS transmission occasions
R1-2403622,R2-2401919,Citation,LS from RAN2 on SLPP decisions
R1-2409639,RP-234058,Study Item,New SID on Ambient IoT approved at RAN#103
R1-2405306,TS 38.321,Technical Specification,NR Medium Access Control (MAC) protocol specification
R1-2405950,RAN1 #117,Previous Agreement,Baseline agreements on performance monitoring approaches
R1-2405052,R1-2401872,LS,Summary #4 (final) on LP-WUS operation in IDLE/INACTIVE mode.
R1-2410478,R1-2410477,Companion Document,Evaluation assumptions for Ambient IoT
R1-2400278,RP-234007,Work Item Dependency,NR MIMO Phase 5 WID defining UE-initiated beam management objectives
R1-2405128,38.214,Technical Specification,SIB1 PDSCH time domain resource indexing
R1-2406085,TR 38.901,Channel modeling framework,Used for stochastic cluster generation and LOS probability determination.
R1-2408740,RP-234007,WID,Rel-19 WID on NR MIMO Phase 5 enhancements.
R1-2409618,R1-2409039,Feature summary,Feature lead summary #2 on IoT-NTN TDD mode
R1-2409459,RP-242394,WID Revision,NR MIMO Phase 5 Work Item Description
R1-2410813,R1-2409401,Technical Contribution,Enhancement of SRS beamforming for FR2 positioning
R1-2401013,RP-234035,Work Item,Rel-19 SBFD work item description
38.202 CR,38.321,Alignment Requirement,References RNTI configuration requirements for multicast
R1-2409442,TR 38.901,Baseline Model,Channel model for 0.5-100 GHz frequencies
R1-2409777,RP-242348,3GPP Work Item,Study on channel modelling for ISAC in NR
R1-2403314,38.214,Normative,Physical layer procedures for data transmission
R1-2404634,R1-2404417,Contribution,BUPT/CMCC measurements on multi-link scattering characteristics
R1-2407059,38.869,Technical Report,3GPP TR on low-power wake-up receiver study
R1-2408805,38.300,Technical Specification,NR Overall Description
R1-2407498,R1-2405839,Contribution,Huawei's discussion on HD-FDD RedCap issues
R1-2400233,TR38.843,Technical Report,Study on AI/ML for NR air interface (Release 18)
R1-2407051,R1-2404609,Contribution,Xiaomi's analysis of OCC performance
R1-2403449,R1-2402055,Contribution,Draft CR for Parameter Name Alignment in TS 38.214
R1-2404676,RP-234058,Study Item Description,New SID on Ambient IoT solutions in NR
R1-2408933,RAN1#117,Prior Agreement,Initial waveform comparison requirements
R1-2407567,TS 38.202,Technical Specification,Target specification for editorial corrections related to downlink reception types.
04752,38.213,Technical Specification,NR Physical layer procedures for control
R1-2407874,RP-234039,WID Citation,NR AI/ML Air Interface work item description
R1-2404839,38.331,Technical Specification,NR Radio Resource Control (RRC) protocol specification
R1-2400406,RP-234007,Work Item Dependency,New WID: NR MIMO Phase 5 (RAN#102)
R1-2407943,R1-2407593,Citation,RAN2 LS inquiring about TBS requirements for Ambient IoT.
R1-2406696,RAN1#117,Previous agreement,Chairman's notes from RAN1#117 meeting on SSB adaptation
R1-2409771,R1-2300384,Previous Contribution,Layer-1 Enhancements for L1/L2-triggered Mobility
R1-2400316,RP-234039,Work Item Description,New WID on AI/ML for NR Air Interface approved at RAN#102
R1-2400460,TR 38.848,Technical Basis,Study on Ambient IoT requirements and deployment scenarios
R1-2408610,38.214,Technical Specification,NR Physical layer procedures for data (v18.2.0)
R1-2410372,TR 38.869,Technical Report,Base definitions for OOK modulation variants
R1-2400849,Wireless Communications (2nd. ed.),Textbook,Andreas F. Molisch's reference on wireless channel modeling.
R1-2401376,R2-2313621,Liaison Statement,RAN2 agreement on UE autonomous CSI reporting carrier selection
R2-2401722,38.214,Normative,TBoMS parameter specifications
R1-2407545,38.213,Technical Specification,Base specification for physical layer procedures
R1-2408322,RP-234056,Work Item Description,Rel-19 LP-WUS standardization WID
R1-2401419,38.213,Technical Specification,"Referenced for PUSCH/PUCCH cancellation clauses 9, 11.1, 11.2A"
R1-2408699,RP-240826,Revised SID,Study on solutions for Ambient IoT in NR
R1-2403767,RP-240826,Revised Study Item Description,Rel-19 Study on solutions for Ambient IoT in NR
R1-2405825,TR 38.848,Citation,Initial Ambient IoT study technical report
R1-2405807,RP-234056,Work Item Description,New WID on Low-power Wake-up Signal and Receiver for NR approved at RAN#102
R1-2400425,TS 38.214,Technical Specification,Configured grant slot counting procedures
S2-2403444,TS 28.310,Technical Specification,SA5's updated energy efficiency specification
R1-2405549,TR 38.848,Technical Report,Base document for Ambient IoT requirements
R1-2406047,RP-234069,Study Item,Release 19 ISAC channel modeling requirements
R1-2404963,RP-234058,Citation,New SID on Study for Ambient IoT solutions in NR approved at RAN#102
R1-2410481,R1-2410479,Contribution,General aspects of physical layer design by Qualcomm
R1-2401367,RP-213599,Study Item,Rel-18 Study Item on AI/ML for NR Air Interface
R1-2401617,R1-2400869,Citation,Proposed CR for HD-FDD corrections by NEC
R1-2410229,RAN1#118bis chairman’s note,Meeting minutes,Discussions on NES cell identification.
R1-2405920,RP-234056,WID Reference,New WID for Low-power wake-up signal and receiver for NR
R1-2409604,RP-242354,Citation,Revised WID for network energy savings in NR.
R1-2403584,R1-2402504,Citation,Proposed CR for DMRS bundling non-back-to-back transmission corrections
R1-2406155,38.212,Technical Specification,Main specification being modified by this Change Request
R1-2404072,TS38.331,Technical Specification,Radio Resource Control protocol specification
R1-2407066,RAN1 #117,Previous Agreement,References agreements from RAN1 meeting #117 on beam management
R1-2401385,38.213,Technical Specification,Modified clauses for RedCap UE procedures
R1-2400328,RP-234058,Study Item Description,New SID on Ambient IoT approved at RAN#102
R1-2404288,RP-240826,Study Item Description (SID),"Revised SID on Ambient IoT in NR, approved in RAN#103."
R1-2407820,TR38.848,Technical Report,Study on Ambient IoT in RAN
R1-2406272,RAN1#116,Meeting Notes,Previous agreements on temporal domain evaluation cases
R1-2403691,38.864,Technical Report,Used for network energy evaluation assumptions.
R1-2404542,ITU-R M.2160-0,Recommendation,IMT-2030 framework for ISAC use cases
R1-2401320,38.215,Technical Specification,TS 38.215 physical layer measurements specification
R1-2408260,38.331,RRC specification,MC-DCI-SetOfCells configuration parameters
R1-2405048,RP-234065,Work Item Citation,New WID for network energy savings enhancements
R1-2403796,3GPP TR 21.900,Category definition,"Defines CR categories (e.g., F for corrections)."
R1-2409587,38.214,Technical Specification,Referenced for precoder normalization procedures.
R1-2406445,R1-2405441,Previous Agreement,Feature Lead Summary #2 for Ambient IoT physical layer design.
R1-2406146,R2-2405767,Liaison Statement,LS from RAN2 on DL coverage enhancement questions
R1-2400648,RP-234069,Citation,New SID on ISAC channel modeling approved in RAN#102
R1-2407776,RP-242394,Work Item Description,WID revision: NR MIMO Phase 5
R1-2408934,RP-234065,Work Item Description,Rel-19 WI on extending NES to common signals/channels.
R1-2409526,RP-234080,Citation,New WID: XR for NR Phase 3 approved in RAN#102.
R1-2400939,TS 38.104,Technical Specification,Base Station radio transmission requirements
R1-2401852,R1-2401075,Contribution,Ericsson's proposals on SRS resource set limitations
R1-2402689,TR 38.858,Technical Report,Base document for SBFD CLI handling evaluation
R1-2403925,RAN1 Chair’s Notes #116-bis,Previous meeting agreement,Documents agreements on 7-24 GHz channel model validation from RAN1#116bis.
R1-2407781,RAN1#115 Chair's Notes,Meeting Report,Previous agreement about PUSCH precoder modifications
R1-2401208,RP-234056,Work Item Definition,Revised WID on Low-power wake-up signal and receiver for NR
R1-2400848,RP-234007,Work Item Description,NR MIMO Phase 5 WID establishing UE-initiated BM objectives
R1-2404213,TR 38.901,Technical Report,3GPP channel model baseline for frequencies 0.5-100 GHz
R4-2410381,38.331,Technical Specification,Defines UL reference point implementation
R1-2401571,RP-213599,Work Item Description,Rel-19 AI/ML for NR air interface WID
R1-2407221,TS 36.133,Technical Specification,NTN timing error requirements for IoT devices
R1-2401552,R1-2400008,Response Target,Original LS from RAN2 regarding SL-PRS MAC agreements
R1-2408995,R1-2407681,Contribution,Huawei's views on PL offset handling
R1-2408078,3GPP TR 36.763,Technical Report,Reference for satellite parameters and scenarios
R1-2402622,38.811,Technical Report,NTN channel model and propagation characteristics
R1-2403999,RP-234039,Work Item Description,New WID on AI/ML for NR Air Interface
R1-2402943,38.864,Technical Report,Network energy savings evaluation methodology
R1-2408875,R1-2407468,FL summary,Waveform characteristics analysis for Continuous Wave
R1-2408744,TR 21.900,Technical Report,3GPP change request categorization guidelines
R1-2400735,RP-234058,Citation,New SID on Ambient IoT solutions in NR
R1-2401271,RP-234007,Work Item Description,NR MIMO Phase 5 WID from RAN#102
R1-2401329,RP-234058,Study Item Document,"New SID on Ambient IoT solutions in NR, approved at RAN#102"
R1-2402461,RAN1#116,Previous Meeting Agreement,Chair's notes from RAN1#116 meeting
R1-2409963,RP-234035,Work Item Description,WID revision for NR duplex evolution including SBFD
R1-2403483,R1-2402025,Contribution,Huawei's discussion on CSI prediction performance
R1-2410650,R1-2409373,Contribution,MediaTek's enhancement proposal for asymmetric scenarios
R1-2405383,R1-2404081,Contribution,Samsung's remaining issues on network energy saving
R1-2400904,RP-234056,Work Item Description,New WID for Low-power wake-up signal and receiver for NR
R1-2407716,RAN1#118 Chairman’s Notes,Meeting Report,Agreements on LP-WUS CONNECTED mode operation
R1-2407976,R1-2406294,Contribution,Xiaomi's prior work on on-demand SSB
R1-2409696,RAN1#118bis Chairman Notes,Citation,Clarifies agreements on LTM CSI reporting framework.
R1-2400561,RP-234058,Background,Rel-19 Ambient IoT Study Item Approval
R1-2403416,R1-2402020,Contribution,Huawei discussion on power control enhancements
R1-2408996,R1-2408167,Contribution,OPPO's technical proposals for UL mTRP operation
R1-2408303,R1-2405964,Citation,5GAA LS on sensing target characteristics
R1-2407662,R1-070674,Framework Document,LTE physical layer framework for performance verification
R1-2410809,TR 21.900,Category reference,CR categorization rules for 3GPP specifications.
R1-2407459,38.101-1,Test Specification,UE radio transmission and reception requirements
R1-2404970,RP-234007,Work Item Dependency,New WID: NR MIMO Phase 5 defining Rel-19 enhancement scope
R1-2403262,IEEE Trans. Veh. Technol. 71(9),Journal Citation,6GPCM theory and applications for all frequency bands
R1-2400800,RP-233571,Contribution,Views on Rel-19 Ambient IoT requirements
R1-2408030,RP-240774,Work Item Description,Revised WID on AI/ML for NR Air Interface
R1-2401850,RP-221858,Revised WID,Revised Work Item Description for NR coverage enhancements
R1-2409340,38.213,Technical Specification,Physical layer procedures for control channel
R1-2402177,TR 38.901,Channel Model,Channel model for frequency spectrum above 6 GHz
CR-Form-v12.2 CHANGE REQUEST 2,R1-2407457,Previous Agreement,PTRS-DMRS Association for 8Tx UL MIMO
R1-2404524,3GPP TS 38.133,Technical Specification,NR requirements for support of radio resource management
R1-2400927,TR 38.864,Citation,Study on network energy savings for NR
R1-2403195,RP-234058,Citation,Study on solutions for Ambient IoT in NR
R1-2410871,R1-2410530,Contribution,MediaTek's initial clarification proposal on SSSG timer behavior
R1-2405220,R1-2401848,Contribution,Feature lead summary #4 on multi-cell scheduling
R1-2406137,TR 37.885,Methodology Reference,V2V channel model for automotive scenarios
R1-2409639,RAN1#118b Report,Previous Agreement,Clock-acquisition part agreements for R2D preamble
R1-2401101,R1-2312705,Related Work,Updated RAN1 UE features list for Rel-18 NR
R1-2407472,TS 38.211,Technical Specification,Alignment CRs for SRS frequency hopping and sequence generation.
R1-2400252,R1-2400250,Contribution,Previous vivo contribution on on-demand SSB operation
R4-2321545,R1-2312395,Reply LS,Original query on SRS/PRS bandwidth aggregation from ZTE
R1-2404148,TS 38.214,Technical Specification,Referenced for layer 1 ID definitions
R1-2410534,RP-234007,Work Item Description,New WID: NR MIMO Phase 5 from RAN#102
R1-2402196,TR 38.838,Technical Report,Study on XR Evaluations for NR.
R1-2402163,TS38.214-i10,Technical Specification,"Defines physical layer procedures for data transmission, including UL Tx switching."
R1-2407741,TR22.837,Technical Report,SA1 requirements for ISAC use cases
R1-2405770,3GPP TS 38.101-1,Normative,UE radio transmission requirements for Range 1
R1-2402170,RAN1#116,Meeting Notes,Chairman's Notes from RAN1#116 meeting documenting previous agreements
R1-2408559,RP-242399,Working Item Description,Revised WID on AI/ML for NR Air Interface
R1-2400716,Chair’s notes RAN1#115,Meeting Notes,Agreements on HARQ-ACK codebook adjustments for TEI.
R1-2406928,R1-2400941,Contribution,Nokia's prior work on asymmetric DL/UL TRP scenarios
R1-2406463,R1-2405680,Meeting Report,FL summary #5 for AI/ML in beam management
R1-2403881,ISO 18000-3,Standard,Describes FDM-based multi-device identification for D2R transmissions.
R1-2409052,R1-2408128,Draft CR,Proposal for COT duration indication in TS 37.213.
R1-2401081,TR 38.858,Technical Report,Study on Evolution of NR Duplex Operation
R1-2405554,TR 21.900,Technical Report,Explains CR categorization rules
R1-2406491,TR 38.901,Technical Report,3GPP channel model specification document
R1-2400932,RP-234069,Study Item Description,New SID on ISAC channel modeling approved at RAN #102
R1-2400371,38.864,Technical Report,Study on network energy savings for NR
R1-2409140,R1-2408975,Change Request,Proposes TS 38.211 modifications for ATG timing calculation
R1-2405362,TR 38.901,Baseline Specification,3GPP channel model technical report
R1-2403560,RP-234070,Work Item Description,New WID: Non-Terrestrial Networks (NTN) for IoT Phase 3.
R1-2406739,38.321,Technical Specification,MAC protocol specification (Timing Advance Report MAC CE)
R1-2404951,R1-2403830,Citation,LS on SL positioning measurements from RAN1#117
R1-2408852,R1-2403955,Technical Contribution,Proposes frame structure enhancements with postamble
R1-2401251,38.858,Technical Report,Study on evolution of NR duplex operation
R1-2401490,R1-2400730,Contribution,Samsung's views on Rel-19 asymmetric deployment scenarios.
R1-2408602,RP-240826,Revised Study Item,Revised SID for Ambient IoT studies in Rel. 19
R1-2405961,3GPP TR 38.843,Technical Report,Provides Rel-18 conclusions and foundation for Rel-19 study.
R2-2407655,38.331,Technical Specification,NR Radio Resource Control protocol specification
R1-2406510,RP-234056,Work Item Description,Rel-19 LP-WUS work item approval
R1-2410689,TS 38.215,Specification,Defines physical layer measurement procedures
R1-2404322,38.213,Normative,PDCCH handling procedures for CPU occupation timing
R1-2400151,38.300,Technical Specification,NR Overall description and architecture
R1-2401272,RP-234007,Work Item,NR MIMO Phase 5 work item description
R1-2402526,RP-234039,Work Item Description,New WID on AI/ML for NR Air Interface approved at RAN#102
R1-2404923,RAN1#116-bis,Meeting Notes,Chair notes from RAN1#116-bis meeting in Changsha
R1-2405827,RP-240826,Revised SID,Study on solutions for Ambient IoT in NR
R1-2402222,38.101-1,Technical Specification,NR User Equipment Radio Transmission Requirements
R1-2410649,38.213,Specification,TS 38.213 referenced for PHR reporting rules
R1-2407845,R1-2407844,Technical Specification,Draft CR on M-DCI based PUSCH+PUSCH STxMP implementation
R1-2404044,RP-234077,Meeting Report,New WID: Non-Terrestrial Networks (NTN) for IoT Phase 3
R1-240xxxx,R1-2409689,Previous Contribution,vivo's previous proposal on LP-WUS design
R1-2402513,3GPP TR 38.848,Technical Report,Base study document for Ambient IoT
R1-2410042,TR 38.843,Technical Report,Rel-18 Study Item outcomes on AI/ML consistency
R1-2405600,R1-2404186,Contribution,vivo's previous contribution on LP-WUS design considerations
R1-2405907,RP-2401614,Work Item,Revised WI on evolution of NR duplex operation
R1-2403552,R1-2205629,CR,TS38.213 Rel-17 mirror CR
R1-2401573,R1-2310681,Contribution,Previous LS on data collection requirements
R1-2407800,RP-242399,Work Item Description,Revised WID for NR_AIML_air approved at RAN#105
R1-2406700,RAN1#117,Meeting report,Draft Report of 3GPP TSG RAN WG1 #117 v0.2.0
R1-2410640,RP-241667,Work Item Description,NR NTN Phase 3 WID from RAN#104
R1-2405182,R1-2403527,Meeting Summary,FL summary 1 for on-demand SIB1 in idle/inactive mode
R1-2408893,RP-242408,Work Item Description,New WID: Multi-carrier enhancements for NR Phase 2 by Lenovo
R1-2409141,38.211,Technical Specification,3GPP Physical Layer Procedures
R1-2408495,RAN1#117,Previous Study,Chairman's notes from RAN1#117 meeting
R1-2409759,RAN2 #126,Message Frame Agreement,Msg0-Msg4 frame definitions
R1-2406258,RP-234039,Citation,New WID on AI/ML for NR Air Interface (Rel-19).
R1-2408933,R1-2405855,Citation,Source for TDL-D channel frequency diversity results
R1-2405795,R3-243966,Attachment,CR for updating TS38.401 with AI/ML references.
R1-2406793,R1-2404636,Meeting Summary,Summary #4 on ISAC channel modeling from RAN1 #117
R1-2409505,R1-2409059,Meeting Summary,Moderator Summary#3 on Rel-19 CSI enhancements
R1-2403091,Chair notes of RAN1 #116,Meeting Minutes,Agreements on A-IoT device categories and frame structure components.
R1-2410292,RP-242354,Work Item Dependency,Revised WID: Enhancements of network energy savings for NR
R1-2401040,TR 37.885,Baseline Model,V2X evaluation methodology.
R1-2402212,38.213,Specification Modification,SL PRS power control parameter alignment
R1-2406800,RAN1#117,Meeting Notes,Previous agreements on SBFD configuration
R1-2400124,TR 38.869,Technical Report,Study on low-power wake-up signal and receiver for NR.
R1-2403399,RAN1 #116 Chairman Notes,Previous Meeting Agreement,References agreements on CW waveform candidates from RAN1 #116 meeting
