name,aliases
"Nokia, Nokia Shanghai Bell",
3GPP TSG-RAN WG1,RAN1
Jie Cui,
3GPP TSG-RAN WG1,RAN WG1
Panasonic,Panasonic
"Orange, ZTE, BT",Orange|BT
Spreadtrum Communication,Spreadtrum
"NTT DOCOMO, INC.",NTT Docomo
Vivo,Chenli5g@vivo.com
Apple,Apple Inc.
3GPP SA2,SA2
National Taipei University,NTPU
Apple,RAN1
Magister,Magister Solutions
Samsung,R1-2410936 contributor
RAN,3GPP TSG RAN
ASUSTeK,Moderator
Huawei,RAN WG1
China Telecom,RAN1
NTT DOCOMO,Ad-Hoc Chair
Fraunhofer HHI,Fraunhofer Heinrich Hertz Institute
Nordic Semiconductor ASA,Nordic
CATT,CBN|China Broadnet
LG Electronics,Moderator
MediaTek Inc.,MediaTek|MTK
"Nokia, NSB",Nokia|Nokia Shanghai Bell
vivo,Rapporteur(vivo)
vivo,Moderator
Docomo,NTT Docomo
"Nokia, Nokia Shanghai Bell",Nokia
"AT&T, FirstNet",
ETSI MCC,ETSI Mobile Competence Centre
MediaTek Inc,
3GPP TSG-RAN Working Group 1,RAN WG1
ETRI,Yongjin Kwon
CSCN,CSCN
MediaTek,
vivo,[5]
Tongji University,Tongji University
CAICT,[18]
Spreadtrum,Sanechips
Samsung,
LG Electronics Inc.,LGE
ROHDE & SCHWARZ,
VIVO,
PML,
TSG RAN WG1,RAN1
China Mobile Communications Corporation (CMCC),CMCC|China Mobile
Moderator (Futurewei),Futurewei
LG Electronics,LG
Qualcomm,QCM
National Institute of Standards and Technology (NIST),NIST
Tejas Networks Limited,
Continental Automotive Technologies GmbH,Continental
Antonino Orsino,
NTT DOCOMO,DCM
Apple,Chunxuan (Apple)
3GPP TSG RAN Working Groups,RAN WG1|RAN WG2
TCL Communication,TCL
"InterDigital, Inc.",[6]
NTT DOCOMO Inc,DOCOMO
Lenovo,Lenovo
"NTT DOCOMO, Inc",DOCOMO
"HiSilicon Semiconductor Co., Ltd.",HiSilicon
Indian Institute of Technology Kanpur,IIT Kanpur
vivo,TSG RAN WG1
Huawei,"Huawei, HiSilicon, Tongji University"
OPPO,OPPO [RAN1]
Spreadtrum,Spreadtrum Communications
Ericsson,[17]
China Telecom,China Telecom|CT
Fraunhofer IIS,FIIS
Intel,Yi Guo|Intel Corporation
DOCOMO,"NTT DOCOMO, INC."
NVIDIA,
Fujitsu,Fujitsu
Jing-Rong Hsieh,Google|jinghsieh@google.com
China Mobile Communications Corporation,CMCC|China Mobile
Diana Pani,diana.pani@interdigital.com
BUTP,
New H3C,H3C Technologies
vivo,Companyname-01
Qualcomm Incorporated,Qualcomm|Qualcomm Inc.
Interdigital,InterDigital
Moderator (CMCC),CMCC
SPRD,
Nokia,"Nokia, Apple, Ericsson, MediaTek, NTT DOCOMO, Spreadtrum"
"NTT DOCOMO, INC.",DCM
Feifei Sun,Feifei.sun@samsung.com
Charter Communications Inc.,Charter Communications
New H3C,New H3C
ZTE/Sanechips,
Intel,Debdeep Chatterjee
NEC,NEC
KT Corp.,KT
Nokia,Nokia Shanghai Bell|NSB
InterDigital,"InterDigital, Inc."
Nordic Semiconductor ASA,[23]
InterDigital,IDC
China Academy of Information and Communications Technology (CAICT),CAICT
Huawei/HiSi,Huawei|HiSilicon
MediaTek Inc,Moderator (MediaTek. Inc)
NTPU,NTPU
InterDigital,Jonghyun Park
Moderator (Ericsson),
Huawei/HiSilicon,HW/HiSi
Samsung,Moderator (Samsung)
Google,
ZTE Corporation,
MTK,MediaTek Inc.
Meta,Meta
Fraunhofer HHI,Baris Göktepe
CCU,
Daniel Lönnblad,
IIT Kharagpur,IIT KGP
Nokia,Nokia/NSB
Peng Cheng Laboratory,PML
ZTE,
"Huawei, HiSilicon, China Unicom, ZTE, Sanechips",Huawei|HiSilicon|China Unicom
Sharp,Takahisa Fukui
vivo,jizichao@vivo.com|liusiqi@vivo.com
3GPP TSG-RAN WG3,RAN3
RUijie networks,RUijie networks
TCL,Kai Liu
MediaTek. Inc,MediaTek
LG,LG Electronics
RAN WG2,3GPP RAN2
Wiliot,
CATT CICTCI,
Dell,
MediaTek Inc.,
Intel,
Iridium Satellite LLC,
"InterDigital, Inc.",IDC
Qiuge Guo,
Yuda Luz,
China Unicom,China Unicom|Unicom
Huawei,Huawei [RAN WG1]
Toyota InfoTechnology Center,
IIT Kanpur,
"Hiroki Harada, Ralf Bendlin",hiroki.harada.sv@nttdocomo.com|ralf_bendlin@labs.att.com
Ericsson,Johan Bergman
OPPO,Jeffrey (Jianfei) Cao
"Moderator(ZTE), Samsung",ZTE|Samsung
IDT,"InterDigital, Inc."
Qualcomm,Qualcomm|QC
Kyocera,
ZTE Corporation,ZTE|Zhongxing Telecommunications Equipment Corporation
Samsung,RAN WG1
Intel,Intel Corporation
CATT,China Academy of Telecommunications Technology
ASUSTeK,ASUS
Google,Yushu Zhang
NTT DOCOMO,docomo
Fraunhofer HHI,FHHI
Intel Corporation,Intel Corp.
Qualcomm (FL),FL
"Nokia, CATT, Ericsson, Samsung",
SA2 (TSG-SA WG2),SA2
NEC,Peng Guan|Pravjyot Deogun
China Telecom,Moderator
AT&T Inc.,
Huawei,Jinhuan Xia
RAN1,TSG RAN WG1
Spreadtrum Communications,Spreadtrum|Unisoc
Transsion Holdings,Transsion
CBN,China Broadcast Network
Hang Yin,yinh6@chinatelecom.cn
CEWiT,Ebin Chacko|Shiv Shankar
Honor,
China Telecom,China Telecom Group|CT
"Moderators (AT&T, NTT DOCOMO, INC.)",Hiroki Harada|Ralf Bendlin
China Mobile Communications Corporation (CMCC),CMCC
Samsung,Samsung
NICT,National Institute of Information and Communications Technology
LG,Seongwon Go
3GPP Liaisons Coordinator,
CATT,CATT
Peter Hedman,
Huawei,TR editor
NTT DOCOMO,DOCOMO
3GPP,3GPP
Huawei,HW/HiSi
Qualcomm,RAN1
Xun TANG,
Continental Automotive,
RAN2,3GPP TSG RAN WG2
Moderator (CMCC),
Tiami Networks,
Transsion,Transsion Holdings
ZTE,ZTE|Pengcheng laboratory
Vodafone,Vodafone
China Mobile,CMCC
CMCC,China Mobile Communications Corporation
Google Inc.,Google
TOYOTA InfoTechnology Center,Toyota
CMCC,China Mobile|China Mobile Communications Corporation
Intel Corporation,RAN1
CICT CI,
Fujitsu Limited,Fujitsu
China Mobile Communications Corporation,CMCC
Sony,Sony Group
OPPO,RAN1
Yushu Zhang,
Rakuten Symphony Inc.,Rakuten Symphony Inc.
LGE,
Ruijie,
Dell Technologies,Dell
"Spreadtrum, UNISOC",[4]
"Nokia, NSB",
Vodafone,Moderator
"Moderator(Fujitsu), Langbo, ZTE, Ericsson, Google, Huawei, HiSilicon, Lenovo, New H3C, Samsung, Nokia",
DoCoMo,
3GPP TSG RAN WG1,RAN1
Fraunhofer IIS,Fraunhofer IIS
Nokia,Nokia1
3GPP TSG RAN WG1,RAN WG1
OPPO,qianxi.lu@oppo.com
BT,BT
OPPO,Moderator (OPPO)
ZTE Corporation,"ZTE Corporation, Sanechips"
ZTE Corporation,Moderator (ZTE)|Sanechips
"Rakuten Mobile, Inc",
Baicells,
ASUSTek,
RAN WG1,3GPP RAN1
H3C,
Ruijie Network Co. Ltd,
CableLabs,
Sharp,Sharp
Meta,"Meta Platforms, Inc."
Ericsson,Claes Tidestav
ZTE,"ZTE Corporation, Sanechips"
III,III
Debdeep Chatterjee,
"Nokia, NSB",Nokia
CATT,China Academy of Telecommunication Technology
Fraunhofer HHI,FhG HHI
3GPP Member Company,3GPP
HONOR,HONOR
Qualcomm Incorporated,Qualcomm
BUPT,"BUPT, CMCC"
3GPP RAN Working Group 2,RAN2
"IIT Kanpur, Indian Institute of Technology Madras (IITM)",IIT Kanpur|IITM
Sony Corporation,
IDC,InterDigital
"Sanechips Technology Co., Ltd.",Sanechips
Tejas Networks Ltd.,Tejas
Xiaomi Corporation,Xiaomi
DCM,
RAN WG1,3GPP RAN Working Group 1
ZTE Corporation,Zhongxing Telecommunications Equipment Corporation
"OPPO, Huawei, HiSilicon, LG Electronics",
Sharp,[20]
SK telecom,
Nvidia,
Fraunhofer HHI,Fraunhofer HHI
Lockheed Martin,Lockheed
CableLabs,CableLabs
Institute for Information Industry,III
Ericsson,E///
Sony,Moderator
CATT/CICTCI,China Academy of Telecommunications Technology
vivo,Moderator(vivo)
Mavenir,
RAN1 Chair,RAN1 Chair|3GPP RAN1 Chair
Chuangxin Jiang,"Jiang, Chuangxin"
China Unicom,
Transsion Holdings,Transsion Holdings
Beijing Jiaotong University,
3GPP RAN WG2,RAN2
Hiroki Harada,
Interdigital,"InterDigital, Inc."
Interdigital,IDC
Jari Lindholm,
"Huawei, HiSilicon, CBN",Huawei|HiSilicon|CBN
Fraunhofer Heinrich Hertz Institute,Fraunhofer HHI
SPRD,Spreadtrum
Xiaomi,Mingju Li
Lenovo,Motorola Mobility
China Academy of Telecommunications Technology (CATT),CATT
Fraunhofer IIS,IIS
Spreadtrum Communications,Unisoc
Yosuke Akimoto,
MediaTek Inc.,[22]
SPREADTRUM,SPRD
Nokia/NSB,Nokia Shanghai Bell
Keysight Technologies,
NEC,Moderator (NEC)
Samsung,RAN2
Panasonic,Panasonic Corp.
Company,
Samsung,R1
RAN4,3GPP TSG-RAN WG4
China Telecom,CT|China Telecom Group
Moderator (Lenovo),Lenovo
China Telecom,CTC
DOCOMO,"Haruhi (DOCOMO)|NTT DOCOMO, INC."
Dell Technologies,
"CATT, CICTCI",
HONOR,Guozeng Zheng
Chunxuan Ye,
NTT Docomo,NTT Docomo
RAN2 Working Group,RAN WG2
China Academy of Information and Communications Technology,CAICT
IIT Kanpur,IITK
China Mobile,
Yuzhou Hu,
AT&T Labs,AT&T
Hisilicon,HiSilicon Semiconductor
IIT Kanpur,Indian Institute of Technology Madras (IITM)
Ericsson,Telefonaktiebolaget LM Ericsson
Inmarsat,
Qualcomm,FL|Qualcomm Incorporated
China Telecom,China Telecom Group
Nokia,Moderator (Nokia)
"Fraunhofer IIS, Fraunhofer HHI",Fraunhofer IIS|Fraunhofer HHI
Apple,Apple [RAN1]
Unknown Contributor,
"Huawei Technologies Co., Ltd",Huawei
Spreadtrum Communications,Spreadtrum
OPPO,Guoli
Apple Inc.,Apple Inc.
T-Mobile USA,
Magister,Magister
Google,Alphabet Inc.
Fraunhofer HHI,
Sanjun Feng,vivo
Qualcomm,Moderator
InterDigital,Afshin Haghighat
Xiaomi,Mingju LI
OPPO,"OPPO Guangdong Mobile Communications Co., Ltd."
NTT DOCOMO Inc.,DOCOMO
Vodafone,"Vodafone, Ericsson"
Deutsche Telekom,
Google,Google LLC
KDDI Corporation,KDDI
Spreadtrum,unisoc
vivo,"Vivo Communications Technology Co., Ltd."
MediaTek,Moderator (MediaTek)
Intel Corporation,Moderator
Spreadtrum,Spreadtrum
Fraunhofer IIS,Fraunhofer HHI
Sony Group Corporation,Sony
Lenovo,Lenovo Group Ltd.
"NTT DOCOMO, INC",
Huawei/HiSi,
Qualcomm,Qualcomm|QTI
Sharp,"Sharp, Nokia"
China Unicom,China Unicom
Meta,Facebook
ASUSTeK,Denny Huang
Indian Institute of Technology (Madras),IIT Kanpur
"NTT DOCOMO, INC.",NTT DOCOMO
Rakuten Mobile,
HONOR,[15]
"Spreadtrum Communications, BUPT",
"CATT, CICTCI",CATT
FUTUREWEI,
Fujitsu,
"Lenovo, MotM",Lenovo|Motorola
Korea Testing Laboratory,KTL
Samsung,[3]
Honor,Honor
China broadnet,
Nordic Semiconductor ASA,Nordic Semi
IIT Kharagpur,
Qualcomm,QTI
Qualcomm Inc.,Qualcomm
AT&T,Ad-Hoc Chair (AT&T)
DOCOMO,DOCOMO
KT Corp.,KT Corp
Apple,
Huawei/HiSi,Huawei
CMCC,Moderator
KDDI,KDDI
Indian Institute of Technology Madras (IIT Madras),IIT Madras
RAN WG1,Radio Access Network Working Group 1
3GPP Contributor,3GPP
AT&T,Moderator (AT&T)
Ericsson,RAN3
Pengcheng Laboratory,
Nokia,RAN1
3rd Generation Partnership Project; Technical Specification Group Radio Access Network,3GPP|3GPP RAN
Indian Institute of Technology Kanpur (IIT Kanpur),IIT Kanpur
Rakuten,Rakuten Symphony
CATT,Min Zhu
China Mobile Communications Corporation (CMCC),CMCC|Moderator (CMCC)
Huawei,HiSilicon
Beijing University of Posts and Telecommunications,BUPT
Spreadtrum Communications,Spreadtrum|UNISOC
ITL,
NTT DOCOMO,Mamoru Okumura
Qualcomm,FL
Spreadtrum,Moderator
"NTT DOCOMO, INC.",Moderator
Semtech,Semtech
Apple,Apple Inc
Xiaomi,
Marco Maso,marco.maso@nokia.com
Huawei,HW
Fraunhofer HHI,Fraunhofer
vivo,"vivo, BUPT"
RAN4,
ITL,ITL
3GPP RAN Working Group 1,RAN WG1|R1
Nordic Semiconductor ASA,
Southeast University,"Southeast University, Purple Mountain Laboratories, China Telecom"
"NTT DOCOMO, INC.",Ad-Hoc Chair (NTT DOCOMO)
"Huawei, HiSilicon",
Sharp,
CEWiT(TSDSI),
Ericsson,Ericsson Inc.
"ZTE Corporation, Sanechips",[7]
Fraunhofer IIS,
Huawei,"Huawei, HiSilicon"
CATT/CICTCI,China Academy of Telecommunications Technology|CICTCI
ITRI,ITRI
Keysight Technologies UK Ltd,
Keysight,
"Moderator (InterDigital, Inc.)",InterDigital
LG Electronics,Moderator (LG Electronics)
ZTE Corporation,ZTE Corporation
Apple,Apple
Spreadtrum Communications,Moderator|Spreadtrum
Spreadtrum,SPRD
Lenovo,Lenovo Group Limited
Hans van der Veen,Hans.vanderVeen@neclab.eu
Huawei,"Huawei Technologies Co., Ltd."
Tejas Networks,
NYU WIRELESS,
"CATT, CICTCI, CBN",
"NTT DOCOMO, INC.",Moderators
ZTE,Pengcheng laboratory
ZTE Corporation,ZTE
Mavenir,Mavenir
Nokia/Nokia Shanghai Bell,Nokia
3GPP RAN1 Working Group,RAN1
ZTE Corporation,Sanechips
Mediatek Inc.,MediaTek
China Telecom,CATT
Fujitsu,David Wang
"MediaTek, Inc.",MediaTek Inc.|MediaTek
Moderator (MediaTek),MediaTek
Pengcheng Laboratory,Pengcheng Lab
RAN1,3GPP RAN WG1
RAN WG4,TSG-RAN WG4
"OPPO Guangdong Mobile Communications Co., Ltd",OPPO
Spreadtrum,UNISOC
SPRD,Spreadtrum Communications
Siqi Liu,Vivo
Southeast University,SEU
3GPP RAN WG1,RAN WG1
SONY,Moderator
OPPO,oppo.com
CICT,CI
Huawei,"Huawei, Hisilicon"
Indian Institute of Technology Kanpur (IITK),IIT Kanpur
Min Zhu,
3GPP RAN4,RAN4
THALES,
Xiaomi,Xiaowei Jiang|jiangxiaowei@xiaomi.com
China Broadnet,
NICT,michi.nakamura@nict.go.jp
"ZTE Corporation, Sanechips",
Yitao Mo,vivo
HiSilicon,"HiSilicon Semiconductor Co., Ltd."
Apple Inc.,Moderator
Steven Chen,Apple
vivo,Vivo
ETRI,[16]
Mitsubishi Electric,
Moderator (China Telecom),
SK telecom,SKT
Tejas,Tejas Network Limited
TSG RAN WG2,RAN2
Moderator (AT&T),
"Qualcomm Technologies, Inc.",QTI|Qualcomm
InterDigital,
Xiaoran ZHANG,zhangxiaoran@chinamobile.com
KT Corp.,
Lenovo,MotM
Intel Corporation,Intel|Intel Corp
Futurewei,Zhigang Rong
NTT DOCOMO,Haruhi Echigo
NICT,Kenichi Takizawa
Vodafone,Diogo Martins
CICTCI,China Information Communication Technologies Group Corporation
Huawei/HiSilicon,Huawei|HiSilicon
Spreadtrum Communications,Spreadtrum Communications
AT&T,Moderator
OPPO,Qianxi Lu
CATT (Moderator),CATT
New H3C,H3C
Intel,intel.com
"NTT DOCOMO, INC.",NTT DOCOMO|DOCOMO
Gatehouse Satcom,
Thales,Moderator
Fraunhofer IIS,Fraunhofer
Fujitsu Limited,
RUijie Networks,
EURECOM,EURECOM
China Mobile Communications Corporation (CMCC),Moderator (CMCC)
Purple Mountain Laboratories,
Ericsson,claes.tidestav (at) ericsson.com
Qualcomm,Moderator (Qualcomm)
MediaTek,MTK
NTT Docomo,Hiroki Harada
Sharp,Liqing Liu
Fraunhofer Institute for Integrated Circuits,Fraunhofer IIS
"InterDigital, Inc.",
DOCOMO,NTT DOCOMO
CATT/CICTC,
Inmarsat,Inmarsat
Vivo Communication Technology Co. Ltd.,Vivo
CEWiT,
