agenda_id,release,doc_id,page_range
9.11.1,Release 19,R1-2403067,
NR_pos_enh2-Core,Rel-18,R1-2405788,
9.2.2,Rel-19,R1-2404171,
9.1.3,Rel-19,R1-2408105,
9.3.1,Release 19,R1-2408328,
7,Pre-Rel-18/Rel-18/Rel-19,R1-2409340,
9.5.1,Rel-19,R1-2400667,
9.3.1,Rel-19,R1-2402595,
9.1.2.1,Rel-18,R1-2406339,
9.3.1,Release 18,R1-2407675,
9.5.1,Rel-19,R1-2407543,
9.8.1,3GPP Release 19,R1-2409954,
R19 MIMO,Release 19,RAN1#118bis Schedule,
9.2.4,Rel-19,R1-2408294,
5,NR_NTN_Ph3-Core,R1-2408906,
RAN1-118-NR_MIMO_evo_DL_UL-Core,Rel-18,R1-2406042,
9.1.2,R19,R1-2408309,
9.1.3.3,Rel-19,R1-2402850,
9.11.3,Release 18,R1-2202594,
9.4.2.4,Release 19,R1-2410095,
9.9.1,Rel-19,R1-2406947,
9.7.1,Release 19,R1-2409817,
9.2.1,Rel-19,R1-2400726,
9.5.2,Rel-19,R1-2406759,
9.7.1,Rel-19,R1-2406959,
9.11.5,Release 19,R1-2408919,
9.9,Rel-18/Rel-19,R1-2407585,
9.3.1,Rel-19,R1-2404281,
9.12.1,Rel-19,R1-2408668,
NR_MIMO_evo_DL_UL-Core,Rel-18,R1-2401893,
NR_MC_enh-Core,Rel-18,R1-2406119,
9.5.1,Rel-19,R1-2410581,
NR_UE_pow_sav_enh-Core,Rel-18,R1-2405704,
9.4.2.4,Rel-19,R1-2400633,
9.1.3.2,Release 19,R1-2405901,
7,Rel-18,R1-2404479,
9.1.2,,R1-2410588,
9.11,R19,R1-2407384,
9.5.2,Release 19,R1-2406848,
9.6.3,Post-Release 18,R1-2402612,
,Rel-17,R1-2400761,
9.8,Rel-19,R1-24xxxxx,
9.5.1,Rel-19 NES,R1-2408132,
9.1.2,Release 19,R1-2402787,
5,Pre-Rel-18/Rel-18/Rel-19,R1-2409340,
9.3.2,Rel-18,R1-2402688,
9.7.2,Rel-19,R1-2402523,
9.3.2,Rel-19,R1-2401189,
9.11.5,Release 18,R1-2408491,
9.3,Rel-18/19,RAN1#119 Chair's Notes,
8.1,Release 18,R1-2404680,
9.2.4,Rel-19,R1-2400851,
9.3.1,Release 19,R1-2406800,
9.7.2,3GPP Release 18,R1-2408307,
8.1,Rel-18,R1-2405408,
9.6.2,Rel-18,R1-2408538,
9.10.1,Release 19,R1-2405176,
7,Rel-18,R1-2407261,
9.7.1,Release 19,R1-2402979,
9.8.1,3GPP Release 18,R1-2408999,
8.5.2,Rel-18,R1-2403699,
9.1.3.1,Rel-19,R1-2406442,
9.2.4,Rel-19,R1-2401052,
9.3.3,Rel-19,R1-2409634,
9.11.3,Rel-19,R1-2406591,
9.7.2,Release 19,R1-2404876,
9.4.1.1,Release 18,R1-2406370,
9.4.2.1,Rel-19,R1-2405298,
9.5.1,Rel-19,R1-2409556,
38.213 CR 0653,Rel-18,R1-2405763,
9.7.2,Rel-19,R1-2404436,
9.8.1,Rel-19,R1-2409002,
5,Rel-19,R1-2409496,
9.1.3.3,Release 19,R1-2404276,
9.11.3,Rel-19,R1-2404806,
21,Rel-18,R1-2409209,
9.5.1,Rel-19,R1-2405084,
9.4.2.2,Rel-19,R1-2410516,
9.11.4,Release 19,R1-2407881,
9.7.1,Rel-19,R1-2405054,
NR_pos_enh2-Core,Rel-18,R4-2410352,
,Rel-18,R1-2410542,
9.4.1.2,Rel-19,R1-2406933,
9.7.1,Release unspecified,R1-2406009,
9.4.2.1,Rel-19,R1-2410702,
9.2.4,Rel-19,R1-2400521,
9.1.2,R19,R1-2408010,
RAN2_125_Agenda1,Rel-17,R2-2401722,
9.5.1,Rel-19,R1-2408503,
NR_pos_enh-Core,Rel-18,R1-2401750,
9.4.2.2,Rel-19,R1-2403447,
9.12.1,Rel-19,R1-2409619,
AI 6,Release 19,RAN1#118bis-Schedule,
9.6.2,Release 18,R1-2400591,
9.4.2.1,Rel-19,R1-2407248,
9.10.1,Rel19,R1-2410741,
9.1.3.1,Rel-19,R1-2404584,
7,Rel-17,R1-2410688,
9.1.3.3,Rel-19,R1-2402922,
7.1,Rel-18,R1-2400286,
9.6.1,Release 19,R1-2408344,
9.4.1.1,Rel-19,R1-2410513,
9.11.1,Rel-19,R1-2406592,
9.3.2,Rel-19,R1-2409594,
8.4,Rel-18,R1-2402215,
,Rel-18,R1-2407016,
9.4.2.3,Rel-19,R1-2407612,
8.1,Rel-18,R1-2405390,
9.11.4,Release 19,R1-2402176,
,Release 18,R1-2404933,
9.5.1,Rel-19,R1-2408791,
NR_Mob_enh2-Core,Rel-18,R1-2410879,
9.11.4,Rel-19,R1-2404135,
9.1.3.2,Rel-18,R1-2400833,
9.1.4.2,Rel-19,R1-2408548,
9.3.2,Rel-19,R1-2405376,
MBS_enhancements,Rel-18,R1-2403923,
9.5.1,3GPP,R1-2403301,
8.1.2.1,Rel-18,R1-2402223,
,Rel-18,R1-2410858,
9.8,Release 19,R1-2409340,
9.4.2.3,3GPP Rel-19,R1-2405159,
9.4.2.3,Rel-19,R1-2409600,
NR_mob_enh2-Core,Rel-18,38.213 CR 0634,
9.4.2.2,Rel-19,R1-2404871,
9.2.3,Rel-19,R1-2402065,
9.3.1,,R1-2402325,
9.1.4.2,Rel-19,R1-2409753,
8.12.3,Rel-18,R1-2400375,
9.4.2.2,Rel-19,R1-2409683,
9.4.2.1,Rel-18,R1-2408730,
9.11.1,Release 19,R1-2408135,
9.3.1,Rel-19,RAN1#119-Schedule,
9.4.1.1,Rel-19,R1-2409121,
9.1.3.3,Rel-19,R1-2406273,
8.6,Rel-18,R1-2400809,
9.3.1,Rel-19,R1-2408530,
9.3.3,Rel-19,R1-2401216,
9.1.4.2,5G-Advanced,R1-2408394,
9.8.2,Rel-18,R1-2407932,
9.3.3,Release 18+,R1-2409765,
9.4.1.2,Release 18,R1-2401065,
9.6.1,Release 19,R1-2404760,
9.3.3,Rel-18,R1-2400804,
9.6,Release 19,R1-2409307,
9.11.2,Rel-19,R1-2400550,
9.1.1,Rel-19,R1-2405944,
9.4.2.2,Rel-19,R1-2408411,
9.4.1.1,3GPP Release 18+,R1-2404957,
9.1.2,Rel-19,R1-2408774,
9.8.2,Rel-19,R1-2406743,
7,Rel-18,R1-2405337,
9.1.3.2,Release 19,R1-2404604,
9.1.2,Release 19,R1-2404659,
9.8.2,Rel-19,R1-2402091,
7,Release 17,R1-2410726,
9.1.4.1,Release 18,R1-2404978,
9.1.2,Release 19,R1-2409396,
9.7.2,Release 19,R1-2406107,
9.11.2,R19,R1-2405058,
9.4.1.1,Rel-19,R1-2410351,
9.5.2,Rel-19,R1-2410681,
9.1.1,Release 18,R1-2400914,
9.2.1,Rel-19,R1-2406044,
9.3.3,Rel-18,R1-2401996,
NR_Mob_enh2-Core,Rel-18,R1-2410934,
TP#7,Rel-18,R1-2401913,
8.4,Rel-18,R1-2403657,
38.214 CR 0607,Rel-7,R1-2407415,
9.2.3,Rel-19,R1-2406281,
9.8.2,Rel-19,R1-2409611,
9.7.2,Rel-19,R1-2409718,
9.9.1,Rel-19,R1-2406386,
9.11.4,Rel-19,R1-2407563,
9.2.3,Rel-18/19,RAN1#119-Schedule,
9.4.2.1,Rel-19,R1-2402736,
8.1,R18,R1-2409272,
9.5.1,Rel-18,R1-2406409,
9.10.1,3GPP TSG RAN WG1 Meeting #117,R1-2405171,
9.8.1,Rel-18,R1-2405169,
9.4.2.4,Rel-19,R1-2402333,
8.1,Rel-18,R1-2406335,
5,Rel-18,R1-2404638,
5,NR_NTN_enh-Core,R1-2404956,
CR-xxxx,Rel-18,R1-2406034,
7.1,Rel-16,R1-2401832,
Question 15,Rel-18,R1-2410809,
9.2.4,Rel-19,R1-2400510,
9.7.2,Rel-19,R1-2403995,
8.9,,R1-24000352,
8.1,NR,R1-2400679,
9.2.1,Rel-19,R1-2402684,
17,"Pre-Rel-18, Rel-18, Rel-19",R1-2409340,
R19 TEI,Release 19,RAN1#118bis Schedule,
9.3.3,Rel-19,R1-2406751,
9.5.2,Rel-19,R1-2405071,
9.4.1.1,Release 19,R1-2403952,
8.10,Release 18,R1-2401422,
Rel-16 2-Step RACH,Pre-Rel-18,R1-24xxxxx,
9.12,Rel-19,R1-2408261,
9.6.1,,R1-2406597,
9.2.4,Rel-19,R1-2400384,
8.1,Rel-18,R1-2405472,
9.1.3.3,Rel-19,R1-2402557,
8.1,Rel-18,R1-2403428,
9.7.1,Rel-19,R1-2406664,
8.1,Rel-18,R1-2407194,
7,R19,RAN1#118bis,
9.2.3,Rel-19,R1-2408338,
8.1.4,Rel-18,R1-2404844,
Agenda5,"Release 18, 19",R1-2405780,
9.3.3,Rel-19,R1-2405833,
9.2.2,Rel-19,R1-2402064,
9.3.2,Rel-18/Rel-19,R1-2401192,
4.0,Pre-Rel-18/Rel-18/Rel-19,R1-2403820,
9.2.4,Rel-19,R1-2409709,
9.4.2.1,Release 19,R1-2407707,
,Rel-17,R2-2407591,
9.7.2,Rel-19,R1-2409953,
9.11.1,Rel-19,R1-2405421,
9.2.1,Rel-19,R1-2407897,
9.2.2,Rel-18,R1-2401272,
8.4,Rel-18,R1-2403655,
9.3.3,Rel-19,R1-2403193,
9.5.1,Release 19,R1-2405126,
9.1.3.3,Rel-18/Rel-19,R1-2402097,
9.10.1,Rel-19,R1-2407955,
9.7.1,Rel-18,R1-2400572,
9.5.2,,R1-2402249,
9.5.1,Rel-19,R1-2409413,
9.6.1,Rel-19,R1-2408055,
9.12.1,Rel-19,R1-2408260,
9.1.1,Rel-19,R1-2402996,
,Rel-18,R1-2406323,
9.11.3,Rel-19,R1-2403940,
8.2,Rel-18,R1-2403652,
8.1,Rel-18/19,R1-2409079,
9.6.3,Rel-19,R1-2406510,
8.12.2,Release 18,R1-2401425,
,Release 19,R1-2408152,
9.7.2,,R1-2400810,
9.4.2.1,Release 19,R1-240xxxx,
5,Rel-18,R1-2404207,
9.1.3.2,R19,R1-2406789,
,Rel-18,R1-2402059,
8.12.2,Rel-18,R1-2400997,
7,Rel-18,R1-2405596,
9.5.3,Rel-19,R1-2401125,
5,Rel-19,R1-2410610,
9.5.1,Rel-19,R1-2409517,
9.11.1,2024,R1-2410619,
9.4.2.1,Rel-19,R1-2408568,
7,Rel-17,R1-2408712,
9.4.1.1,Rel-18,R1-2400244,
9.1.2,Rel-19,R1-2402958,
9.2.2,Rel-19,R1-2406723,
38.214_CR,Rel-18,R1-2404077,
9.2.2,Rel-19,R1-2402559,
5,Rel-18,R1-2400307,
9.10,Rel-19,R1-2403287,
9.11.4,Rel-19,R1-2410365,
9.11.3,Release 19,R1-2406123,
9.2.3,Rel-19,R1-2403850,
9.10.1,Rel. 19,R1-2404738,
9.2.2,Rel-19,R1-2410303,
9.1.3.1,Release-19,R1-2403483,
5,Rel-17/Rel-18,R1-2405330,
8.12.5,Rel-18,R1-2401644,
9.5.1,Rel-19,R1-2410032,
9.7.1,3GPP,R1-2408720,
9.10.1,,R1-2405012,
TP#4,Rel-18,R1-2401913,
8.1,Rel-16/17/18,R1-2410760,
CR-0143,Rel-18,R1-2409231,
9.8.2,Rel-19,R1-2402614,
8.1,Rel-18,R1-2403518,
9.2.2,Rel-19,R1-2405445,
9.10.1,Release 19,R1-2403129,
9.2.4,Rel-18,R1-2407123,
9.10.1,Rel-19,R1-2400258,
9.4.1.1,Release 19,R1-2401326,
9.8.1,Rel-19,R1-2406744,
9.4.1.2,Rel-19,R1-2409069,
9.2.2,Rel-19,R1-2408876,
9.7.1,3GPP Release 18,R1-2405115,
8.5.3,Release 18,R1-2402552,
9.3.1,Rel-19,R1-2400557,
9.1.3.3,Rel-19,R1-2404686,
8.1,Rel-18,R1-2407225,
9.4.2.2,Rel-19,R1-2405821,
9.2.4,Rel-19,R1-2406313,
9.6.1,Rel-18,R1-2408537,
,Rel-18,R1-2403739,
9.1.2,Rel-19,R1-2400377,
9.5.1,Release 18,R1-2406694,
9.7.2,Unknown,R1-2402816,
9.3.1,Rel-19,R1-2409843,
5,Rel-18,R1-2404788,
9.2.2,Rel-19,R1-2408200,
9.10.1,Release 18,R1-2400498,
9.1.3.2,Rel-19,R1-2404054,
NR_SL_enh2-Core,Rel-18,R1-2406216,
9.4.1.1,Rel-19,R1-2407904,
9.11.4,Rel-19,R1-2406512,
9.11.1,R19,R1-2408552,
5,,R1-2405286,
9.9.1,Rel-18,R1-2410041,
9.7.1,Rel-19,R1-2406488,
8.1,Rel-18,R1-2410841,
8.2,Release 18,R1-2401051,
9.1.2,Rel-17,R1-2401886,
9.1.4.1,Rel-18,R1-2402270,
9.9.1,Rel-19,R1-2406527,
8.5.1,Rel-18,R1-2403430,
9.3.1,Release 18,R1-2402803,
9.4.1.1,3GPP,R1-2402137,
9.4.2.2,Release 19,R1-2402770,
8.9,Rel-18,R1-2401380,
9.2.2,Rel-19,R1-2407854,
8.1,Rel-18,R1-2401091,
5,Release 18,R1-2404209,
9.4.1.1,Rel-19,R1-2410637,
9.4.1.2,Release 19,R1-2410208,
9.9.1,Rel-19,R1-2407658,
9.1.2,Rel-17,R1-2401770,
9.1.3.1,Release 18,R1-2406922,
NR_NTN_enh-Core,Rel-18,R1-2403176,
8.2.2,Rel-18,R1-2405104,
9.11.3,Release 19,R1-2401791,
9.8.2,Pre-6G Study,R1-2405546,
9.1,Rel-19,R1-2410844,
9.11.1,Rel-18,R1-2407956,
TEI-18,Rel-18,R1-2405531,
9.9.1,Rel-19,R1-2410403,
NR_newRAT-Core,Release 17,R1-2402202,
9,Rel-17,R1-2402430,
RAN2 #124 Agreement 6,Rel-18,R1-2402717,
9.4.2.2,Release 19,R1-2410356,
9.4.1.2,Rel-19,R1-2408646,
9.4.2.2,Rel-19,R1-2407863,
9.4.2.3,Rel-19,R1-2400248,
9.4,Rel-19,R1-2410703,
9.5.1,Rel-19,R1-2406477,
9.2.4,Rel-19,R1-2400107,
9.5.2,Release 19,R1-2406609,
9.3.3,Rel-19,R1-2403894,
9.6.3,,R1-2400906,
9.1.1,Rel-19,R1-2409569,
9.11.3,Rel-19,R1-2404418,
9.4.2.4,Rel-19,R1-2406189,
8.12.5,Release 18,R1-2401105,
NR_2step_RACH-Core,Rel-18,R1-2407577,
7,Release 16,R1-240xxxx,
9.2.4,Rel-19,R1-2403190,
9.4.1.1,Rel-19,R1-2400361,
9.1.3.2,Rel-18/19,R1-2400166,
9.7.2,Rel-19,R1-2406250,
9.1.2,Rel-18,R1-2407105,
9.6.1,Release 18,R1-2408820,
9.2.4,Rel-19,R1-2408996,
7.2,Rel-17,R1-2400965,
Netw_Energy_NR,Rel-18,CR-Form-v12.3,
8.12.2,Rel-18,R1-2301712,
9.11,Rel-18,R1-2401935,
5,Rel-18,R1-2405279,
9.1.3.2,Rel-19,R1-2406418,
5,R19,R1-2408140,
9.11.3,Release 18,R1-2400973,
9.4.2.4,3GPP,R1-2410580,
9.11,Rel-19,R1-2409226,
9.2.1,Rel-19,R1-2400623,
9.11,Release-19,R1-2401730,
8.4,Rel-18,R1-2403647,
9.1.3.2,Release 18/19,R1-2403910,
9.11.2,NR Phase 3,R1-2400603,
8.1,NR Mobility Enhancements,R1-2409284,
9.2.1,Rel-19,R1-2406543,
5,Release 19,R1-2410611,
8.12.5,Rel-18,R1-2401807,
9.4.2.1,Rel-19,R1-2406405,
8.7,Rel-18/19,R1-2400151,
8.2.1,Rel-18,R1-2406980,
8.4,Rel-18,R1-2403177,
7.2,Rel-17/Rel-18,R1-2401692,
Obj 1,Rel-19,R1-2410917,
9.5.1,Release 19,R1-2407037,
9.4.2.4,Rel-19,R1-2407124,
7,Rel-17 New RAT,R1-2403552,
9.2.2,Rel-19,R1-2410040,
21,Rel-18,R1-2407784,
NR_SL_enh2-Core,Rel-18,R1-2403294,
7,Rel-17,R1-2410795,
5,Rel-19,R1-2410609,
8.12.4,Rel-18,R1-2401641,
5,3GPP Release unspecified,R1-2406617,
9.4.1.1,Release 19,R1-242402105,
9.1.3.1,Rel-18/19,R1-2404527,
9.5.2,Rel-19,R1-2409014,
9.7.1,Rel-19,R1-2406874,
9.1.3,Future Release (Post-Rel-18),R1-2409987,
9.8.1,Rel-19,R1-2402480,
9.2.1,Release 18,R1-2408610,
9.4.1.2,Rel-19,R1-2410389,
9.2.2,Rel-19,R1-2400939,
9.5.3,NR,R1-2403202,
9.5.1,Release 19,R1-2407437,
8.5,Rel-18,R1-2400452,
9.4.2.2,Rel-19,R1-2408648,
9.11.4,Release 18,R1-2410082,
9.2.1,Rel-19,R1-2409586,
9.1.3.3,Rel-19,R1-2406641,
8.2.4.2,Rel-18,R1-2406343,
9.2.3,Rel-18/Rel-19,R1-2407585,
8.1,Rel-18,R1-2405572,
9.2.2,Rel-19,R1-2402538,
9.3.1,Rel-19,R1-2408112,
9.3.3,Release 18,R1-2408884,
,Rel-18,R2-2401643,
9.1.2,Rel-19,R1-2409986,
9.2.2,Rel-19,R1-2404551,
9.1.3.3,Rel-19,R1-2406674,
Obj.1,Release 19,R1-2410039,
9.11.1,Release 19,R1-2407933,
9.2.3,Rel-19,R1-2400523,
NR_SL_enh2-Core,Rel-18,R1-2403227,
38.214 CR draft rev,Rel-18,R1-2402644,
9.11.3,Rel-18,R1-2402773,
9.2.2,Rel-19,R1-2409063,
45-1,Release 18,R1-2404265,
8.2,Rel-18,R1-2401320,
9.5.1,Rel-19,R1-2405497,
9.1.3.2,Release 18,R1-2403976,
9.5.3,Rel-19,R1-2406734,
9.4.2.3,Rel-19,R1-2406290,
NR_pos_enh2-Core,Rel-18,R1-2405000,
9.6.2,,R1-2408417,
,Rel-18,R1-2407380,
9.10.1,Rel-19,R1-2406770,
9.8.2,3GPP Release 18,R1-2406385,
16.2.4.2,Rel-18,R1-2403585,
9.7.1,Rel-19,R1-2408386,
9.4.2.3,Release 19,R1-2409360,
9.2.1,NR Rel-18/19,R1-2407145,
9.5.2,NR Rel-19,R1-2405106,
9.2.2,Rel-19,R1-2407279,
9.4.2.3,Rel-19,R1-2401260,
9.5.1,Rel-19,R1-2409901,
9.6.2,Rel-19,R1-2403277,
8.10,Release 18,R1-2401535,
8.9,Release-18,R1-2400994,
9.4.2.2,Release 18,R1-2404118,
9.2.4,Rel-19,R1-2407112,
9.1.1,Rel-19,R1-2408533,
9.4.1.1,Rel-19,R1-2403101,
5,Rel-18,R1-2401354,
9.3.1,Rel-18,R1-2405123,
,Rel-18,R1-2405623,
8.1,Rel-18,R1-2403638,
9.6.3,Rel-19,R1-2405508,
9.7.2,Release 18,R1-2410126,
,Rel-18,R1-2406916,
9.4.1.2,2024,R1-2410478,
9.3.3,Release 18,R1-2401118,
9.6.2,Release 18,R1-2404853,
8.4,Unknown,R1-2402311,
9.6.3,Rel-18,R1-2408495,
9.7.2,3GPP Release 18,R1-2400530,
9.4.2.3,Rel-19,R1-2410289,
R1-2402504,Rel-17,R1-2402504,
8.1,Release 18,R1-2407300,
8.1,Rel-18,R1-2407464,
9.1.1,Rel-19,R1-2400793,
9.4.2.1,Rel-19,R1-2400246,
9.1.1,Release 18,R1-2407694,
9.4.2.2,Unknown,R1-2405208,
6.2.1.4.1,Rel-18,R1-2407260,
1.0,Pre-Rel-18/Rel-18/Rel-19,R1-2403820,
9.1.2,Release 19,RAN1#118bis Schedule,
9.3.2,Rel-19,R1-2402911,
9.11.1,Release 18,R1-2408937,
9.6.3,,R1-2402253,
9.4.2.3,Rel-19,R1-2408412,
FS_AmbientIoT_solutions,Rel-19,R1-2408831,
9.4.2.2,Rel-19,R1-2407639,
,Rel-16,R1-2406329,
8.4,Rel-18,R1-2402002,
8.1,Rel-18,R1-2410774,
IoT_NTN_enh-Core,Release 18,R2-2403765,
8.4,Rel-18,R1-2402732,
9.11.3,Release 19,R1-2405927,
9.5.1,Rel-19,R1-2408817,
9.11.1,Rel-19,R1-2403993,
9.4.2.1,Rel-19,R1-2410552,
9.4.2.2,Rel-19,R1-2408942,
9.4.1.2,3GPP TSG RAN,R1-2407644,
9.1.3.3,Rel-19,R1-2400724,
9.11.1,Release 19,R1-2404041,
9.11.2,Rel-19,R1-2404195,
9.3.3,Rel-19,R1-2400776,
9.3.3,,R1-2407160,
9.4.2.3,Release 18+,R1-2407908,
9.11.3,Rel-19,R1-2407935,
9.5.2,Release 19,R1-2403124,
9.3.1,Release 18,R1-2405039,
9.11.3,NR,R1-2409871,
9.6.3,Rel-18,R1-2408418,
9.7.1,Rel-19,R1-2402395,
9.1.3.3,Rel-19,R1-2400466,
9.3.3,Rel-19,R1-2402241,
,16,R1-2401858,
NR_MIMO_evo_DL_UL-Core,Rel-18,R1-2407334,
9.3.1,Release 18,R1-2403191,
9.2.3,Rel-19,R1-2400940,
9.8.1,18,R1-2403443,
8.2.2,NR,R1-2404383,
9.6.1,Rel-18/Rel-19,R1-2407585,
5,Rel-18 NR NTN,R1-2400215,
9.4.2.2,R19,R1-2408990,
9.4.1.1,3GPP,R1-2408355,
9.1.3.2,Rel-18,R1-2402999,
9.4.1.2,Rel-19,R1-2407761,
9.2.1,Release 19,R1-2404813,
9.6,Rel-18/19,R1-2407585,
9.4.2.3,Rel-19,R1-2406845,
9.2.2,Rel-19,R1-2400554,
8.1,Rel-18,R1-2408174,
9.5.3,Release 19,R1-2410583,
9.4.1.1,Rel-19,R1-2409319,
9.1.4.1,Release 18,R1-2403622,
9.3.1,Rel-18,R1-2407901,
R19 LP-WUS,Release 19,RAN1#118bis_Schedule,
,Rel-18,R1-2408983,
9.11.4,Rel-17,R1-2408229,
9.4.2.1,Release 19,R1-2404403,
9.10.1,Rel-19,R1-2407801,
9.10.1,Release 19,R1-2409732,
9.1.3.2,Rel-18/Rel-19,R1-2407186,
9.5.2,Rel-19,R1-2405202,
9.9.1,Rel-19,R1-2406432,
9.12.1,Rel-19,R1-2408157,
9.3.2,Rel-19,R1-2408384,
,Rel-18,R1-2404839,
9.8.1,May 2024,R1-2405361,
9.3.1,Rel-19,R1-2409998,
9.6.1,Rel-19,R1-2409904,
9.11.3,Release 19,R1-2403423,
9.5.2,Release 19,R1-2405595,
9.4.2.3,Rel-19,R1-2403092,
9.5.2,Rel-19,R1-2409545,
5,Rel-19,R1-2404660,
9.5.3,Rel-19,R1-2405995,
9.1.2,Rel-19,R1-2300469,
8.2,Rel-18,R1-2408767,
9.1.1.2,Rel-19,R1-2401271,
9.11.1,Rel-19,R1-2402286,
8.3,Release 18,R1-2401608,
9.1.2,Rel-19,R1-2406594,
9.1.4.2,Rel-19,R1-2408031,
9.7.2,Release 18,R1-2403262,
9.7.2,,R1-2400069,
9.11.2,Rel-19,R1-2406203,
8.11,Rel-18,R1-2401245,
9.4.2.3,3GPP Release unspecified,R1-2403374,
9.3.2,Rel-19,R1-2402563,
9.4.1.2,3GPP Release 18+,R1-2400362,
9.6.2,3GPP Release 18,R1-2410300,
9.3.2,Rel-19,R1-2402664,
9.1.1,Release 19,R1-2410257,
8.1,Rel-18,R1-2406810,
9.8.2,NR,R1-2406008,
5,Rel-18,R1-2400968,
9.11.1,Release 19,R1-2410169,
9.2.1,Rel-19,R1-2404106,
9.4.2.1,Rel-19,R1-2403090,
9.4.1.1,Release 18 and 19,R1-2407585,
9.10.1,Rel-18,R1-2400070,
9.1.2,Rel-18,R1-2410531,
9.2.1,Release 19,R1-2406831,
9.2.4,Rel-19,R1-2407701,
Unknown,Rel-18,R1-2402866,
9.4.2.2,Release 19,R1-2403373,
9.11.4,Release 19,R1-2400629,
9.11,Rel-19,R1-240XXXX,
9.6.3,Rel-19,R1-2403714,
9.1.3.3,Release 19,R1-2400147,
9.6.3,Release 18,R1-2409458,
,Rel-18,R1-2410616,
NR_MC_enh-Core,Rel-18,R2-2401969,
7,Release-17,R1-2409183,
8.2,Rel-18,R1-2401758,
9.4.2.4,Rel-19,R1-2408675,
9.4.1.2,Release 18,R1-2400610,
8.5.1,Rel-18,R1-2402867,
9.1.3.1,Release 18,R1-2406904,
9.5.1,,R1-2402930,
9.2.1,Rel-19,R1-2409459,
9.11.1,Rel-18,R1-2400402,
9.6.1,Rel-19,R1-2400473,
10.1,Rel-18,R1-2404996,
9.1.2,Rel-19,R1-2409841,
9.5.1,Rel-19,R1-2407332,
9.6.3,Rel-19,R1-2407378,
8.1,Rel-18,R1-2405453,
9.9.1,Rel-18/19,R1-2409525,
9.6.1,Release 18,R1-2406104,
9.1.4.2,Rel-18/Rel-19,R1-2407852,
9.6,Release 19,R1-2409340,
9.6.3,Rel-18,R1-2408921,
9.5.3,Rel-19,R1-2405072,
9.1.3.3,Rel-19,R1-2406924,
9.1.3.3,Rel-19,R1-2404605,
9.3.2,3GPP TSG RAN WG1 #118,R1-2407068,
9.1.3.2,Rel-19,R1-2401558,
9.2.2,Rel-19,R1-2409371,
9.5.2,Release 19,R1-2409902,
9.4.2.3,Rel-19,R1-2408252,
9.11.1,Not specified,R1-2408894,
9.2.4,Rel-19,R1-2404339,
5,Rel-18,R1-2404842,
8.12.5,Rel-18,R1-2400417,
9.3.2,Rel-19,R1-2409453,
9.6.1,Rel-19,R1-2409089,
9.1.4.1,Rel-18,R1-2406910,
,Rel-17,38.211 CR,
1,Rel-18/19,RAN1#119 Chair's Notes,
9.7.1,,R1-2403159,
9.5.2,Rel-19,R1-2403979,
9.6.3,,R1-2404126,
8.4,Rel-18,R1-2403328,
116,Rel-18,R1-2401901,
9.1.2,Rel-17/Rel-18,CR-Form-v12.2 (R1-2301743 follow-up),
9.2.2,Rel-19,RAN1#119-Schedule,
9.6.2,Rel-19,R1-2402894,
9.1.4.2,Rel-19,R1-2409585,
9.7.2,Rel-19,R1-2409609,
9.4.2.1,Rel-19,R1-2406813,
9.5.2,Rel-19,R1-2403729,
9.5.2,Rel-19,R1-2400741,
9.1.3.2,Rel-19,R1-2400723,
,Rel-18,R2-2405766,
NR_SL_enh2-Core,Rel-18,R1-2409205,
9.3.1,Release 18,R1-2403215,
7,Rel-16/17,R1-2410606,
9.2.3,,R1-2403239,
9.7.1,3GPP,R1-2410489,
9.7.1,Rel-19,R1-2408710,
9.2.1,Rel-19,R1-2402457,
R19 NTN,Release 19,RAN1#118bis Schedule,
38.215,Rel-15,R1-2402133,
9.4.2.3,Rel-19,R1-2405274,
9.3.3,Rel-19,R1-2404617,
9.1.4.2,Rel-19,R1-2409929,
9.2.2,Release 19,R1-2403238,
9.1.2,Rel-19,R1-2408631,
RAN4_UE_Cap_Framework,Release 18,R2-2407463,
9.4.2.3,3GPP,R1-2409803,
9.8.1,3GPP Release 16/17,R1-2402407,
,Rel-18,R1-2405664,
9.6,Rel-19,R1-2409340,
9.4.2.4,Rel-19,R1-2407710,
9.2.2,Rel-19,R1-2405981,
9.4.2.3,Rel-19,R1-2401283,
9.4.2.1,Release 19,R1-2407249,
5,Rel-18,R1-2402293,
9.5.2,Rel-19,R1-2405182,
9.11.1,Rel-19,R1-2401991,
9.5.1,Rel-18,R1-2404697,
17.2,Rel-17,R1-2401886,
9.1.3.2,Rel-19,R1-2406923,
8.1,Rel-18,R1-2405407,
8.1,Rel-18,R1-2401488,
9.7.2,Release 19,R1-2408093,
9.11.3,Release 19,R1-2409020,
9.5.1,Release 19,R1-2402389,
9.1.4.2,Rel-19,R1-2408841,
9.1.4,Rel-18,R1-2408017,
8.1,Rel-18,R1-2410772,
9.1.3.2,Rel-19,R1-2400511,
9.11.3,Release 19,R1-2409529,
9.3.2,Rel-19,R1-2408566,
9.1.2,Rel-19,R1-2402039,
5,Rel-18,R1-2408000,
9.6.1,NR,R1-2408253,
8.2.2,Rel-18,R1-2404102,
9.1.1,Rel-19,R1-2403568,
9.4.2.2,Rel-19,R1-2401259,
9.4.1.2,Rel-19,R1-2410025,
5,Rel-19,R1-2406146,
