agenda_id,release,topic,description
8.2.1,Rel-18,UE Capability for Asymmetric Bandwidth,Discussion on UE capability signaling enhancements to support 3MHz asymmetric bandwidth configurations in NR
RAN1#117,,CG RACH-less Handover,Discussion on parameters for CG-based RACH-less handover and their applicability in Rel-18.
NR_FR1_lessthan_5MHz_BW-Core,,Inter-frequency Neighbor Cells <5MHz Support,Backward compatibility handling for sub-5MHz NR carriers in FR1
9.1.2,Rel-19,AI/ML for Positioning Accuracy Enhancement,"Normative work for AI/ML-based positioning enhancements including measurement reporting mechanisms, model consistency management, and signaling specifications"
9.5.1,Rel-19,On-demand SSB SCell operation,"Discussion on configuration, activation/deactivation mechanisms, and measurement procedures for on-demand SSB in SCells."
9.1.3.2,Rel-19,Discussion on AI/ML for CSI Compression,"Evaluation of AI/ML-based CSI compression and prediction techniques, including temporal domain aspects, inter-vendor collaboration, and performance-complexity trade-offs."
9.11.1,Rel-19,Downlink Coverage Enhancement for NR NTN,"Evaluation of DL coverage enhancements for NR NTN, including link budget analysis, parameter set refinement, and beam hopping strategies."
9.4.2.4,R19,Discussion on CW waveform and interference handling at AIoT UL receiver,"Study carrier wave waveforms (single-tone vs. OFDM), interference handling, and regulatory considerations for Ambient IoT backscatter communication."
8.1,Rel-18,UL MIMO Enhancement for NR,Discussion on uplink MIMO enhancements including SRS configuration and transmission schemes for multi-panel operation
9.3,Rel-18/19,Sub-band Full Duplex (SBFD),"Procedures, random access, and CLI handling for SBFD operation."
NR_MIMO_evo_DL_UL-Core,Rel-18,MIMO Enhancement Core Specifications,Discussion of specification updates for NR MIMO evolution in Release 18
9.1.4.1,,MBS CFR configuration for eRedCap,Application of separate CFR to eRedCap UEs when configured for RedCap.
116bis,Rel-17,TS 38.213 Maintenance,Discussion of editorial corrections for physical layer procedures specification
9.2.3,Rel-19,On the support for 3-antenna-port codebook based transmissions,"Discussion on Rel-19 enhancements for 3Tx UL MIMO, including SRS antenna switching (3T3R/3T6R) and non-codebook-based transmission."
9.5.1,Rel-19,On-demand SSB SCell operation for NES,"Specification of procedures and signaling methods for on-demand SSB transmission in SCells to support UE synchronization, measurements, and activation in CA configurations."
Unknown,,Specification corrections for DCI formats,Clarification of bitwidth determination mechanisms for control channel fields
9.3.3,Rel-19,CLI handling for SBFD operation,Discussion on Cross-Link Interference mitigation strategies for Subband Full Duplex systems
9.4.2.4,Rel-19,Ambient IoT Solutions,"Discussion on physical layer aspects for ambient IoT including carrier wave design, interference management, and deployment scenarios"
9.2.2,Rel-19,Rel-19 CSI Enhancements,"Discussion on Type-I/II codebook refinements, CRI-based CSI for hybrid beamforming, and CJT calibration reporting."
9.4.1.1,Rel-19,Evaluation assumptions and results for Ambient IoT,"Discussion of coverage analysis, link budget methodology, and modulation schemes for Ambient IoT devices in NR networks"
9.4.1.2,Rel-19,Ambient IoT Device Architecture,"Evaluation of device architectures for Ambient IoT including power consumption (1μW-700μW), receiver sensitivity (-35dBm to -90dBm), reflection amplifiers, frequency shift implementations, and energy storage requirements"
7,Rel-17,Physical layer procedures discussion,Discussion on timeline aspects of TCI state activation in unified framework
8.12.5,Rel-18,Rel-18 UE Features,"Discussion on remaining issues for eRedCap CBRA handling, XR joint release capability relationships, and CovEnh power/waveform enhancements"
9.2.2,Rel-19,Moderator Summary for 2nd offline on Rel-19 CSI enhancements,"Discussion and decision on proposals for Rel-19 CSI enhancements, including codebook refinements (Type-I/II), CRI-based CSI for HBF, and CJT calibration reporting."
9.6.3,Release 18,LP-WUS Operation in CONNECTED Modes,"Discussion on configuration mechanisms, activation procedures, and co-existence with legacy features for connected mode LP-WUS operation"
9.7.1,Rel-19,ISAC Deployment Scenarios,Discussion on deployment scenarios and channel modeling for Integrated Sensing and Communications in NR.
9.4.1.1,,Study on solutions for Ambient IoT in NR,"Evaluation of design targets including maximum coverage distance, latency definitions, and link budget modeling for Ambient IoT systems."
9.11.4,Rel-17/18,IoT-NTN Uplink Capacity Enhancements,"Discussion on UL transmission gaps, OCC configurations, and CFO impacts for NPUSCH format 1 in IoT-NTN."
9.1.4.1,,CSI reporting enhancements for Rel-18 NES,Discussion of semi-persistent CSI reporting improvements for network energy savings
9.4.2.2,Release 19,Frame structure and timing aspects of Ambient IoT,"Discussion of synchronization mechanisms, scheduling approaches, and random access procedures for energy-constrained Ambient IoT devices"
9.7.1,Rel-19,ISAC Deployment Scenarios,Discussion on channel modeling aspects for ISAC deployment scenarios including UAV and automotive targets
9.1.2,Rel-18,AI/ML for NR Positioning,"Discussion on specification support for AI/ML-based positioning accuracy enhancements including measurement configurations, model monitoring, and training data handling"
8.5.1,,NR Sidelink Evolution,Discussion on UE feature enhancements for NR sidelink evolution including multiple PSFCH occasions and unlicensed spectrum operations
9.6.2,Release 18,LP-WUS Operation in IDLE/INACTIVE Modes,Discussion on physical layer aspects of low-power wake-up signal design and configuration for idle/inactive mode UEs
9.6.2,Release 18,LP-WUS operation in IDLE/INACTVE states,"Discussion of wake-up signal procedures for power-constrained UEs including configuration, subgrouping, payload design, and measurement relaxation strategies"
9.2.1,Rel-19,UE-initiated Beam Management,"Discussion on enhancements for event-driven beam reporting mechanisms including trigger events, measurement configurations, and UL signaling design"
9.3.1,Rel-19,Rel-19 SBFD Operation,"Discussion on semi-static SBFD subband configuration, UE behavior, and enhancements for subband-aware operations."
9.11.2,Rel-19,FR1-NTN Enhancements for HD-FDD RedCap,Discussion on collision handling and TA reporting mechanisms for HD-FDD RedCap/eRedCap UEs in NTN scenarios
9.1.2,Release 19,AI/ML Positioning,"Discussion on specification support for AI/ML-based positioning accuracy enhancements, including reference signal configuration, model input/output standardization, and monitoring frameworks."
8.1,Rel-18,Two TAs for multi-DCI,"Maintenance on specifications for Two Timing Advance configurations in multi-DCI-based multi-TRP operations, focusing on PRACH timing, power control, and DL reference timing determination."
9.7.2,Release 19,ISAC Channel Modeling,Discussion on channel modeling extensions for integrated sensing and communication systems in 6G networks
9.11.1,Rel-19,NR-NTN Downlink Coverage Enhancement,"Discussion on coverage improvements for non-terrestrial networks in FR1/FR2, including power sharing, beam patterns, and evaluation methodologies."
9.7.1,Rel-19,Channel modelling for integrated sensing and communication (ISAC) for NR,Study on deployment scenarios and channel modeling requirements for ISAC systems
9,Rel-18,UE procedures for reporting control information,Discussion of HARQ-ACK codebook determination mechanisms and DCI format 1_3 enhancements
9.1.4.2,Rel-19,Discussion on other aspects of AI/ML model and data,"Focuses on model identification, transfer, consistency, and management for AI/ML-based CSI compression and beam management in Rel-19."
9.3.3,Rel-19,CLI handling,"Enhancements for gNB-to-gNB and UE-to-UE co-channel CLI handling in SBFD deployments, including UL resource muting patterns and L1 measurement frameworks"
9.1.3.1,Rel-19,AI/ML-based CSI prediction,"Discussion on performance evaluation, model complexity, and monitoring mechanisms for AI/ML-based channel state information prediction techniques"
9.3.2,Rel-19,Random access on SBFD resources,"Discussion on enabling random access in SBFD symbols for connected/idle UEs, including use cases, CLI mitigation, and specification impacts."
9.3.1,2024,SBFD Operation Enhancements,"Procedures for SBFD transmission/reception/measurements including subband configuration, collision handling, and interaction with legacy features"
9.5.2,Rel-19,On-demand SIB1 for idle/inactive mode UEs,"Discusses UL WUS design, NES cell identification, and SIB1 transmission procedures to optimize network energy savings."
9.4.2.2,Rel-19,A-IoT Frame Structure and Timing,"Discussion on R2D/D2R symbol alignment, energy harvesting state management, synchronization signal design, and random access procedures for A-IoT devices."
9.10.1,Rel-19,Enabling TX/RX for XR during RRM measurements,"Discussion on solutions to prioritize XR traffic over RRM measurement gaps/scheduling restrictions, including network signaling mechanisms and UE assistance information."
9.3.1,Rel-18,Evolution of NR Duplex Operation,"Discussion on SBFD operation enhancements including time/frequency resource configuration, UE behavior, and physical channel handling across SBFD/non-SBFD symbols"
FS_AIML_MGT_Ph2,,AIML Management Phase 2,Analysis of UE-side AIML data collection options and SA5 management capabilities
9.1.4.1,Rel-19,CSI Feedback Enhancement,"Study on AI/ML-based CSI compression methods, focusing on inter-vendor collaboration, performance-complexity tradeoffs, and specification impacts."
9.6.1,Rel-19,LP-WUS and LP-SS Design,Discussion on physical layer aspects of low-power wake-up signals and synchronization signals for energy-efficient UE operation in NR networks
9.4.1.1,Rel-19,Evaluation assumptions and results for Ambient IoT,"Coverage evaluation methodology, link budget analysis, and deployment scenario assessments for Ambient IoT devices"
9.1.5,Rel-18,HARQ-ACK codebook retransmission,"Clarification of UE procedures for generating HARQ-ACK information when DCI format 1_3 schedules PDSCHs with mixed valid/invalid FDRA fields, including determination of slot offset using MCS field from smallest cell index with invalid FDRA"
8.6,Rel-18/19,Maintenance on PRACH coverage enhancement,"Discussion on PRACH coverage enhancement mechanisms, including power ramping suspension conditions and PRACH mask index application methods for multiple transmissions."
9.5.2,NR,Enhancements of network energy savings for NR,"Discussion on on-demand SIB1 for UEs in idle/inactive mode, including wake-up signal design and configuration delivery."
5,Rel-19,DL Coverage Enhancements for NR-NTN,"Discussion on SSB periodicity, beam hopping, and beam size adjustments to improve coverage ratios in NTN deployments, including evaluations of trade-offs and backward compatibility."
9.3.1,Rel-19,SBFD TX/RX/measurement procedures,"Discussion on UE transmission/reception behaviors, resource allocation enhancements, and collision handling mechanisms for sub-band full duplex operation in Rel-19 NR"
7,Rel-15 and later,Physical layer procedures for control,Discussion on clarifications for CORESET and search space configuration limits in TS 38.213.
R1-2400007/R2-2313959,,UL Tx Switching Configuration,Discussion on RAN2 agreements for configuring 2-band UL Tx switching via Rel-18 signaling.
9.3.3,Rel-19,CLI handling for SBFD operation,Discussion on down-selection of CLI mitigation schemes and technical specifications for sub-band full duplex systems
8.1.4,Rel-18,UE procedure for determining subset of resources in PSSCH selection,"Specification of UE behavior for selecting and reporting PSSCH resources in sidelink mode 2, including partial sensing methods."
9.3.2,Rel-18,Discussion on SBFD random access operation,"Analysis of random access challenges in SBFD symbols, including RO configuration overlaps, RAR window timing, Msg3 frequency hopping, and paging conflicts."
9.5.2,Release 19,On-demand SIB1 for NES,"Study procedures and signaling methods to support on-demand SIB1 transmissions for idle/inactive UEs, focusing on UL WUS configuration, energy savings, and coexistence with legacy systems."
9.3.2,Rel-19,SBFD random access operation,Discussion of random access procedure enhancements for Sub-band Full Duplex operation
RAN2 #124 Agreement 6,Rel-18,RACH-less HO Behavior,UE PDCCH monitoring procedures after initial UL transmission in RACH-less handover
R1-2400482,,RedCap PRACH Signal Generation Correction,Discussion of necessary corrections for RedCap PRACH OFDM baseband signal generation parameters
Question 16,Rel-18,DCI field size determination issues,Resolution of ambiguous DCI format interpretations in dormant cell states
7.1,Rel-18,Aperiodic Triggering for SRS Carrier Switching,"Discussion on unresolved issues related to multiple SRS carrier switches triggered via DCI formats 1_1/1_2 or combined with DCI 2_3, and configuration with available slots."
9.1.2,Rel-19,AI/ML-based positioning,Discussion on specification requirements for AI/ML-driven positioning accuracy improvements in NR
9.4.1.2,Release 19,Device architecture requirements for ambient IoT,"Discussion of architecture components for Ambient IoT devices including power consumption targets, clock accuracy, energy storage models, and frequency shift mechanisms"
9.4.1.1,Rel-19,Evaluation Methodology for Ambient IoT,"Discussion on coverage assumptions, latency definitions, and device distribution models for Ambient IoT in NR."
NR_2step_RACH-Core,Rel-16,2-step RACH Enhancements,Discussion of corrections and enhancements for 2-step random access channel procedures
5,Rel-17/18,SSB-TimeOffset reference point,Discussion on changing reference point definition from UL sync reference to gNB
7,Pre-Rel18,NR Pre-Rel18 Maintenance,Discussion on SRS power scaling and transmission occasion definitions
7,NR Rel-15/16,NR Rel-15/16 Maintenance,"Discussion on aperiodic triggering support for SRS carrier switching, including multiple DCI handling and DCI format 1_3 support."
9.11.3,Release 19,NR-NTN Uplink Capacity Enhancement,"Discussion of DFT-s-OFDM PUSCH enhancements via OCC for FR1-NTN, including performance evaluation, signaling aspects, and standardization proposals"
9.4.2.4,Rel-19,CW Waveform Characteristics for A-IoT,"Discussion on characteristics of carrier-wave waveform for backscattering communication, including D2R performance analysis, spectrum efficiency comparisons, and interference suppression mechanisms"
RP-241686,,Cross-TSG TEI Handling,Coordination of work initiation procedures between TSGs to prevent improper use of TEI codes
9.7.2,Rel-19,Channel modelling for ISAC study,"Discussion on channel modeling aspects for Integrated Sensing and Communication systems including RCS characterization, background channel modeling, and mobility frameworks"
9.5.2,Rel-19,On-demand SIB1 Procedures,Discussion of signaling methods and procedures for triggering SIB1 transmission in energy-saving network configurations
7,Rel-18,Multiplexing UCI on MSG3 PUSCH,"Discussion on excluding MSG3 PUSCH from UCI multiplexing candidates due to NW detection challenges, with proposals for CBRA/CFRA differentiation and retransmission handling"
9.5.2,Rel-19,On-demand SIB1 for idle/inactive mode UEs,"Discussion on procedures and signaling methods to support on-demand SIB1 transmission for UEs in idle/inactive states, including wake-up signal configurations and legacy mechanism reuse."
9.4.1.1,,Ambient IoT evaluation results for TR38.769,Evaluation of single device latency performance for Ambient IoT systems in 5G-Advanced networks
9.1.1,Rel-18,AI/ML for NR air interface,Specification support for AI/ML-based beam management including spatial/temporal beam prediction and associated signaling mechanisms
9.2.3,Rel-19,Enhancements for 3-antenna-port codebook-based transmissions,"Discussion on SRS resource configurations, guard periods, power control, and power splitting for 3Tx UEs to support non-coherent UL codebook and antenna switching."
9.1.3.3,Release 19,Discussion on other aspects of AI/ML model and data,"Normative work continuation from Rel-18 studies focusing on CSI enhancement, beam management, and positioning use cases with AI/ML"
9.4.2.2,Rel-19,Ambient IoT Physical Layer Procedures,"Study on frame structure, synchronization, waveforms, and scheduling for Ambient IoT under TR 38.848."
9.5.1,3GPP Release 18,On-demand SSB for SCell operation,"Discussion of mechanisms for dynamic SSB transmission in secondary cells, including triggering events, signaling methods, and configuration aspects for carrier aggregation scenarios"
8.1,Rel-18,Maintenance on Rel-18 work items - Positioning,"Covers maintenance updates for Rel-18 positioning enhancements including SRS configurations, carrier phase positioning, LPHAP, bandwidth aggregation, and collision handling."
9.4.2.1,Rel-19,Physical layer design aspects for Ambient IoT devices,"Discussion of physical layer parameters including numerology, bandwidth configurations, multiple access schemes, waveform selection, and coding methods for Ambient IoT devices in Release 19"
9.4.2.3,Rel-19,Downlink and uplink channel/signal aspects for Ambient IoT,"Discussion of physical layer structures including R2D preamble design, PRDCH formats, control information mapping, and TBS limitations"
9.4.2.2,Rel-19,Frame structure and timing aspects,Discussion on physical layer structure and timing relationships for Ambient IoT communications
9.6.2,3GPP,LP-WUS Operation,Configuration and procedures for low-power wake-up signal operation in idle/inactive modes
9.1.3.3,Release 19,AI/ML Model and Data Aspects,"Discussion on model identification methods, association ID management, model transfer procedures, and training data collection for UE-side AI/ML models"
9.2.1,Rel-19,Enhancements to facilitate UE-initiated/event-driven beam management,"Discussion on reducing beam management overhead/latency via UE-initiated reporting, including trigger event definitions, RS measurement rules, UL signaling formats, and container configurations."
9.1.3.2,Rel-19,AI/ML-based CSI compression,Study on enhancements for temporal domain compression and inter-vendor collaboration methods
NR_NTN_enh-Core,Rel-18,NTN Core Enhancements,Discussion of NTN-specific enhancements for core network procedures
9.11.3,Rel-18,Uplink Capacity/Throughput Enhancement for FR1-NTN,Study and specification of DFT-s-OFDM PUSCH enhancements via Orthogonal Cover Codes (OCC) for NR NTN systems
9.2.2,Rel-19,Moderator Summary for Rel-19 CSI Enhancements,"Discussion of Type-I/II codebook refinement, CRI-based CSI for HBF, and CJT calibration reporting"
9.2.2,Rel-19,CSI enhancements for large antenna arrays and CJT,"Discussion on codebook extensions for 128 ports, beam-group power scaling, CJT calibration reporting, and coexistence requirements."
NR_eMIMO-Core,17,Enhanced MIMO Core Specifications,CR addressing DCI format precoding information consistency in MIMO configurations
NR_MIMO_evo_DL_UL-Core,,UL Control Signal Enhancements,Discussion of corrections for uplink reference signal association in MIMO configurations
9.1.1,Rel-19,AI/ML for beam management,"Discussion of specification support for AI/ML-based spatial/temporal beam prediction, LCM procedures, and input/output configuration for Rel-19."
9.12.1,Rel-19,On multi-cell PUSCH/PDSCH scheduling with single DCI,"Discussion of enhancements for scheduling multiple cells with single DCI, including mixed SCS support, multiple PUSCH/PDSCH per cell, and HARQ-ACK codebook management."
5,3GPP Release 18,Common TA Configuration in Regenerative Payload Scenarios,Clarification on whether negative ta-Common values are needed for regenerative payloads. Analysis confirms existing mechanisms (ta-Common ≥ 0) are sufficient.
9.2.2,Rel-19,CSI Enhancements for MIMO,Discussion on CSI feedback enhancements for 128-port configurations and inter-TRP calibration
9.3.1,Rel-19,SBFD TX/RX/measurement procedures,"Discussion on remaining issues in transmission, reception, and measurement procedures for Subband Full Duplex systems, including subband configuration mechanisms, frequency domain signaling, and cross-symbol type handling."
NR_FeMIMO,,Unified TCI state clarifications,Discussion on clarifying TCI state activation rules for Rel-18.
9.11.4,3GPP Release,IoT-NTN Uplink Capacity Enhancement,Discussion on orthogonal cover code schemes for NPUSCH format 1 and NPRACH in non-terrestrial networks
9.11.2,,Discussion on RedCap/eRedCap in NTN,Analysis of collision handling and scheduling challenges for HD-FDD RedCap UEs in NTN environments with large TA variations
9.10.1,,Enhancements to enable Tx/Rx for XR during RRM measurements,Discussion on UE assistance information and network signaling solutions to prioritize XR traffic during RRM measurement gaps/restrictions.
8.1,Rel-18,SL-U Physical Channel Design Framework,"Discussion of physical layer enhancements for sidelink operation in unlicensed spectrum including bandwidth part configuration, slot structure, PSCCH/PSSCH design, PSFCH handling, and synchronization mechanisms"
9.4.1.1,Rel-19,Initial evaluation results for Ambient IoT,Link budget analysis and coverage evaluation for Ambient IoT devices under different deployment scenarios
NR_SL_enh2-Core,,Sidelink Enhancement Specifications,Discussion of physical layer enhancements for NR sidelink communications
9.11,Rel-19,Work Plan for Rel-19 IoT NTN,Discussion and decision on the work plan for NTN IoT Phase 3 enhancements.
NR_Mob_enh2-Core,Rel-18,Core Aspects of NR Mobility Enhancements,Discussion of physical layer enhancements for mobility management in 5G NR networks
9.3.1,Rel-19,SBFD Operation Enhancements,"Discussion on UE procedures and configuration mechanisms for subband full duplex operation including time/frequency resource allocation, collision handling, and coexistence aspects"
9.10.1,NR Phase 3 (Rel-19),Enabling TX/RX for XR during RRM measurements,"Discussion of mechanisms to maintain XR QoS during RRM measurement gaps, including DCI-based dynamic skipping, measurement gap prioritization, and coordination with RAN4 requirements"
5,Rel-19,AI/ML Management Specifications,Discussion on SA5's request for RAN1 input regarding management requirements for NW-side AI/ML models in beam management and positioning use cases
9.4.2.3,Rel-19,The downlink and uplink channel consideration for ambient IoT,"Discussion on physical layer channel design and coding schemes for Ambient IoT, including proposals for new IoT-specific downlink/uplink channels and alternative coding methods"
9.5.1,Rel-18,On-demand SSB for SCell operation,Discussion of transmission mechanisms and operational scenarios for energy-efficient SSB transmission in SCells
9.11.4,Release 18,UL Capacity Enhancement,"Discussion on OCC schemes and DMRS designs for NPUSCH/NPRACH in IoT NTN, including simulation results for LEO scenarios"
5,Rel-18,SL positioning measurements,Discussion on RAN4's liaison statement regarding standalone reporting feasibility of SL PRS-RSRP/RSRPP measurements for Rel-18 NR SL positioning.
9.2.1,Rel-19,UE-initiated beam management,Enhancements for UE-driven beam reporting mechanisms to reduce latency and overhead in FR2 deployments
9.1.4.2,Rel-19,Discussion on other aspects of AI/ML model and data,"Analysis of model identification concepts, UE data collection mechanisms, and model transfer/delivery standardization needs"
RAN2-127-PowerControl,Rel-17,Power Control Parameter Configuration,Discussion on power control parameter requirements for unified TCI state framework implementation and coordination with RAN WG1
9.1,Rel-18/Rel-19,Artificial Intelligence (AI)/Machine Learning (ML) for NR Air Interface,"Covers beam management, positioning enhancement, CSI prediction, and additional studies like CSI compression."
7.3.1.1.3,,DCI format 0_2 enhancements,Discussion of editorial corrections for uplink scheduling parameters in NR specifications
9.1.3.2,Rel-19,AI/ML-based CSI compression,"Discussion on improvements for AI/ML-based CSI compression including beam domain processing, temporal-spatial-frequency compression, and model monitoring mechanisms"
4.5.3,Rel-18,SL channel access procedures in shared channel occupancy,Discussion of channel occupancy sharing mechanisms for sidelink communications
9.3.2,Rel-19,Random access procedure for SBFD,Discussion on SBFD operation support for random access in connected/idle modes
9.3.2,Rel-19,SBFD random access operation,Discussion on PRACH enhancements for subband full duplex operation in connected and idle/inactive modes
9.1.2,Rel-19,AI/ML Positioning Enhancements,Discussion of specification impacts for AI/ML-based positioning accuracy improvements including measurement enhancements and model management
9.5.2,Rel-19,On-demand SIB1 for IDLE/INACTIVE mode UEs,Discussion on procedures and signaling methods for Case 2 (1+B+X) implementation of OD-SIB1.
9.4.1.2,"October 14th – 18th, 2024",Ambient IoT Device Architecture,"Discussions on clock assumptions (sampling frequency ranges, calibration mechanisms), device states, energy harvesting models, and technical feasibility of frequency shift implementations for Ambient IoT devices."
5,Release 18+,AI/ML for NR Physical Layer,Discussion on AI/ML-based enhancements for physical layer procedures including beam management
R4-2406444,,Timing Advance Configuration,Discussion of default NTA offset values for PDCCH-ordered RACH
9.3.1,Release 18,SBFD TX/RX/measurement procedures,"Discussion on remaining issues for SBFD operation including time/frequency indication methods, FDRA enhancements, collision handling, and configuration interactions between SBFD/non-SBFD symbols"
NR_mob_enh2-Core,Rel-18,Core Aspects of NR Mobility Enhancements,Discussion of fundamental protocol changes for improved handover performance in 5G NR
9.1.3.3,Rel-19,Other aspects of AI/ML model and data,"Discussion on model identification concepts, UE-sided model training data collection mechanisms, and standardized model transfer/delivery solutions"
NR_pos_enh2-Core,,Positioning Measurement Reporting,Discussion on measurement report mapping for k values in positioning measurements
8.5.1,Rel-18,UE features for NR sidelink evolution,"Discussion on UE capability features for NR sidelink enhancements, including shared spectrum operations and carrier aggregation."
9.7.1,Rel-19,ISAC Deployment Scenarios,Discussion on channel modeling requirements and deployment scenarios for Integrated Sensing and Communication systems
9.8.2,R-19,Channel Model Adaptation/Extension,Discussion on extending TR38.901 channel model for 7-24GHz including near-field propagation and spatial non-stationarity aspects
8.1,Rel-18,Maintenance on Rel-18 work items,"Discussion of specification corrections and parameter alignments for IoT-NTN and NR-NTN in Release 18, including RRC parameter updates, PUCCH repetition configurations, and network verification mechanisms."
9.7.2,May 2024,ISAC Channel Modelling,"Discussion on methodologies, components, and modeling techniques for ISAC channel evaluation, including stochastic/ray-tracing models, RCS, and shadow fading."
9.1.4.1,Rel-17/18/19,AI/ML for PHY Layer,AI-based physical layer enhancements for channel estimation and beam management.
9.11.2,Rel-19,HD-FDD RedCap UE Operation in NTN,Discussion on collision handling and timing advance management for RedCap devices in non-terrestrial networks
9.9.1,Release 19,Measurements related enhancements for LTM,Discussion of measurement procedures and CSI acquisition timing for L1/L2-driven mobility enhancements
9.6.3,,LP-WUS operation in CONNECTED modes,Discussion on optimizing LP-WUS monitoring procedures for power efficiency in RRC_CONNECTED mode.
9.2.2,Rel-19,CSI enhancements,Enhancements for CSI acquisition and reporting including support for 128 CSI-RS ports and CJT improvements
9.4.2.2,Rel-19,Ambient IoT Physical Layer Design,"Discussion on frame structure, synchronization, random access, scheduling and timing aspects for Ambient IoT devices"
9.11.4,Rel-19,IoT-NTN Uplink Capacity Enhancement,"Discusses DMRS pattern modifications for OCC-based multiplexing, UL segment-aware OCC designs, signaling mechanisms for OCC configuration, and NPRACH enhancements with inter-symbol group OCC."
MBS-Core,,Multicast/Broadcast Services,Clarifications for DCI format 4_2 reserved bits in multicast scheduling.
9.5.1,Release 19,On-demand SSB configuration and scenarios,"Discussion on remaining issues for on-demand SSB in SCell operation including CD-SSB support, DCI triggering, and failure handling"
NR_SL_enh2-Core,,IUC/DRX Coexistence Mechanisms,Discussion of coordination between SL IUC and SL DRX in shared spectrum scenarios
NR_pos_enh2-Core,,SL-PRS Measurement Reporting,Alignment of RAN1 specifications with RAN2 agreements for multiple Rx ARP measurements in sidelink positioning
8.1,Rel-18,CSI-RS/SRS for spatial relation,Discussion on spatial relation sources for SRS transmission in RRC_INACTIVE state
9.1.3.1,R19,AI/ML for CSI Prediction,"Discussion on practical deployment scenarios, evaluation assumptions, and configuration priorities for AI/ML-based CSI prediction in Release 19."
9.1.2,Rel-19,AI/ML for NR Air Interface,"Discussion on AI/ML-based positioning accuracy enhancements, including model input/output specifications, training data collection, and signaling mechanisms."
9.2.4,Rel-19,MIMO Evolution for DL and UL,"Specify enhancements for asymmetric deployments with DL single-TRP and UL multi-TRP configurations, including PL offset support, dual closed-loop PC states for SRS, and two timing advances while maintaining backward compatibility."
9.5.2,Rel-19,On-demand SIB1 for idle/inactive mode UEs,Detailed design discussion for UE-triggered SIB1 acquisition in network energy saving states
8.3,Rel-18,Measurements and reporting for SL positioning,"Discussion on synchronization information exchange, resource pool reporting, and TS 38.214 parameter alignment for SL positioning"
9.8.1,Rel-19,Channel model validation of TR38.901 for 7-24GHz,"Validation of stochastic channel models for 7-24 GHz frequencies across multiple deployment scenarios including UMi, UMa, and proposed SMa environments"
9.4.1.2,Rel-18,Ambient IoT device architectures,Discussion of device architectures for ultra-low power Ambient IoT systems including backscattering techniques and power consumption optimization
9,Rel-18,UE procedure for reporting control information,Clarifies UE behavior when UCI overlaps with Msg3 PUSCH to prevent RACH failures.
9.3.3,Release 18,SBFD CLI Handling,Discussion of uplink resource muting patterns and L1-based interference measurement mechanisms for sub-band full duplex operation
9.11.4,Rel-17,IoT-NTN Uplink Capacity/Throughput Enhancement,"Discussion of DMRS pattern enhancements, OCC configurations, and NPRACH modifications for improved uplink performance in Non-Terrestrial Networks"
9.7.1,,ISAC Deployment Scenarios,Evaluation parameters for Integrated Sensing and Communication deployment scenarios
9.3.3,Rel-19,CLI handling for NR duplex evolution,Discussion of interference mitigation techniques for gNB-to-gNB and UE-to-UE cross-link interference
9.1.3.2,Release 19,Discussion on AI/ML-based CSI compression,"Discussion on data collection enhancements, model pairing procedures, and monitoring mechanisms for AI/ML-based CSI compression in Rel-19."
9.5.1,Rel-19,On-demand SSB SCell operation,Specification of procedures and signaling methods for on-demand SSB SCell operation in Rel-19 network energy savings
Issue 1-8,Release 18,TA Adjustment Accuracy,Alignment of NTN timing advance accuracy with FR1 values
9.1.1,Rel-19,AI/ML for Beam Management,Enhancements for AI/ML-based beam prediction and management in NR systems
9.11.2,Rel-19,(e)RedCap support in NR-NTN,"Mitigation of TA mismatch issues for HD-FDD (e)RedCap UEs in NTN, focusing on collision cases 3/4 and SIB19 reception enhancements."
9.7.1,Rel-18/19,ISAC Channel Modeling,Study on channel modelling aspects for Integrated Sensing And Communication (ISAC) focusing on object detection/tracking capabilities across six sensing modes and multiple deployment scenarios
8.4,Rel-18,PRACH Coverage Enhancements,Discussion on physical layer aspects of PRACH repetition schemes and configuration parameters
9.8.2,Release 19,Channel modelling enhancements for 7-24GHz,"Discussion on validating and extending TR38.901 channel models for 7-24 GHz frequency range, focusing on near-field effects and spatial non-stationarity"
9.4.2.2,Rel-19,Discussion on frame structure and timing aspects for Ambient IoT,"Discusses frame structure components (preamble, data channel, postamble), synchronization, random access procedures, and timing relationships for A-IoT."
9.6.3,Rel-18,LP-WUS Operation in Connected Mode,"Discussion on LP-WUS integration with C-DRX, configuration options (1-1/1-2), carrier aggregation support, and interaction with legacy power-saving features."
9.10.1,Rel-19,XR Enhancements,Discussion on RRM measurement adaptation for XR traffic prioritization
9.12.1,Rel-19,Multi-cell PUSCH/PDSCH scheduling enhancements,Discussion on specifications for multi-cell scheduling using single DCI with different SCS/carrier types and multiple PUSCHs/PDSCHs per cell
9.2.3,,Discussion on 3-antenna-port UL transmission,"Discussion on specifications for 3-antenna-port uplink transmissions, including SRS antenna switching and UE capability signaling."
9.5.2,Release 19,On-demand SIB1 for IDLE/INACTIVE mode UEs,Study procedures and signaling methods to support on-demand SIB1 transmission for energy-efficient UE operations in idle/inactive modes.
9.2.4,Rel-19,Discussion on DL single TRP and UL mTRP operation,"Focuses on specifying enhancements for asymmetric DL sTRP/UL mTRP deployment in Rel-19, including PL offset configurations, two-TA support, and synchronization improvements."
