agenda_id,doc_id,page_range
NR_pos_enh2-Core,R1-2405315,
9.6.1,R1-2400495,
9.1.3.2,R1-2404703,all
9.1.2,R1-2400845,
9.4.2.3,R1-2404181,
9.1.3,R1-2410537,1-5
8.1,R1-2409272,Entire document
8.2,R1-2403547,
9.3.1,R1-2403934,
12,R1-2406333,
8.12.3,R1-2401103,1-4
AI 8.1,RAN1#118bis-Schedule,
9.2.3,RAN1#119-Schedule,
9.3.1,R1-2400154,
9.4.2.1,R1-2406840,
9.6.1,R1-2410181,Full document
9.7.1,R1-246944,
9.7.2,R1-2400257,
5.1.5,R1-2407531,Clause 5.1.5
NR_MC_Enh-Core,R1-2404088,
NR_NTN_enh-Core,R1-2400983,
9.3.3,R1-2402923,
8.2.2,R1-2404102,1-23
10.1,R1-2409331,
9.4.2.3,R1-2403637,
8.2.1,R1-2404006,
9.6.3,R1-2410446,
9.7.1,R1-2402254,
9.3.1,R1-2406568,Entire document
9.3.2,R1-2402125,
9.1.2,R1-2408609,
8.1,R1-2407244,
9.2.2,R1-2408926,
9.4.2.2,R1-2405990,
9.1.2,R1-2406055,
9.1.3,R1-2408775,2/4
9.11.3,R1-2409959,
9.5.3,R1-2410888,
9.4.2.2,R1-2409485,Entire document
9.5,R1-2403272,1-4
9.11.2,R1-2407921,9-11
9.4.2.2,R1-2403393,
9.1.4.1,R1-2403349,N/A
8.4,R1-240xxxx,
8.3,R1-2400310,2/4
9.3.1,R1-2400826,1-3
9.2.3,R1-2404589,
NR_NTN_enh-Core,R1-2405739,1-3
9.1.1,R1-2403232,
9.2.4,R1-2404532,1-4
9.1,R1-24xxxxx,Entire Document
9.4.2.1,R1-2404941,Entire document
9.4.1.1,R1-242402105,
,R1-2403576,
FS_AmbientIoT,R1-2407887,
,R1-2402061,
FS_NR_pos_enh2,R1-2403620,Entire document
9.1.4.1,R1-2402270,1-3
9.6.1,R1-2401349,1-6
9.7.2,R1-2404469,Full Document
9.6.1,R1-2409520,1-10
9.4.2.4,R1-2410314,1-4
9.1,R1-2404482,
9.4.2.1,R1-2404890,
8.1,R1-2401482,
9.11.2,R1-2402623,
NR_Mob_enh2-Core,R1-2406996,Entire document
9.2.2,R1-2400322,
9.2.3,R1-2410341,
9.1.1,R1-2405808,Entire Document
9.1.1,R1-2404601,Entire document
NR_SL_enh2-IUC-DRX,R1-2401944,
8.1,R1-2407585,Sections 8.1-8.2
8.2,R1-2400538,
9.1.3.1,R1-2404446,
9.11.3,R1-2401239,
9.11.5,R1-2410366,
9.11.3,R1-2407139,
9.6.3,R1-2410233,
NR_pos_enh2-Core,R1-2402744,1-2
5,R1-2409786,
5.1.5,R1-2408197,
9.7,R1-2400575,2/3
9.4.1.1,R1-2406370,Entire Document
7,R1-2407421,1-13
9.9.1,R1-2408886,
9.1.2,R1-2400544,
8.1,R1-2403854,Entire document
9.4.1.2,R1-2400487,
9.4.2.3,R1-2407114,
5,R1-2402488,
9.3.2,R1-2406060,1-25
5,R1-2410113,Entire document
9.4.2.2,R1-2409514,all
9.1.2,R1-2407063,Entire Document
9.3.3,R1-2402880,Entire document
8.4,R1-2403295,
9.7.1,R1-2400529,
9.2.4,R1-2403414,
8.1,R1-2402431,Entire document
9.3.1,R1-2403191,1-13
R4-109-UE-Features,R4-2321730,Entire document
9.2.3,R1-2406365,
8.2,R1-2401509,
9.2.1,R1-2409563,
9.6.2,R1-2403106,
8.8,R1-2400764,
9.2.2,R1-2409970,
9.7.2,R1-2404926,
9.1.3.3,R1-2402790,1-11
9.3.3,R1-2402382,
5,R1-2400981,Entire Document
9.2.3,R1-2404110,
7.1,R1-2400520,1-4
NR_cov_enh-Core,R1-2403762,Full document
9.2.2,R1-2407279,Full Document
9.7.2,R1-2400867,
9.2.2,R1-2406907,
9.2.1,R1-2405122,
9.6.3,R1-2404666,Entire document
9.1.1,R1-2404567,1-3
9.4.2.4,R1-2405549,
9.2.2,R1-2408563,
9.11.3,R1-2410497,Entire document
9.5.2,R1-2402284,
9.6.3,R1-2409446,
9.4.2.4,R1-2404623,
9.4.2.3,R1-2402015,
9.6.3,R1-2406414,
9.3.3,R1-2409510,
9.2.3,R1-2405879,Entire document
9.8.2,R1-2404213,
21,R1-2403310,
9.6,RAN1#119 Chair's Notes,
8.1,R1-2407623,
,38.211 CR,
9.11.3,R1-2409980,Entire document
9.7.1,R1-2402851,
9.6.2,R1-2407060,Entire Document
Agenda_2TA_Enhancement,R1-2408025,
9.6.2,R1-2404510,Entire document
9.11.4,R1-2406809,1-4
9.4.1.1,R1-2403397,Entire Document
9.1.3.2,R1-2404654,
5,R1-2408550,
9.5.1,R1-2406783,
6.2.1.4.1,R1-2403970,
9.3.3,R1-2405833,
7.1,R1-2400943,
9.11.1,R1-2401342,
5,R1-2407890,
5.1,R1-2402912,
9.8.2,R1-2409468,
9.1.1,R1-2404015,
5,R1-2401368,1-4
AI 7,RAN1#118bis-Schedule,
9.6.1,RAN1#118bis Schedule,
9.7.1,R1-2400960,
8.2,R1-2410340,
,R1-2408439,
9.4.1.2,R1-2407032,
9.1.2,R1-2400923,
9.6.3,R1-2408131,Entire document
9.10.1,R1-2405464,Entire Document
,R1-2401610,
9.11.1,R1-2406670,Page 8
9.1.2,R1-2401172,
5.3,R1-2401090,5-12
9.11.1,R1-2401843,
9.1.2.1,R1-2401771,Clause 9.1.2.1
9.11.2,R1-2401300,
9.11.5,R1-2409409,Entire document
57-1,R1-2405566,
9.11.2,R1-2404262,
9.5.2,R1-2405372,
9.3.3,R1-2405817,Entire document
9.7.1,R1-2408340,
9.10.1,R1-2409426,
9.4.2.2,R1-2403446,
9.3.2,R1-2406514,
9.10.1,R1-2408314,
9.4.2.2,R1-2408763,
7.3.1.1.3,R1-2404079,
9.1.2,R1-2401492,
9.1.4.2,R1-2410380,
9.2.4,R1-2403089,
7.2,R1-2400892,
9.11.3,R1-2402374,
9.11.2,R1-2400345,
9.11.3,R1-2410357,
9.1.3,R1-2410899,Entire Document
5,R1-2410106,1-7
9.8.1,R1-2408388,1-16
9.5.3,R1-2404797,
7,R1-2405532,
9.3.1,R1-2409452,
9.5.3,R1-2402405,
9.7.1,R1-2406382,
9.4.1.1,R1-2400805,1-3
Question 15,R1-2410809,
7,R1-2409385,
9.4.2.4,R1-2403845,1-4
9.1.4.1,R1-2410249,
9.1.4.2,R1-2409483,full document
9.7.2,R1-2404190,
9.2.1,R1-2405035,1-9
9.1.4.1,R1-2404341,1-2
5,R1-2408297,
RAN2#124,R1-2402059,
9.6.1,R1-2405108,Entire document
9.5.1,R1-2400180,
8.1,R1-2405368,Entire document
9.2.3,R1-2403983,
9.2.3,R1-2409465,Entire Document
8.10,R1-2400587,
9.5.3,R1-2408415,
9.4.2.4,R1-2408209,
9.4.2.4,R1-2406245,
9.2.6,R1-2408557,Clause 9.2.6
9.2.4,R1-2409373,1-5
9.4.1.1,R1-2409022,Entire document
9.6.3,R1-2404783,
9.1.3,R1-2409927,Entire document
9.3.3,R1-2407353,1-15
9.11.3,R1-2408686,
Unknown,R1-2403795,
9.2.2,R1-2402633,
9.11.3,R1-2407207,Sections 1-5
9.4.1.2,R1-2404178,
9.11.1,R1-2402343,Entire document
8.2,R1-2400367,Entire document
9.5.1,R1-2407543,
9.1.4.1,R1-2403385,
3,RAN1#118bis,
9.7.2,R1-2400841,
9.9.1,R1-2410432,
9.1.3,R1-2410103,
9.4.1.1,R1-2407031,
9.2.4,R1-2405873,Entire document
9.2.2,R1-2400105,
9.2.2,R1-2410154,1-14
8.1,R1-2403467,Entire Document
9.4.2.4,R1-2402587,
9.7.1,R1-2405009,1-4
9.11.3,R1-2407222,
9.3.3,RAN1#118bis-Schedule,
9.4.1.1,R1-2410875,2/9
NR_SL_enh2-Core,R1-2406988,1-3
9.4.2.1,R1-2407033,Entire document
9.1.2,R1-2406255,1-21
9.1.1,R1-2410466,
9.5.1,R1-2407037,
7.3.1.1.2,R1-2407178,Entire document
9.5.3,R1-2404626,1-5
9.1.3.1,R1-2405489,
,R1-2410616,
9.6.1,R1-2402046,Entire document
9.6.3,R1-2409646,
9.1.3.2,R1-2406534,
NR_FeMIMO-Core,R1-2405758,Sections 7.3.1.1.2-1.3
9.2.4,R1-2405983,
9.4.2.3,R1-2404431,
8.2.1,R1-2407198,
NR_MIMO_evo_DL_UL-Core,R1-2407001,Entire document
9.3.3,R1-2407704,
9.2.2,R1-2410754,
9.3.1,R1-2407631,
7,R1-2409270,
8.1,RAN1#118bis Schedule,
9.11.1,R1-2402483,1-16
9.4.1.2,R1-2404116,Entire document
9.11.3,R1-2408242,1-8
9.6.3,R1-2407666,Entire document
9.6,R1-2403775,
9.4.2.2,R1-2404118,
9.3.2,R1-2404817,Entire document
9.4.2.3,R1-2400613,
9.1.3.1,R1-2405290,Entire Document
9.5.1,R1-2405114,
9.9.1,R1-2409492,
4.5.6.3,R1-2402360,
9.5,R1-2401143,
9.3.1,R1-2401652,1-32
9.4.1.2,R1-2407637,Sections 1-3
9.5.3,R1-2407868,
9.1.4.1,R1-2408016,
9.3.1,R1-2400838,Entire document
9.10.1,R1-2401457,
9.1.3.3,R1-2402695,
12,R1-2400000,
9.11.3,R1-2405265,Entire document
9.4.2.2,R1-2400778,entire document
9.1.3.3,R1-2407304,
9.6.3,RAN1#119-Schedule,
9.4,R1-2410929,
9.6.2,R1-2401983,
9.1.3.1,R1-2403053,1-6
9.3.1,R1-2406725,
NR_SL_enh2-Core,R1-2408617,
RAN3-SL-PRS-01,R1-2400016,1-2
9.1.1,R1-2401431,74/262
8.1,R1-2407205,
NR_mob_enh2-Core,R1-2405671,
8,R1-2401925,
9.6.3,R1-2405075,
9.4.2.3,R1-2406244,1-16
9.6.2,R1-2406662,
8.6,R1-2400992,
9.10.1,R1-2408892,
9.11.5,R1-2410874,
8.1,R1-2408835,
NR_Mob_enh2-Core,R2-2401958,
8.1,R1-2405461,
9.7.2,R1-2401064,
NR_SL_enh2-Core,R1-2402305,Entire document
9.3.1,R1-2406963,1-3
9.3.2,RAN1#119-MainSession,
9.4.2.4,R1-2404432,
8.4.1.1,R1-2402440,
7,R1-2403648,1-39
9.5.3,R1-2400669,
9.8.2,R1-2404340,Entire Document
NR_2step_RACH,R1-2402202,
9.2.1,R1-2400161,
NR_SL_enh2-Core,R1-2407541,Full document
8.1,R1-2405561,
9.2.4,R1-2403111,1-11
9.4.2.4,R1-2408732,
9.3.1,R1-2407901,
9.4.2.1,R1-2406654,1-23
9.7.1,R1-2403087,
9.2.3,R1-2403850,Entire Document
8.5,R1-2400991,
9.7,R1-2401768,
7,R1-2403313,
9.3.2,R1-2400178,
8.1,R1-2406350,
9.6.3,R1-2402521,Entire Document
9.4.2.2,R1-2407863,Entire document
9.3.3,R1-2407677,1-25
9.1.2,R1-2408774,Entire document
8.11,R1-2401518,Entire document
8.1.4,R1-2404646,
8.2.1,R1-2404101,
9.11.1,R1-2405421,
9.2.1,R1-2400100,
9.1.3.2,R1-2403235,
9.11.3,R1-2404216,Entire document
9.2.3,R1-2408639,
9.1.4.2,R1-2409929,
9.5.2,R1-2406848,
9.11.1,R1-2406202,
9.3.3,R1-2410142,1-4
8.1,R1-24xxxxx,
Agenda5,R1-2405780,
9.2.1,R1-2403900,1-9
9.1.4.2,R1-2410044,Entire document
NR_mob_enh2-Core,R1-2410243,
Unknown,R1-2402866,
9.6.2,R1-2404301,
9.14.2,R1-2409620,Page 21
9.5.2,R1-2404625,Entire document
9.4.2.2,R1-2406011,
9.7.1,RAN1#119,
9.6.3,R1-2402477,1-6
9.2.1,R1-2408319,
9.4.2.4,R1-2406375,
9.5.1,R1-2408791,
9.5.2,R1-2405370,Full document
9.1.3.2,R1-2403380,
9.4.1.1,R1-2408374,
5.2.2.5,R1-2401690,Entire document
5.2.2.5,R1-2400951,
9.1.3,R1-2408688,
5,R1-2405830,
9.1.1,R1-2410018,
8.4,R1-2402991,Entire document
9.3.1,R1-2400300,
9.10.1,R1-2409562,
7,R1-2407483,
9.3.1,R1-2410410,Entire document
6.2.1,R1-2407841,
9.7.2,R1-2410370,
9.1.2,R1-2403461,
R19 MIMO,R1-2409094,
9.6.3,R1-2406297,
,R1-2401839,
8.1,R1-2407404,
9.1.3.3,R1-2404388,
9.1.4.1,CR-Form-v12.3,1-4
9.11.1,R1-2409650,Entire Document
8.1,R1-2400390,Entire document
NR_Mob_enh2,R1-2406633,1-3
9.8,R1-24xxxxx,1-3
5,R1-2407727,
RAN1#117,R1-2405837,
7,R1-2403589,
9.10.1,R1-2406065,
21,R1-2403310,1/3
9.1.3.2,R1-2401270,
9.4.2.2,R1-2406558,1-3
9.2.1,R1-2408223,
9.3.2,R1-2408847,
9.9.1,R1-2410403,
9.5.1,R1-2400515,
9.4.2.2,R1-2401789,
RAN1_116bis_2step_eRedCap,R1-2402183,
7,R1-2402426,
5,R1-2409496,1-5
8.1,R1-2407464,
9.4.2.1,R1-2407131,
6.2.1.4.1,R1-2408288,Section 6.2.1.4.1
9.4.2.1,R1-2409071,Entire Document
9.6.1,R1-2409559,Entire document
B-1-2,R1-2400952,
9.3.1,R1-2406578,
9.4.2.4,R1-2407973,Entire Document
9.2.2,R1-2402559,Entire document
9.11.4,R1-2409722,Entire document
8.2.1,R1-2405411,
9.6.1,R1-2402544,
NR_SL_enh2-Core,R1-2400004,
9.2.2,R1-2400957,
6.1,R1-2400594,
7,R1-2407431,
8.1,R1-2408127,
9.11.4,R1-2404864,
7,R1-2403552,Entire document
9.4.2.3,R1-2408674,
FS_AmbientIoT,R1-2406319,
9.1.2,R1-2406719,entire document
9.11.4,R1-2400752,
9.1.3.3,R1-2400236,
7,RAN1#119 Online Session Schedule,
9.2.1,R1-2406595,
9.5.3,R1-2400252,1-9
9.4.2.4,R1-2404182,
9.7.2,R1-2405010,
9.1.1,R1-2405336,
9.2.3,R1-2400919,
9.1.3.2,R1-2406017,
9.4.2.4,R1-2409601,
9.4.1.2,R1-2408047,
9.6.1,R1-2410486,
9.1.2,R1-2406638,
9.1.3.3,R1-2402850,
9.1.2,R1-2405976,Entire Document
9.4.2.3,R1-2409803,
9.3.1,R1-2405039,
9.4.2.1,R1-2400934,
9.2.1,R1-2403055,
9.2.1,R1-2404611,
9.3.1,R1-2402795,Entire document
9.1.4.1,R1-2408623,
9.11.4,R1-2400629,entire document
9.11.1,R1-2410160,
9.1.4.2,R1-2410470,1-9
9.1.3,RAN1#118bis Schedule,
NR_Mob_enh2-Core,R1-2405305,Entire document
9.3.1,R1-2403162,1-19
1,R1-2407585,
5,R1-2410900,
9.6.2,RAN1#119_Schedule,
9.5.1,R1-2404577,
9.6.2,R1-2402741,Entire document
,R1-2404157,
9.2.2,R1-2402156,
7.1,R1-24xxxxx,
NR_pos_enh2-Core,R1-2405288,
9.5.1,R1-2404807,Entire Document
9.2.1,R1-2408296,
9.3.2,R1-2401218,Entire document
9.7.1,R1-2401705,
9.1.1,R1-2409479,
9.3.2,R1-2410412,
9.7.2,R1-2408316,
5.1.5,R1-2405676,
9.1.2,R1-2402997,1-19
9.1.3,R1-2409853,entire document
4.5.6,R1-2407486,
9.1.1,R1-2402553,
9.1.3.1,R1-2403184,Entire document
9.7.2,R1-2404542,Entire Document
9.4.2.3,R1-2409486,Entire Document
8.3,R1-2401547,
R1-2400407,R1-2400407,
8.4,R1-2402060,
5,R1-2403353,
NR_MC_enh-Core,R1-2406119,
9.7.1,R1-2400341,
9.9.1,R1-2408714,Entire document
9.1.1,R1-2409925,Entire document
9.4.2.4,R1-2402951,Entire document
9.4.1.1,R1-2404427,1-5
9.2.3,R1-2402634,
9.4.2.1,R1-2401258,Entire document
9.11.2,R1-2409102,Full Document
5.18.35,R1-2402709,
8.4,R1-2403526,entire document
9.9.1,R1-2406200,
8.1.4,R1-2407487,
,R1-2406346,
8.4,R1-2403282,
9.3.1,R1-2408142,1-22
9.4.1.1,R1-2410090,
9.4.1.1,R1-2410312,Entire document
9.4.2.3,R1-2405300,Full Document
9.4.2.2,R1-2410653,
9.2.1,R1-2404170,
9.11.4,R1-2406205,1-14
9.1.3.1,R1-2401303,
8.12.1,R1-2401618,
9.5.3,R1-2403136,
9.4.1.1,R1-2401443,Full Document
9.2.2,R1-2410382,1-9
8.1,R1-2410597,
9.10.1,R1-2401028,1-6
9.2.2,R1-2406644,1-33
9.5.1,R1-2408248,
9.4.1.1,R1-2410638,Full Document
7,R1-2407442,
8.1.2.1,R1-2405555,
4.5,R1-2404641,
9.3.2,R1-2400054,1-11
Positioning Enhancements,R1-2404984,Entire document
9.2.2,R1-2405485,Full Document
9.7.1,R1-2410097,
9.6.2,R1-2410445,1-4
9.5.3,R1-2410784,
5,R1-2409830,
R19 NES,RAN1#118bis Schedule,
6,R1-2403591,
9.5.1,R1-2401985,Entire document
5,R1-2404142,
5,R1-2403990,
9.6.3,R1-2401454,
9.11.2,R1-2400425,
9.5.2,R1-2401536,
9.4.1.2,R1-2405825,
9.5.3,R1-2401451,
9.2.2,R1-2410667,Entire document
9.4.2.4,R1-2400860,
9.2.2,R1-2408739,
9.2.2,R1-2409630,
9.3.1,R1-2401654,
9.6.3,R1-2406943,Entire Document
6.2.1.4.1,R1-2407403,
8.2,R1-2402300,
9.2.3,R1-2402100,
9.6.2,R1-2406423,Full Document
8.1,R1-2407233,
9.8.1,R1-2404415,
FS_NR_AIML_air,R1-241xxxx,
9.1.3.2,R1-2405809,
9.6.3,R1-2402762,
9.9.1,R1-2408372,entire document
NR_FR1_lessthan_5MHz_BW-Core,R1-2407012,1-3
8.1,R1-2408994,
9.4.2.3,R1-2404292,Entire Document
8.1,R1-2409665,
9.11.3,R1-2407206,
9.2.1,R1-2409748,
9.1.2,R1-2406827,
7.3.1.1.2,R1-2405478,Section 7.3.1.1.2
19,R1-2409340,
9.4.1.1,R1-2408849,Entire document
9.3.3,R1-2405468,Entire document
7,R1-2403533,N/A
Issue 1-8,R4-2403494,
NR_NTN_enh-Core,R1-2407509,1-3
9.11.1,R1-2406052,1-4
9.7.2,R1-2408658,
9.5.3,R1-2403871,Entire document
9.8.1,R1-2406007,1-7
7–24GHz,RAN1#119,Tuesday 08:30~10:30
9.4.2.2,R1-2404798,1-6
8.11,R1-2401098,
9.4.2.3,R1-2406012,
9.4.1.1,R1-2405155,
9.1.2,R1-2404905,1-24
7,R1-2405533,N/A
8.1,R1-2410896,
9.3.2,R1-2402755,
9.4.1.1,R1-2408598,
9.1.3.3,R1-2400797,
NR_MC_enh,R1-2404730,1-3
9.11.3,R1-2405507,Entire document
9.2.2,R1-2400728,
7,R1-2403784,
9.1.1,RAN1#118bis-Schedule,Monday 14:30-16:30
9.8.1,R1-2403267,
19.2,R1-2403546,
5,R1-2405330,
,R1-2405635,
R1-116bis-MIMO,R1-2403805,
9.6.2,R1-2402977,
10.1,R1-2403708,
9.4.2.2,R1-2400664,1-4
9.7.1,R1-2409608,Page 1-9
8.1,R1-2405463,
9.4.2.4,R1-2405160,
,R1-2406165,
9.6.1,R1-2403864,Full Document
9.1.2,R1-2406270,
9.3.2,R1-2409539,
9.5.1,R1-2406608,
R1-2409353,R1-2410146,
7,R1-2402161,
9.4.2.1,R1-2408765,
7,R1-2403400,
9.1.2,R1-2405144,1-5
9.11.1,R1-2402003,Entire Document
9.4.2.4,R1-2403767,Entire document
9.4.2.1,R1-2408967,
9.2.1,R1-2400237,
9.2.3,R1-2409429,
9.5.2,R1-2408573,
9.5.3,R1-2401125,1-5
8.2,R1-2402432,
8.2.1,R1-2405411,29/52
9.3.3,R1-2401118,
9.3.1,R1-2410574,Entire document
9.5.3,R1-2405918,
NR_NTN_Ph3-Core,R1-2405972,
9.11.4,R1-2405493,
R1-2403828,R1-2404679,1-2
9.1.1,R1-2410204,
9.2,R1-2401935,
9.1.1,R1-2400376,
5.2.2.5,R1-2400951,Clause 5.2.2.5
NR_Mob_enh2-Core,R2-2409376,1-2
NR_MIMO_evo_DL_UL-Core,R1-2407790,
9.12.1,R1-2409163,Full document
19.2,R1-2403723,
9.5.1,R1-2400667,Entire Document
9.6.1,R1-2407614,
9.6.3,R1-2402588,1-9
9.2.1,R1-2404475,
9.1.4.1,R1-2408291,1/12
8.5,R1-2401313,
5,R1-2406877,
8.1,R1-2410670,Entire document
9.4.2.1,R1-2403246,
9.4.1.1,R1-2406652,
9.1.3.2,R1-2400095,
FS_NR_duplex_Evo,R1-2408186,
Antenna Switching,R1-2404246,
9.4.2.3,R1-2403121,
9.1.2,R1-2400506,
7,R1-2403722,Entire document
9.4.2.3,R1-2400632,
9.4.2.2,R1-2409026,1-23
9.5.2,R1-2404033,
9.11.2,R1-2404785,Entire document
9.5.3,R1-2406734,
9.1.4.1,RAN1#119 Offline Session Schedule,
9.6.1,R1-2403616,
9.5.2,R1-2400567,
NR_MBS-Core,R1-2407454,
5.2.2.5,R1-2401860,
9.5.1,R1-2406049,
9.1.1,R1-2400766,
9.4.1.2,R1-2402041,
7,R1-2403626,
PSFCH_PowerControl,R1-2400024,
8.1,R1-2410816,
9.6.2,R1-2402895,1-28
9.6,R1-2400640,Full Document
8.12.5,R1-2400676,Sections 2-6
9.2.2,R1-2409761,
9.4.2.2,R1-2408702,
9.1.1,R1-2407988,
9.3.1,R1-2403057,
9.1.3.1,R1-2407013,
9.4.2.3,R1-2408570,
5,R1-2409478,Entire Document
9.6.3,R1-2410512,
5,R1-2404956,
9.3.2,R1-2406650,1-23
9.2.2,R1-2402839,
4.5.3,R1-2402753,
NR_NTN_enh-Core,R1-2407406,
9.1.4.2,R1-2410022,Entire document
8.3,R1-2402301,
9.7.2,R1-2402178,
9.6.2,R1-2408479,
5,R1-2400306,
9.1.2.2,CR-Form-v12.2 (R1-2301743 follow-up),
9.7.2,R1-2410660,Entire document
9.1.1,R1-2410193,entire document
8.1,R1-2407473,
2,RAN1#118bis,
5,R1-2410451,
9.6.2,R1-2409240,1-24
9.4.1.1,R1-2404456,
9.2.4,R1-2400384,all pages
5,R1-2407998,Entire document
8.8,R1-2401848,
9.3.3,R1-2401274,
7.2.2,R1-9411-1,
9.6.3,R1-2409607,
RAN2-126-Agenda,R2-2405986,
9.11.1,R1-2404670,
8.5,R1-2401783,
9.2.5,R1-2405256,Clause 9
9.7.1,R1-2402678,Entire document
5,R1-2408612,Page 2
9.1.1,R1-2404877,Entire document
9.2.2,R1-2409889,
9.4.2.3,R1-2407071,
9.11.5,R1-2408273,
9.1.2,R1-2410150,
9.1.3.3,R1-2404540,1-7
9.1.3.2,R1-2402921,Full Document
9.11.4,R1-2403444,
9.1.4.1,R1-2403621,1-2
9.4.2.2,R19 A-IoT,
9.4.1.1,R1-2405818,1-7
9.7.1,R1-2409952,
8.1,R1-2410774,Entire Document
,R1-2404162,
9.8.1,R1-2409610,
9.8.1,R1-2405588,
9.3.2,R1-2409411,1-16
9.5.2,R1-2406022,1-12
9.1.3.2,R1-2404493,
9.1.4.2,R1-2407697,
9.7.1,R1-2404486,
9.5.2,R1-2406516,entire document
NR_pos_enh2-Core,R1-2407240,
9.4.2.3,R1-2409866,
8.4,R1-2403681,1-27
9.5.1,R1-2401232,
9.5.1,R1-2402536,full document
9.4.1.1,R1-2409319,
5,R1-2408771,11-12
Clause 7.3.2.2,R1-2410933,
8.1,R1-2409095,
8.2.1,R1-2405409,
8.5.1,R1-2402313,
8.2.2,R1-2404485,
8.2,R1-24010663,
9.2.1,R1-2407622,
8.1,R1-2409922,
9.1.3.3,R1-2403933,
8.12.4,R1-2400229,
8.1,R1-2406621,Entire document
9.4.1.1,R1-2407608,
5,R1-2409657,
8.3,R1-2403783,
9.7,R1-2404631,
9.7.2,R1-2409818,1-18
9.7.2,R1-2408883,
9.6.3,R1-2409561,
9.6.3,R1-2407378,
9.1.3.1,R1-2400795,
9.1.3.2,R1-2402369,
9.4.1.2,R19 A-IoT,
9.5.3,R1-2406294,Entire document
9.9.1,R1-2410244,
9.11.2,R19 NTN,
9.10.1,R1-2408662,Page 3
9.8,R1-2407481,
9.3.1,R1-2404497,
9.11.2,R1-2403633,
9.4.2.3,R1-2400800,
9.2.4,R1-2404476,
Topic 3,R1-2403704,
9.1.3.1,R1-2401875,
9.1.3.3,R1-2402873,
FeMIMO-Core,R1-2400761,Entire document
9.5.3,R1-2406687,Entire document
9.3.1,R1-2406102,
38.213 CR38,R1-2406625,1-2
9.11.1,R1-2408426,1-21
9.4.2.2,R1-2401402,
9.1.3.2,R1-2405978,
9.5.1,R1-2409109,
9.9.1,R1-2408360,
9.5.3,R1-2400862,
9.1.4.1,R1-2409928,entire document
9.5.2,R1-2402829,
9.8.2,R1-2404416,Entire document
9.4.2,R1-2401404,
9.6.2,R1-2406296,
9.2.5.2,R1-2401887,
9.2.1,R1-2406521,entire document
9.6.3,R1-2402892,
9.4.1.2,R1-2403398,
9.7.1,R1-2410369,
9.2.3,R1-2400773,
9.1.2,R1-2405385,1-28
9.3.2,R1-2408143,Entire document
9.2.2,R1-2407262,
9.1.2,R1-2404316,
9.5.3,R1-2407976,Entire Document
9.7.1,R1-2406874,1-12
16.2.3,R1-2405393,
9.2.1,R1-2404713,
NR_MIMO_evo_DL_UL-Core,R1-2405760,
8.2,R1-2402701,
,R1-2400595,
9.4.1.1,R1-2408464,entire document
9.11,R1-240XXXX,Entire Document
8.4,R1-2403575,
9.1.2,R1-2410217,
9.3.3,R1-2403266,
9.12,R1-2407585,
9.5.2,R1-2409014,Full Document
9.4.2.2,R1-2403247,1-12
9.4.2.4,R1-2409367,Full Document
9.1.4.1,R1-2409790,Entire document
NR_NTN_solutions-Core,CR 0497 rev 1,1-3
9.6.2,R1-2406854,
8.2,R1-2403263,
8.2,R1-2408767,
9.1.3.1,R1-2400915,
9.6.3,R1-2410804,
5,R1-2401392,Entire document
9.3.3,R1-2404518,entire document
8.3,R1-2401628,
9.9.1,R1-2406001,
8.3,R1-2400191,
9.5.3,R1-2410443,
7,R1-2410839,
8.1,R1-2405458,
9.1.4.1,R1-2405449,N/A
RA Timing Procedures,R1-2405338,
RP-234014,R1-2401211,
8.4,R1-2400122,
9.2.4,R1-2410263,Entire document
5,R1-2409024,1-4
9.2.2,R1-2401480,Entire document
9.8.2,R1-2403857,
,R1-2406125,
Q1,R1-2409174,Section 1-2
9.1,R1-2401766,
9.1.3.3,R1-2406976,entire document
9.5.3,R1-2409643,
9.1.4.1,R1-2407748,
8.1,R1-2405693,
9.4.2.4,R1-2401975,
9.5.3,R1-2405813,
9.7.2,R1-240xxxx,entire document
9.1.3.1,R1-2402848,Entire document
7.1,R1-2401697,
9.5.3,R1-2408378,Entire Document
Netw_Energy_NR-Core,R1-2401876,Entire document
9.2.3,R1-2404172,
9.6.3,R1-2400906,
9.5.2,R1-2408377,
9.1.4.2,R1-2410192,
9.11.3,R1-2401484,entire document
9.11.3,R1-2406101,1
9.4.2.4,R1-2408675,Entire Document
8.1,R1-2407011,Section 8.1
9.4.1.1,R1-2408930,
9.4.2.3,R1-2408764,
9.5.3,R1-24abcde,
9.2.1,R1-2400553,
9.2.2,R1-2401113,
9.2.2,R1-2402139,1-12
9.6.2,R1-2402545,
9.2.2,R1-2410756,
9.7.2,R1-2408341,Entire document
9.5.2,R1-2401450,
9.2.2,R1-2403145,1-9
9.3.3,R1-24xxxxx,Entire Document
8.12.4,R1-2400537,
9.5.1,R1-2409448,Entire document
9.7.2,R1-2403715,Entire document
NR_NTN_solutions-Core,R1-2407526,
9.4.2.4,R1-2403639,
9.9.1,R1-2408800,1-9
9.4.2.3,R1-2404872,
9.1.3.1,R1-2401109,
9.3.3,R1-2408088,
5,R1-2404952,
8.4,R1-2403574,Entire Document
7,R1-2410652,
8.2,R1-2403519,
9.5.2,R1-2405106,
9.4.2.1,R1-2410267,1-7
8.3,R1-2400580,Entire document
