contributor_name,doc_id,contribution_type
Fraunhofer Heinrich Hertz Institute,R1-2400907,Technical Analysis
Ericsson,R1-2401194,Technical Analysis
Huawei,R2-2313618,Reply LS
vivo,R1-2401842,Summary of discussion on SRS transmission
Huawei,R1-2400111,Rapporteur
AT&T,R1-2406872,Discussion Document
CMCC,R1-2407919,Contribution
Nokia,R1-2408545,Discussion and Decision
ETRI,R1-2410269,Technical Analysis
Ericsson,38.211,Technical Proposal
CICTCI,R1-2409952,Source
Nokia,R1-2400936,Source
Samsung,R1-2409059,Moderator Summary
Spreadtrum Communications,R1-2402097,Discussion/Decision Proposal
Sharp,R1-2406972,Technical Analysis
Sony,R1-2400858,Source
TCL,R1-2406899,Technical Proposal
Nokia,R1-2410139,Discussion and Decision
Huawei,R1-2403660,Ad-Hoc Chair
Huawei,R1-2407316,CR Proposals
Nokia,R1-2400650,Proposal
vivo,R1-2402203,Reply LS
HiSilicon,R1-2401395,CR Proposal
vivo,R1-2401482,Alternative Solution Proposal
ETRI,R1-2401236,Technical Proposal
NICT,R1-2410585,Discussion
"NTT DOCOMO, INC.",R1-2403226,Technical Contribution
Samsung,R1-2400734,Discussion and decision
Thales,R1-2406439,Source
Ericsson,R1-2406122,Technical Analysis
Intel Corporation,R1-2407403,Moderator
CATT,R1-2409084,Moderator Summary
NEC,R1-2404665,Discussion
Ericsson,R1-2401925,Commenter
Nokia,R1-2409767,Technical Proposal
Huawei,R1-2406981,Contribution
Sanechips,R1-2404561,Source
Qualcomm Inc.,R1-2405132,Reply LS
ZTE Corporation,R1-2404999,Change Request Submission
Huawei,R1-2405535,Moderator
CEWiT,R1-2410580,Source
Ericsson,R1-2406134,Technical Contribution
ZTE Corporation,R1-2409318,Source
"NTT DOCOMO, INC.",R1-2410830,Draft FL Summary
CMCC,R1-2410638,Moderator Summary
Intel Corporation,R1-2400369,Technical Proposal
vivo,R1-2405727,Source
Xiaomi,R1-2400538,Text Proposals #1 and #2
RAN2,R2-2313706,Technical Contribution
vivo,R1-2401611,Moderator Summary
Huawei,R1-2410845,Ad-Hoc Chair
Sony Group Corporation,R1-2404501,Discussion
CMCC,R1-2409519,Technical Contribution
Apple Inc.,R1-2409788,Technical Contribution
Intel Corporation,R1-2403983,Technical Proposal
LG Electronics,R1-2407437,Moderator
NEC,R1-2409859,Contribution
NTT DOCOMO,R1-2405018,Source
China Academy of Telecommunications Technology,R1-2408057,Source
Huawei,R1-2403670,Change Request
Spreadtrum Communications,R1-2405914,Discussion and decision
China Unicom,R1-2405183,Discussion and Decision
Futurewei,R1-2402048,Discussion
AT&T,R1-2408758,Discussion/Approval
Ericsson,R1-2409180,Moderator
ZTE,R1-2404258,Discussion
Apple,R1-2408488,Technical Proposal
"InterDigital, Inc.",R1-2400629,Discussion Document
Spreadtrum,R1-2409654,Technical Analysis
Google,R1-2402280,Discussion/Decision
NEC,R1-2406693,Technical Contribution
Nokia,R1-2404930,Technical Contribution
Samsung,R1-2404119,Discussion/Decision Proposal
CMCC,R1-2405376,Moderator Summary
Spreadtrum,R1-2409635,Technical Analysis
CEWiT,R1-2407092,Discussion
CATT,R1-2404369,Change Request
Ericsson,R1-2401077,Discussion
Qualcomm Incorporated,R1-2407463,CR Proposal (R1-2407016)
SK Telecom,R1-2400877,Discussion Document
"Nokia, Nokia Shanghai Bell",R1-2400365,Technical Proposal
New H3C,R1-2403724,Contributor
Lenovo,R1-2406521,Source
Spreadtrum Communications,R1-2407708,Technical Proposal
vivo,R1-2407830,Reply LS
ZTE,R1-2410767,Moderator Summary
CMCC,R1-2400320,Discussion
Qualcomm Incorporated,R1-2405172,Technical Proposal
Spreadtrum Communications,R1-2407704,Technical Contribution
Fujitsu,R1-2401206,Discussion/Decision Document
CATT,R1-2409983,Contribution
CATT,R1-2406322,Source
RAN WG1,R1-2401824,Source
Nokia,R1-2402601,Discussion Document
Huawei,R1-2410824,Moderator/Original Proposal
TCL,R1-2400188,Discussion document
Huawei,R1-2401675,Proposals on SSB triggering mechanisms
vivo,R1-2407235,Source to TSG
ASUSTeK,R1-24010548,Discussion and Decision
"NTT DOCOMO, INC.",R1-2407222,Technical Proposal
Huawei,R1-2407658,Technical Contribution
"NTT DOCOMO, INC.",R1-2410377,Contribution
Xiaomi,R1-2409901,Discussion and Decision
"NTT DOCOMO, INC.",R1-2406949,Discussion and Decision
CEWiT,R1-2403058,Technical Contribution
Huawei,R1-240xxxx,Technical Proposals
Nokia,R1-2401245,Contribution
MediaTek Inc.,R1-2410871,Clarification on SSSG timer reset after DCI-triggered BWP switch
Qualcomm,R1-2407287,Technical Feedback
Samsung,R1-2409060,Moderator
ZTE,R1-2402065,Technical Proposal
Tejas Networks Pvt. Ltd.,R1-2403894,Technical analysis and proposals
CMCC,R1-2407901,Technical Proposal
Xiaomi,R1-2400542,Discussion
Qualcomm Incorporated,R1-2410476,Technical Contribution
Qualcomm Incorporated,R1-2407051,Source
OPPO,R1-2404864,Technical Analysis
"NTT DOCOMO, INC.",R1-2408786,Technical Proposal
Qualcomm Incorporated,R1-2401453,Technical Proposal
"NTT DOCOMO, INC.",R1-2405049,Discussion and Decision
Intel Corporation,R1-2401548,Moderator
CMCC,R1-2409522,Discussion & Decision
NEC,R1-2409860,Technical Proposal
CMCC,R1-2410840,Ad-hoc Chair
LG Electronics,R1-2408670,Discussion and decision
vivo,R1-2409090,Moderator
Spreadtrum Communications,R1-2402123,Discussion
InterDigital Inc.,R1-2402693,Discussion
Intel,R1-2409290,Contributor
Qualcomm Incorporated,R1-2405148,Technical Contribution
Qualcomm,R1-2401559,Moderator
Nokia Shanghai Bell,R1-2402600,Discussion and Decision
Lenovo,R1-2406073,Discussion Document
Lenovo,R1-2406081,Discussion
vivo,R1-2410793,Moderator Summary
Xiaomi,R1-2400548,Discussion
OPPO,R1-2406241,Technical Contribution
HiSilicon,R1-2405871,Source
Huawei,R1-2410879,Technical contribution
MediaTek Inc,R1-2407335,Source
Samsung,R1-2406617,Technical Contribution
ETRI,R1-2404785,Technical Analysis
Rohde & Schwarz,CR-Form-v12.2,CR Proposal
Qualcomm Incorporated,R1-2407031,Technical Analysis
Ericsson,R1-2410618,Source
AT&T,R1-2410338,Moderator Summary
Ericsson,R1-2407556,Source
Fraunhofer HHI,R1-2404903,Technical Analysis
vivo,R1-2402250,Contribution
Huawei,R1-2410611,Technical Contribution
Ericsson,05573,CR Source
OPPO,R1-2405348,Moderator Summary
NEC,R1-2407361,Technical Proposal
OPPO,R1-2405664,Moderator
Panasonic,R1-2400824,Discussion
China Telecom,R1-2407740,Discussion and decision
HiSilicon,R1-2400144,Source
"MediaTek, Inc.",R1-2410766,CR Proposal
Ericsson,R1-2401218,Technical Proposal
Fraunhofer HHI,R1-2403041,Technical Contribution
Nokia,R1-2403315,Discussion and Decision
Huawei,R1-2407650,Technical Proposal
LG Electronics,R1-2403508,Moderator/Source
Tejas Networks Ltd,R1-2409754,Technical Proposal
Panasonic,R1-2409544,Discussion/Technical Proposal
Fraunhofer IIS,R1-2403336,Technical Contribution
Ericsson,R1-2401821,Moderator Summary
vivo,R1-2402255,Discussion and Decision
Huawei,R1-2405756,Change Request Proposal
Intel Corporation,R1-2409001,Moderator Summary
LG Electronics,R1-2401506,Moderator Summary
"NTT DOCOMO, INC.",R1-2410813,Moderator Summary
RUijie networks,R1-2405124,Discussion and decision
"AT&T, FirstNet",R1-2410332,Source
CATT,R1-2409956,Discussion and Decision
Lenovo,R1-2408201,Discussion
Google,R1-2400402,Technical Contribution
"InterDigital, Inc.",R1-2401039,Discussion and Decision
Nokia Shanghai Bell,R1-2404225,Discussion and Decision
Samsung,R1-2401720,Co-author
LG Electronics,R1-2408336,Technical Proposal
MediaTek,R1-2407214,Moderator Summary
Ericsson,R1-2402417,Technical Contribution
OPPO,R1-2406218,Contribution
ZTE,R1-2402417,Technical Contribution
vivo,R1-2401865,Source to WG
Google,R1-2410901,Liaison Statement
vivo,R1-2409008,Technical Proposal
ZTE,R1-2409155,Moderator
MediaTek Inc.,R1-2402934,Discussion Document
Ericsson,R1-2407427,Moderator Summary
CATT,R1-2404353,Technical Contribution
Nokia,R1-2410684,Clarification Proposal
Ericsson,CR-Form-v12.2 CHANGE REQUEST 4,Technical Contribution
Ericsson,R1-2405482,Source
ETRI,R1-2408564,Discussion/Decision
Xiaomi,R1-2400558,Technical analysis and proposals
Ericsson,R1-2410934,Change Proposal
"Nokia, Nokia Shanghai Bell",R1-2410553,Source
HiSilicon,R1-2403337,Discussion and Decision
Lenovo,R1-2402931,Contribution
Ericsson,R1-2401369,Technical Contribution
vivo,R1-2409132,Moderator
"NTT DOCOMO, INC.",R1-2401514,Moderator Summary
Fraunhofer IIS,R1-2404903,Technical Analysis
CATT,R1-2409945,Contribution
vivo,R1-2406163,Change Request
CAICT,R1-2403159,Discussion and decision
MediaTek Inc.,R1-2410527,Technical Proposal
OPPO,R1-2408135,Discussion
CATT,R1-2402357,Discussion and Decision
NVIDIA,R1-2409782,Technical Contribution
Qualcomm Incorporated,R1-2405161,Discussion/Decision
OPPO,R1-2406228,Discussion/Proposal
ZTE Corporation,R1-2406033,Technical Contribution
"NTT DOCOMO, INC.",R1-2406914,Technical Contribution
Nokia,R1-2406422,Technical Proposal
Ericsson,R1-2402495,"Discussion, Decision"
Fraunhofer IIS,R1-2403041,Technical Contribution
China Telecom,R1-2400281,Technical Proposal
"NTT DOCOMO, INC.",R1-2406940,Technical Proposal
Samsung,R1-2408618,Change Request
Samsung,R1-2402432,Discussion and Decision
Ericsson,R1-2410887,Moderator Summary
CATT,R1-2409920,Source
ZTE,R1-2410116,Moderator
CATT,R1-2404365,Change Request
Kookmin University,R1-2408825,Discussion and Decision
Samsung,R1-240xxxx,Moderator
Sanechips,R1-2406402,Change Request
RAN2,CR-Form-v12.3,CR Submission
NEC,R1-2400475,Contribution
Ericsson,R1-2410189,Technical Contributor
Huawei,R1-2410809,Proposed change
Spreadtrum,R1-2405930,Change Request
Intel Corporation,R1-2405360,Moderator Summary
Google,R1-2410901,LS
UNISOC,R1-2409655,Technical Analysis
NTT DOCOMO,R1-2405344,Moderator
Nokia,R1-2406756,Technical analysis and proposals
CATT,R1-2406319,Source
LG Electronics,R1-2400915,Discussion and Decision
Ericsson,R1-2401607,Contributor
NEC,R1-2400461,Contribution
Fujitsu,R1-2407319,Moderator
3GPP RAN WG1,R1-2407485,Liaison Statement
Nokia,R1-2405662,Change Request Proposal
ZTE,R1-2404209,Discussion
LG Electronics,R1-2407339,Moderator
Google,R1-2408744,Change Request
NVIDIA,R1-2408392,Discussion
CATT,R1-2408012,CR Proposal
Qualcomm Incorporated,R1-2405153,Technical Contribution
"NTT DOCOMO, INC.",R1-2401112,Discussion and Decision
NTT DOCOMO,R1-2405478,Contributor
MediaTek Inc.,R1-2405371,Moderator Summary
Ericsson,R1-2401780,Moderator
MediaTek Inc.,R1-2406788,Discussion & Decision
Panasonic,R1-2408530,Technical Proposal
ZTE,R1-2408320,Moderator
CICTCI,R1-2408059,Technical Contribution
NVIDIA,R1-2409784,Source
WILUS Inc.,R1-2401215,Discussion
"Huawei, HiSilicon",R1-2402025,Source
ZTE,R1-2401683,Technical Proposal
Samsung,R1-2403724,Contributor
LG Electronics,R1-2403765,Moderator
Nokia,R1-2400085,Contribution
"Huawei, HiSilicon",R1-2401548,Commenter
NTT Docomo,R1-2410920,Contributor
China Mobile,R1-2405972,Reply LS
MediaTek Inc.,R1-2405089,Contribution
Google,R1-2404682,Technical Contribution
"Huawei, HiSilicon",R1-240xxxx,Moderator Summary
Samsung,R1-2406626,CR Proposal
CATT,R1-2400447,Technical Contribution
Daniel Lönnblad,S1-242527,Contact Person
Samsung,R1-2409618,Discussion and decision
NEC,R1-2404797,Contribution
Huawei,R1-2405720,Change Proposal
"NTT DOCOMO, INC.",R1-2401511,Moderator Summary
Samsung,R1-2405486,Moderator
ZTE Corporation,R1-240XXXX,CR Proposal
Ericsson,R1-2410143,Source
Qualcomm,R1-2403543,Moderator
Tiami Networks,R1-2406084,Proposal
Samsung,R1-2405594,Contributor
WILUS Inc.,R1-2403370,Discussion
CEWiT,R1-2410583,Discussion document
vivo,R1-2407492,Moderator Summary
CICTCI,R1-2404385,Technical Proposal
Spreadtrum Communications,R1-2401519,CR Proposal
vivo,R1-2407405,Liaison Statement
Huawei,R1-240xxxx,Moderator
Samsung,R1-2408653,Technical Contribution
Huawei,R1-2400115,Source
Ericsson,R1-2408585,Change Request Proposal
Qualcomm Incorporated,R1-2405151,Contribution
Ericsson,R1-2404532,Technical Proposal
ETRI,R1-2408566,Technical Contribution
Lenovo,R1-2402501,Discussion
OPPO,R1-2404868,Discussion and Decision
Lenovo,R1-2402590,Source
InterDigital,R1-2407318,Technical Input
OPPO,R1-2402302,CR Proposal
CATT,R1-2401654,Moderator Summary
Qualcomm Incorporated,R1-2405163,Discussion/Decision
Comba,R1-2403043,Discussion
Samsung,05270,Source
MediaTek Inc.,R1-2402951,Technical Analysis and Proposals
ZTE,R1-2404990,Change Request
CATT,R1-2402365,Discussion and Decision
Lenovo,R1-2409974,Source
Ericsson,R1-2407428,Source to WG
Qualcomm,R1-2407286,Moderator Proposal
vivo,R1-2409244,Moderator Summary
ETRI,R1-2408574,Contribution
OPPO,R1-2407195,Moderator Summary
Langbo,R1-2407108,CR Author
BJTU,R1-2404437,Source
UNISOC,R1-2409654,Technical Analysis
Nokia,R1-2405823,Contribution
SONY,R1-2410894,Reply LS
Intel,R1-2409225,Email discussion moderator
Ericsson,R1-2406907,Source
Samsung,R1-2400741,Contribution
WILUS Inc.,R1-2407159,Discussion/Decision
Nokia,R1-2408895,Discussion and Decision
Sony,R1-2404506,Contribution
NYU WIRELESS,R1-2403878,Source
CATT,R1-2408034,Discussion Document
China Telecom,R1-2407735,Discussion
Samsung,R1-2403642,Moderator Summary
ZTE,R1-2404563,Technical analysis
Samsung,R1-2408655,Discussion and decision
MediaTek Inc.,R1-2408718,Technical Analysis
"Huawei, HiSilicon",R1-2403957,Document Contribution
CEWiT,R1-2408928,Discussion/Decision
Apple Inc.,R1-2404281,Contribution
ZTE Corporation,R1-2409537,Editor
CEWiT,R1-2403062,Contribution
Nokia,R1-2400970,Discussion and Proposal
Lenovo,R1-2408968,Technical Contribution
Huawei,R1-2408974,CR Source
Apple,R1-2400982,Technical Analysis
vivo,R1-2404143,Discussion
Futurewei,R1-2402052,Discussion Paper
Xiaomi,R1-2406295,Technical analysis and proposals
Xiaomi,R1-2402658,Technical Proposal
OPPO,R1-2404827,Discussion and Decision
Samsung,R1-2402448,Change Request Proposal
"NTT DOCOMO, INC.",R1-2410389,Technical Proposal
CMCC,R1-2400341,Discussion Document
Magister,R1-2405342,Technical Analysis
Ericsson,R1-2406070,Technical Contribution
ZTE,R1-2404230,Source
Nokia,R1-2410809,Co-source
Lenovo,R1-2410302,Discussion document
ZTE,R1-2404566,Technical Contribution
ZTE,R1-2406040,Draft CR
Futurewei,R1-2407622,Author
Eko Onggosanusi,R1-2403650,LS Contact
vivo,R1-2407828,Reply LS on CSI-RS/SRS for spatial relation in RRC_INACTIVE
Charter Communications,R1-2403046,Source
Samsung,R1-2403569,Moderator
Nokia,R1-2407512,Liaison Statement
Google,R1-2410834,Moderator
Panasonic,R1-2400957,Technical Contribution
ZTE Corporation,R1-2409542,Technical Proposal
Xiaomi,R1-2404599,Change Proposal
Ericsson,R1-2404746,Source
CMCC,R1-24xxxxx,Source (Ad-hoc Chair)
"NTT DOCOMO, INC.",R1-2403229,Discussion and Decision
HiSilicon,R1-2410330,Proposal
CEWiT,R1-2403051,Discussion and Decision
vivo,R1-2409968,Contribution
Huawei,R1-2401393,CR Proposal
Sony,R1-2404490,Technical Proposal
CMCC,R1-2409504,Discussion
Orange,R1-2410246,Source
ZTE,R1-2404699,Source
RAN4,R4-2416913,Source
UNISOC,R1-2409648,Source
Feifei Sun,R1-2410898,Contact Person
Tiami Networks,R1-2404570,Proposal
Apple,R1-2408443,Technical Contribution
ZTE,R1-2402711,Moderator
Google,R1-2405947,Source to WG
HiSilicon,R1-2402005,Co-Source
HiSilicon,R1-2409400,Technical Analysis
LG Electronics,R1-2408087,Technical Contribution
Ericsson,R2-2313879,Liaison Statement
TCL,R1-2400512,Discussion contribution
"NTT DOCOMO, INC.",R1-2401513,Moderator Summary
Huawei,R1-2402009,Source
vivo,R1-2406161,Author
"Huawei, HiSilicon",R1-2401840,Contribution
ZTE,R1-2407523,Moderator
Fujitsu,R1-2407448,Moderator
Intel,R1-2410864,Technical Contribution
BUPT,R1-2400342,Modeling Expertise
OPPO,R1-2408137,Discussion
Samsung,R1-2409578,Technical Contribution
FGI,R1-2401057,Technical Analysis
China Mobile Communications Corporation (CMCC),R1-2409529,Discussion & Analysis
Lenovo,R1-2406442,Technical Contribution
Google,R1-2410154,Discussion/Proposal
LG Electronics,R1-2401727,Reply LS
Samsung,R1-2409386,Technical Contribution
CATT,R1-2408010,Discussion and Decision
OPPO,R1-2402291,Technical Contribution
Apple Inc.,R1-2406821,Contribution
Ericsson,R1-2407570,Change Request
"InterDigital, Inc.",R1-2404047,Discussion and Decision
ZTE,R1-2410913,Liaison Statement Author
CATT,R1-2406356,Technical Analysis
Sharp,R1-2405072,Discussion and Decision
AT&T,R1-2404925,Discussion/Decision
Spreadtrum Communications,R1-2400055,Technical Contribution
NVIDIA,R1-2406489,Source
"NTT DOCOMO, INC.",R1-2408769,Technical Proposal
Samsung,R1-2404113,Technical Contribution
ETRI,R1-2410264,Discussion/Decision
Ericsson,R1-2407101,CR Source
Huawei,R1-2405706,Contributor
Ericsson,R1-2405631,Moderator
TCL,R1-2408226,Contribution
Qualcomm Incorporated,R1-2403205,Technical Analysis
Apple,R1-2409809,Discussion/Decision
Samsung,R1-2406629,CR proposal
Indian Institute of Technology Madras,R1-2405300,Technical Contribution
Apple,R1-2405483,Contributor
Panasonic,R1-2401037,Discussion Document
MediaTek Inc.,R1-2405075,Contribution
MediaTek Inc.,R1-2402944,Discussion and Decision
CMCC,R1-2400310,Technical Proposal
NTPU,R1-2401054,Technical Contribution
Qualcomm Incorporated,R1-2401454,Contribution
Xiaomi,R1-2409886,Discussion
NEC,R1-2408213,Technical Proposal
Lenovo,R1-2408322,Technical Proposal
Rakuten,R1-2404810,Discussion Document
Samsung,R1-2403570,Moderator
MediaTek Inc.,R1-2402941,Discussion Document
HiSilicon,R1-2404841,Contribution
HiSilicon,R1-2409428,Technical Analysis
Huawei,R1-2410831,Moderator
vivo,R1-2400245,Source
Nokia,R1-2406424,Discussion and Decision
Nokia,R1-2405605,Moderation
Huawei,R1-2405483,Moderator
MediaTek,R1-2403423,Moderator Summary
Huawei,R1-2402029,Technical Proposal
Huawei,R4-2403363,Contribution
Nokia/NSB,R1-2401855,Technical Proposal
Huawei,R1-2401996,Technical Analysis
Ericsson,R1-2405577,Reply LS
Sanechips,R1-2405193,Source
Samsung,R1-2409598,Discussion and decision
"NTT DOCOMO, INC.",R1-2401113,Technical Contribution
NVIDIA,R1-2406493,Technical Contribution
Nokia,R1-2400971,Technical Analysis and Proposals
Samsung,R1-2405618,Contributor
Huawei,R2-2401912,LS Proposal
MediaTek Inc.,R1-2401138,Technical Analysis
NICT,R1-2407144,Discussion
ZTE Corporation,R1-2405935,Contribution
Google,R1-2410816,Moderator summary
Apple,R1-2401000,Discussion/Decision
Huawei,R1-2407665,Source
"NTT DOCOMO, INC.",R1-2407417,Moderator summary
Sanechips,R1-2405935,Contribution
Xiaomi,R1-2400561,Discussion and Decision
MediaTek Inc.,R1-2410682,Moderator Summary
Xiaomi,R1-2409895,Technical Analysis
Samsung,R1-2407262,Technical Proposal
Huawei,R1-2408173,Technical Proposal
Spreadtrum Communications,R1-247715,Source
ITL,R1-2408959,Technical Contribution
Lenovo,R1-2406688,Discussion and Decision
CATT,R1-2410852,Moderator Summary
NEC,R1-2400474,Technical Contribution
Chunxuan Ye,R1-2402862,Reply LS Author
IIT Madras,R1-2410592,Source
Huawei,R1-2410800,Moderator
Nokia Shanghai Bell,R1-2406684,Procedural Recommendations
Qualcomm Incorporated,R1-2408839,Contribution
HiSilicon,R1-2405607,Change Request
ZTE Corporation,R1-2402696,Technical Contribution
ZTE,R1-2404989,Change Request
Tejas Networks,R1-2400178,Discussion document
Nokia,R1-2403777,Contributor
vivo,R1-2402233,Technical Analysis
Sharp,R1-2410419,Technical Proposal
Korea Testing Laboratory,R1-2409910,Technical Analysis
Google,R1-2405950,Technical Contribution
Xiaomi,R1-2402651,Contribution
Sharp,R1-2406879,Discussion and Decision
"InterDigital, Inc.",R1-2406456,Technical Proposal
Spreadtrum Communications,R1-2407313,Moderator Summary
Thales,R1-2401730,Source
ETRI,R1-2410256,Change Request Proposal
Samsung,R1-2406644,Moderator Summary
Ericsson,R1-2409079,Moderator
ZTE,R1-2400283,Discussion and Decision
Google Inc,R1-2407154,Technical CR proposal
DCM,R1-2405533,Contributor
China Telecom,R1-2400662,Discussion Document
"ZTE, Sanechips",R1-2407232,CR Proposal
Fujitsu,R1-2408360,Moderator
Huawei,R1-2407685,Source
vivo,R1-2404185,Discussion and Decision
Sony,R1-2404493,Discussion and decision
China Mobile Communications Corporation,R1-2409511,Source
LG Electronics,R1-2404886,Contribution
Intel Corporation,R1-2403978,Technical Contribution
Xiaomi,R1-2402655,Contribution
Google,R1-2404693,Contribution
Apple Inc.,R1-2406826,Technical Contribution
Huawei,R1-2405835,Discussion Input
OPPO,R1-2405528,Moderator
Spreadtrum Communications,R1-2400038,Discussion and decision
UNISOC,R1-2409622,Source
III,R1-2403149,Discussion Document
NEC,R1-2402769,Discussion and Decision
Xiaomi,R1-2409900,Technical Proposal
Nokia Shanghai Bell,R1-2400968,Discussion and Proposals
Ericsson,R1-2405883,Proposal 2.3
CEWiT,R1-2401273,Technical Contribution
Xiaomi,R1-2405580,Co-author
Nordic Semiconductor ASA,R1-2401349,Source
ZTE,R1-2405193,Source
OPPO,R1-2410069,Discussion and Decision
NEC,R1-2402767,Technical Proposal
Huawei,R1-2406975,Technical Analysis
CATT,R1-2410728,Moderator Summary
ZTE Corporation,R1-2406401,Source
Diana Pani,RP-242389,Contact Person
LG Electronics,R1-2408300,Discussion and Decision Proposal
"InterDigital, Inc.",R1-2404960,Discussion and Decision
Tejas Networks Ltd,R1-2405893,Discussion and Decision
CMCC,R1-2402557,Discussion & Decision
Xiaomi,R1-2407967,Discussion
Nokia,R1-2407643,Evaluation results and proposals
CATT,R1-2402396,Source
Panasonic,R1-2409957,Author
China Academy of Telecommunications Technology,R1-2405628,Contributor
Panasonic,R1-2406430,Discussion
CATT,R1-2404395,Technical Analysis
Huawei,R1-2410778,Proposals on model identification
New H3C,R1-2407626,Contribution
Spreadtrum Communications,R1-2404010,Technical Discussion
ZTE Corporation,R1-2402703,Discussion and Decision
ESA,R1-2401989,Source
CMCC,R1-2406005,Source
CMCC,R1-2407906,Technical Analysis & Proposals
LG Electronics,R1-2408675,Discussion and Decision
New H3C,R1-2409374,Discussion and Decision
Samsung,R1-2408617,Change Request Submission
Huawei,R1-2402028,Technical Analysis
CICTCI,R1-2406383,Technical Analysis
ZTE,R1-2406676,Proposed change
Lenovo,R1-2401497,Moderator
Huawei,R1-2410597,Technical Proposal
Spreadtrum,R1-2409622,Source
HiSilicon,R1-2403349,CR Proposal
"NTT DOCOMO, INC.",R1-2408792,Technical Proposal
ZTE Corporation,R1-2406398,Discussion Document
ZTE,R1-2404978,Reply LS
Nokia Shanghai Bell,R1-2400191,Proposal
China Unicom,R1-2401066,Contribution
CATT,R1-2408039,Discussion and Decision
ETRI,R1-2406725,Technical Proposal
Sanechips,R1-2408065,Simulation Support
Samsung,R1-2400712,Technical proposal
Apple,R1-2407430,Comments
NEC,R1-2402828,Technical Contribution
NTT DOCOMO,R1-2410804,Moderator Summary
NEC,R1-2408206,Discussion and Proposals
Sharp,R1-2410505,Discussion Document
Ericsson,R1-2407802,Technical Contribution
Google,R1-2401259,Technical Proposal
Fujitsu,R1-2408508,Discussion
Huawei,R1-2410684,Moderator
Sony,R1-2410763,Moderator
Fujitsu,R1-2408110,Discussion and Proposals
vivo,R1-2410925,Moderator
Huawei,R1-2405699,Ad-Hoc Chair
China Mobile Communications Corporation,R1-2407908,Technical Proposal
Honor,R1-2402724,Technical Proposal
Fraunhofer IIS,R1-2407765,Technical Analysis
Qualcomm,R1-2400922,Rapporteur
Ericsson,R1-2402418,Source
OPPO,R1-2408354,Technical Contribution
OPPO,R1-2409173,Contact Organization
ASUSTeK,R1-2402821,CR Proposal
Huawei,R2-2411263,Contact Organization
ZTE,R1-2405710,Moderator
RAN2,R2-2313605,Response LS
ZTE,R1-2409152,Moderator
CATT,R1-2410692,Moderator Summary
AT&T,R1-2401619,Ad-Hoc Chair
CATT,R1-2406340,CR Submission
Huawei,R1-2406998,Source
New H3C,R1-2400158,Discussion and Decision
LG Electronics,R1-2408677,Technical Proposal
Apple Inc.,R1-2408459,Technical Contribution
MediaTek Inc.,R1-2403333,Discussion & Decision Proposal
Nokia,R1-2401689,Source
Nokia Shanghai Bell,R1-2400971,Simulation and Evaluation
Spreadtrum Communications,R1-2404037,Technical Proposal
Nokia,R1-2403001,LS Reply
Futurewei,R1-2410027,Discussion/Decision
Huawei,R1-2407682,Source
Huawei,R1-240xxxx,Contributor
"InterDigital, Inc.",R1-2409456,Technical Contribution
Huawei,R1-2408174,Technical Analysis
LG Electronics,R1-2407231,Moderator
HiSilicon,R1-2410604,CR Proposal
ZTE Corporation,R1-2409539,Contribution
Sanechips,R1-2409539,Contribution
Intel Corporation,R1-2410144,Reply LS
Ericsson,R1-2401747,Moderator
Apple Inc.,R1-2404273,Technical Contribution
ZTE,R1-2404719,Change Request
Mitsubishi Electric,R1-2403402,Discussion
Apple,R1-2402882,Technical Contribution
ETRI,R1-2406738,Source
vivo,R1-2406165,CR Proposal
RUijie networks,R1-2400935,Technical Proposal
Sharp,R1-2401046,Discussion and Decision
Huawei,R1-2401515,Analysis of FG 50-1b vs. FG 11-9a
AT&T,R1-2403147,Discussion/Approval
CATT,R1-240xxxx,Commenter
Ericsson,R1-2407176,Source
BUPT,R1-2406421,Author
OPPO,R1-2410107,Reply LS
Comba,R1-2400800,Discussion
MediaTek Inc.,R1-2408703,Discussion and Decision
Ericsson,R1-2409271,Source
Apple,R1-2402900,Discussion/Decision
ASUSTeK,R1-2408907,Contribution
CATT,R1-2403773,CR Co-Submission
CATT,R1-2408031,Technical Analysis
NEC,R1-2406543,Discussion/Decision Proposal
NTT DOCOMO,R1-2401862,Moderator
China Telecom,R1-2402524,Source
Futurewei,R1-2405808,Technical Proposal
Xiaomi,R1-2407977,Technical Proposal
CMCC,R1-2402564,Technical Proposal
Sony,R1-2400861,Discussion
CATT,R1-2409953,Technical Contribution
OPPO,R1-2408132,Discussion and Decision
Transsion Holdings,R1-2406702,Technical Proposal
Huawei,R1-2403362,Source
Fujitsu,R1-2400768,Discussion and Decision
Intel Corporation,R1-2403153,Reply LS
CATT,R1-2406327,Discussion/Proposal
MediaTek Inc.,R1-2403901,Technical Contribution
ZTE Corporation,R1-2410122,Change Request Proposal
MediaTek,R1-2410677,Moderator Summary
Sharp,R1-2408250,Discussion
Ericsson,R1-2410126,Technical Contribution
Indian Institute of Technology Madras,R1-2403367,Contribution
Huawei,R1-2400328,Source
Fujitsu,R1-2404587,Technical Contribution
Samsung,R1-2409619,Discussion and decision
NEC,R1-2409869,Contribution
Sony,R1-2400860,Source
Nokia,R1-2405261,Proposal
OPPO,R1-2404852,Technical Contribution
"InterDigital, Inc.",R1-2400163,Technical Proposal
"Huawei, HiSilicon",R1-2404946,CR Source
Fujitsu,R1-2402785,Change Proposal
vivo,R1-2406181,Technical Proposal
