meeting_id,venue,wg,topic
RAN WG1 #118bis,"Hefei, China",RAN WG1,Data Block Sizes for AIoT
3GPP TSG RAN WG1 #118,"Maastricht, NL",RAN WG1,Physical layer procedures for NR-IIoT enhancements
3GPP TSG-RAN WG1 Meeting #118bis,"Hefei, China",RAN WG1,8.1: Physical layer procedures for control
3GPP TSG-RAN WG1 Meeting #119,"Orlando, USA",TSG-RAN WG1,Multi-DCI multi-TRP configuration corrections
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Enhanced Network Energy Savings for NR
RAN WG1 #118,"Maastricht, The Netherlands",RAN WG1,NR-NTN Enhancements
3GPP TSG RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,R19 MIMO CSI Enhancement
RAN WG1 #119,"Orlando, US",RAN WG1,Radio Access Network Physical Layer Specifications
RAN WG1 #118-bis,"Hefei, CN",RAN WG1,Inventory completion time analysis for A-IoT devices
RAN WG1 #119,"Orlando, US",RAN WG1,9.1.4.1 CSI compression on AI/ML
RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,5G NR Physical Layer Enhancements
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,PH reporting for mTRP configurations
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Physical layer protocol development
3GPP TSG RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,Network Energy Saving Enhancements
3GPP TSG RAN WG1 #118bis,"Hefei, China",RAN WG1,Enabling Tx/Rx for XR during RRM measurements
RAN WG1 #118bis,"Orlando, US",RAN WG1,Enhancements for Event-driven Beam Management
3GPP TSG-RAN WG1 Meeting #118bis,"Hefei, China",RAN WG1,AI/ML for NR Air Interface
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,7.2: NR Physical layer enhancements
3GPP TSG-RAN WG1 Meeting #118,"Maastricht, NL",RAN WG1,PTRS-DMRS Association for 8Tx UL MIMO
RAN WG1 #118bis,"Hefei, China",RAN WG1,Agenda Item 9.4.2.4: Waveform characteristics for Ambient IoT
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR NTN Enhancements
RAN WG1 #116,"Athens, Greece",RAN1,Coverage enhancement for NR NTN
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,AIoT Carrier Wave Aspects
3GPP TSG RAN WG1 #119,"Orlando, US",RAN WG1,"November 18th – 22nd, 2024"
RAN WG1 #118,"Maastricht, NL",RAN WG1,Study on solutions for Ambient IoT in NR
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,AI 9.4.2.3: Downlink and Uplink Channel/Signal Aspects for Ambient IoT
3GPP TSG-RAN WG1 Meeting #118,"Maastricht, Netherlands",RAN WG1,Rel-19 NR NTN Enhancements
3GPP TSG-RAN WG1 Meeting#116,"Athens, Greece",TSG-RAN WG1,Rel-17 NR MBS Maintenance
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,NR Physical Layer Development
RAN WG1 #118bis,"3F (Main), 2F (Breakout #2)",RAN WG1,RAN1 Physical Layer Agenda for 5G Advanced and 6G
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,MIMO Evolution for Downlink and Uplink
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Ambient IoT physical layer aspects
RAN WG1 #114,"Athens, Greece",RAN WG1,LP-WUS Design and Operation
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR positioning enhancements
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,UE features for Rel-18 work items
RAN WG1 #119,"Orlando, US",RAN WG1,NR NTN Enhancements
3GPP TSG Meeting #6,,TSG,CR Approval
RAN WG1 #118-bis,"Hefei, China",RAN WG1,NR-NTN Uplink Enhancements
3GPP TSG RAN WG1 #118bis,"Hefei, China",RAN WG1,NR NTN Enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-19 NR Evolution
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,LP-WUS operation in IDLE/INACTIVE modes
RAN WG1 #119,"Orlando, US",RAN WG1,Enhancement to support on-demand SIB1 for idle/inactive mode UE
3GPP TSG RAN WG1 #116bis,"Changsha, China",RAN WG1,NR MIMO Phase 5 Enhancements
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Enhancements of network energy savings for NR
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,AI/ML for NR Air Interface - Beam Management
RAN1#112bis,,RAN WG1,PT-RS Power Configuration
RAN WG1 #117,"Fukuoka City, Japan",RAN WG1,NR duplex evolution
RAN WG1 #116,"Athens, Greece",RAN WG1,NR NTN Enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,9.1.3.1
3GPP TSG RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Physical layer protocol development
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,NR_Mob_enh2-core
3GPP TSG RAN WG1 #116,"Changsha, Hunan Province, China",RAN WG1,Evolution of NR duplex operation
RAN WG1 #119,"Orlando, FL, USA",RAN WG1,L1/L2-triggered mobility procedures
TSG RAN WG2 Meeting #127,"Maastricht, Netherlands",RAN WG2,Radio Interface Protocols
RAN WG1 #116,"Athens, Greece",RAN WG1,AI/ML in management
3GPP TSG RAN WG1 #118-bis,"Hefei, China",RAN WG1,Duplex Evolution
RAN WG1 #116,"Athens, Greece",RAN WG1,FR2-NTN PRACH Configuration and Timing Requirements
3GPP TSG RAN1 Meeting #118,"Maastricht, NL",RAN WG1,NR physical layer enhancements
3GPP TSG-RAN WG1 Meeting #118bis,"Hefei, China",RAN WG1,Rel-19 Multi-carrier Enhancements
3GPP TSG RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,Channel Model Validation for 7-24 GHz
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,NR enhancements for NTN in FR2
RAN WG1 #118b,"Hefei, China",RAN WG1,Waveform characteristics for Ambient IoT
RAN WG1 #119,"Orlando, Florida, USA",RAN WG1,AI/ML for NR Air Interface
3GPP TSG RAN WG1 #119,"Orlando, US",RAN WG1,Physical layer specifications development
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR_MC_enh-Core Work Item Discussion
3GPP TSG RAN WG1 #116,"Athens, GR",RAN WG1,Physical layer specifications
3GPP TSG RAN WG1 #119,"Orlando, US",RAN WG1,SBFD Operation Enhancements
3GPP TSG RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,IoT-NTN Uplink Enhancements
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,AI/ML for NR Air Interface
RAN WG1 Meeting #116bis,"Changsha, China",RAN WG1,AI/ML for NR Air-Interface
3GPP TSG RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,NR Small Data Transmission in Inactive State
RAN WG1 #118bis,"Hefei, Anhui, China",RAN WG1,Enhancements for asymmetric DL sTRP/UL mTRP scenarios
RAN WG1 #118bis,"Hefei, China",RAN WG1,Frame structure and timing for ambient IoT
RAN WG1 #116bis,"Changsha, China",RAN WG1,Introduction of FR2-NTN in TS 38.211
TSG-RAN WG1 Meeting #116-bis,"Changsha, Hunan Province, China",RAN WG1,NR Sidelink Enhancements and Coexistence Mechanisms
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,CLI Handling in NR Duplex Operation
RAN WG1 #118,"Maastricht, NL",RAN WG1,Channel Modelling Enhancements for 7-24 GHz
3GPP TSG-RAN WG1 Meeting #118,"Maastricht, Netherlands",RAN WG1,PSSCH Transmission Decode Behavior Corrections
RAN WG1 #118,"Maastricht, NL",RAN WG1,Rel-18 NR enhancements
RAN WG1 #118,"Maastricht, NL",RAN WG1,Agenda Item 9.10.1: XR Enhancements
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,ISAC Deployment Scenarios
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,SL-U enhancements and TBS determination
RAN WG1 #119,"Orlando, US",RAN WG1,Physical layer standardization for radio access networks
RAN WG1 #118,"Maastricht, Netherlands",RAN1,On-demand SSB for SCell operation
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,AI/ML for NR Positioning
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,ISAC Channel Model Deployment Scenarios
RAN WG1 #116,"Athens, Greece",RAN WG1,NR XR Enhancements
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR Sidelink Evolution
RAN WG1 #118,"Maastricht, NL",RAN WG1,Enhancement of network energy savings for NR
RAN WG1 #116-bis,"Changsha, Hunan, China",RAN WG1,NR-U Channel Access Procedures
3GPP TSG-RAN WG1 Meeting #119,"Orlando, US",TSG-RAN WG1,NR Rel-18 Maintenance
RAN WG1 #118,"Maastricht, Netherlands",RAN1,NR positioning enhancements
3GPP TSG RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,NR physical layer developments
RAN WG1 #118,"Maastricht, NL",RAN WG1,Rel-19 Network Energy Saving Enhancements
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,AI/ML for NR air interface enhancements
RAN WG1 #118b,"Hefei, China",RAN WG1,Discussion on common TA in regenerative payload scenarios
RAN WG1 Meeting #116bis,"Changsha, China",RAN WG1,NR Physical Layer Enhancements
RAN WG1 #119,"Orlando, FL, USA",RAN WG1,Physical layer specifications for NR
3GPP TSG RAN WG1 #117,"Fukuoka City, Japan",RAN WG1,AI/ML-based CSI Prediction
3GPP TSG RAN WG1#116-bis,"Changsha, Hunan Province, China",RAN WG1,Physical layer protocol enhancements
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,5G NR Physical Layer Enhancements
RAN WG1 #119,"Orlando, US",RAN WG1,Downlink Coverage Enhancement for NR-NTN
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Msg3 retransmission timing in NTN
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Waveform characteristics for Ambient IoT devices
TSG-RAN WG1 Meeting #7,"Fukuoka, Japan",RAN WG1,Sidelink enhancements for Release 18
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,NR sidelink enhancements for co-channel coexistence
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,NR Enhancements for XR
3GPP TSG RAN WG1 meeting #116,"Athens, Greece",RAN WG1,Enhancements of network energy savings for NR
RAN WG1 #118bis,"Hefei, China",RAN WG1,Physical layer specifications
RAN WG1 #116bis,"Changsha, China",RAN WG1,AI/ML for NR Physical Layer
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR Mobility Enhancements
RAN WG1 #119,"Orlando, US",RAN WG1,9.6.3 - LP-WUS Operation
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,5G-Advanced Feature Development
RAN WG1 #116bis,"Changsha, China",RAN WG1,NR NTN Enhancements in FR2
RAN WG1 #118,"Maastricht, NL",RAN WG1,9.1.3.1: CSI Feedback Enhancement
RAN WG2 #124,"Chicago, USA",RAN WG2,SL Positioning MAC Layer Agreements
RAN WG1 #119,"Orlando, Florida, USA",RAN WG1,NR-NTN Uplink Enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,Rel-18 NR eRedCap agreements
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Rel-18 Feature Enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,Enhancement of network energy savings for NR
3GPP TSG-RAN1 Meeting #116,"Athens, Greece",TSG-RAN1,Radio Access Network Physical Layer Protocols
3GPP TSG RAN WG1 #119,"Orlando, US",RAN WG1,Maintenance on Rel-18 work items – Mobility Enhancement
RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-18 NR Coverage Enhancements
RAN WG1 #118,"Maastricht, NL",RAN WG1,Channel modeling enhancements for 7-24 GHz
TSG-RAN WG1 Meeting #116-bis,"Changsha, Hunan Province, China",RAN WG1,NR Physical Layer Enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,9.6.3 - LP-WUS Operation
3GPP TSG RAN WG1#116bis,"Changsha, China",RAN WG1,SBFD operation enhancements
RAN WG1 #118,"Maastricht, NL",RAN WG1,CLI handling in SBFD deployments
RAN WG1 #116,"Athens, Greece",RAN WG1,UE features for NR ATG
RAN WG1 #116-bis,"Changsha, China",RAN WG1,ISAC deployment scenarios
3GPP TSG RAN WG1 #119,"Orlando, US",RAN WG1,IoT-NTN Measurement Requirements
3GPP TSG-RAN WG1 Meeting #116-bis,"Changsha, China",TSG-RAN WG1,LP-WUS and LP-SS design
RAN WG1 #116-bis,"Changsha, Hunan Province, CN",RAN WG1,NR MIMO Evolution Enhancements
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Physical Layer Protocols
TSG RAN WG1 #118,"Hefei, China",RAN WG1,NR Physical Layer Enhancements
3GPP TSG-WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR Sidelink Enhancements
3GPP TSG RAN WG1 #118,"Maastricht, NL",RAN WG1,NR MBS Enhancements
RAN WG1 Meeting #118,"Maastricht, The Netherlands",RAN WG1,Beam Management
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Satellite switch procedures in NTN
RAN WG1 #116bis,"Changsha, China",RAN WG1,AI/ML based beam management
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Waveform characteristics for A-IoT
3GPP TSG-RAN WG1 Meeting #116bis,"Changsha, China",RAN WG1,NR MIMO Phase 5 Enhancements
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,Enhancements of network energy savings for NR
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,AI/ML for Air Interface
RAN WG1 #118,"Maastricht, NL",RAN WG1,Enhancements for XR in RRM measurement gaps
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Physical layer standardization for 5G-NR and beyond
TSG RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Ambient IoT Device Architectures
RAN WG1 #118,"Maastricht, NL",RAN WG1,9.10.1: XR enhancements for NR
RAN WG1 #118,"Maastricht, Netherlands",RAN1,AI/ML for NR Positioning
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",TSG-RAN WG1,NR MIMO Evolution
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,AI/ML for NR Air Interface - CSI Prediction Enhancements
3GPP TSG-RAN WG1 Meeting #116bis,"Changsha, China",RAN WG1,LP-WUS Procedures
TSG-RAN WG1 #118,"Maastricht, NL",RAN WG1,LP-WUS standardization
RAN WG1 #119,"Orlando, USA",RAN WG1,AI/ML for CSI Prediction
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR Physical Layer Agenda Items
3GPP TSG RAN1#116bis,"Changsha, China",RAN WG1,UAS and NTZ-related RAN considerations
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,Physical layer design for Ambient IoT
RAN WG1 #118,"Maastricht, NL",RAN WG1,Study on channel modelling for ISAC
RAN WG1 #116bis,"Changsha, China",RAN WG1,Co-channel coexistence of LTE and NR sidelink
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR-NTN Uplink Enhancements
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,HARQ-ACK multiplexing in PUSCH repetitions
3GPP TSG RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Release 19 Network Energy Savings Enhancements
RAN WG1 #119,"Orlando, FL, USA",RAN WG1,8.1
3GPP TSG-RAN WG1 Meeting #118,"Maastricht, Netherlands",RAN WG1,MIMO Evolution
3GPP TSG RAN WG1 #116bis,"Changsha, China",RAN WG1,Physical layer specifications
3GPP TSG RAN WG1 #119,"Orlando, US",RAN WG1,NR NTN Phase 3 Enhancements
RAN WG1 #116bis,"Changsha, China",RAN WG1,Physical layer protocol discussion
3GPP TSG RAN WG1 Meeting #116-bis,"Changsha, Hunan Province, China",RAN WG1,Enhancements for NR MIMO
3GPP TSG RAN WG1 Meeting #116b,"Changsha, China",RAN WG1,Release 19 ISAC Study
RAN WG1 #119,"Orlando, US",RAN WG1,NR Physical Layer Enhancements for IoT
RAN WG1 #119,"Orlando, US",RAN WG1,NR Physical Layer Agenda Items
RAN WG1 #118,"Maastricht, NL",RAN WG1,9.4.2.1 Physical layer design for Ambient IoT
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Agenda Item 5: NTN Synchronization
RAN1 #119,"Orlando, US",RAN WG1,Support of RedCap/eRedCap UEs in NTN FR1
RAN WG1 #116bis,"Changsha, China",RAN WG1,NR MIMO Enhancements
3GPP TSG RAN WG1#117,"Fukuoka, Japan",RAN WG1,Rel-19 Work Item Discussion
RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,NR MIMO Enhancements
RAN WG1 #119,"Orlando, USA",RAN WG1,Physical Layer Design for Ambient IoT
TSG RAN WG1 #119,"Orlando, US",RAN WG1,SSB Configuration and Adaptation
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,NR_FeMIMO-Core
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Rel-18 NR Protocol Maintenance
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Enhancements of network energy savings for NR
RAN WG1 #116bis,"Changsha, China",RAN WG1,Channel model validation for 7-24GHz
RAN WG1 #118bis,"Hefei, China",RAN WG1,LP-WUS Operation in CONNECTED Modes
TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Uplink Carrier Determination for SUL
TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Enhancements for NR MIMO
RAN WG1 #116,"Athens, Greece",RAN WG1,NR Physical Layer Enhancements for IoT
RAN WG1 #116,"Athens, Greece",RAN WG1,NR Physical Layer Agenda Items
RAN WG1 #118bis,"Hefei, China",RAN WG1,5G NR Physical Layer Enhancements
RAN1#119,Online/Offline Hybrid,RAN WG1,RAN1#119 Session Planning
TSG-RAN WG4 Meeting #109,"Chicago, US",RAN WG4,Rel-18 UE Feature List Finalization
RAN WG1 #119,"Orlando, US",RAN WG1,Rel-19 ISAC Channel Modeling
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,NR Sidelink Evolution
3GPP TSG Meeting #118,"Maastricht, NL",RAN WG1,NR Physical Layer Enhancements
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Pre-Rel-18 NR Maintenance
RAN WG1 #116,"Athens, Greece",RAN WG1,IoT NTN Uplink Enhancements
RAN WG1 #118,"Maastricht, NL",RAN1,Unified TCI state application mechanisms
3GPP TSG-RAN Meeting #bis,"Hefei, China",TSG-RAN,Release 17 Maintenance
3GPP TSG RAN WG1 #116bis,"April 15th–19th, 2024 (Location not specified)",RAN WG1,5G NR Physical Layer Enhancements
3GPP RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR MIMO Phase 5 Enhancements
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR Mobility Enhancements
RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,AI/ML Management Specifications
3GPP TSG RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Waveform characteristics for NR-based ambient IoT
RAN WG1 #118,"Maastricht, NL",RAN WG1,SBFD support for RRC_IDLE/INACTIVE UEs
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Agenda Item 9.3.1: Evolution of NR duplex operation
RAN WG1 #118,"Maastricht, NL",RAN WG1,NTN enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-19 ISAC Channel Model Standardization
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Beam management enhancements for AI/ML in NR
3GPP TSG-RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Channel Model Adaptation for 7-24 GHz
RAN WG1 #116,"Athens, Greece",RAN WG1,Rel-19 ISAC Channel Modeling
TSG-RAN WG1 Meeting #118,"Maastricht, The Netherlands",RAN WG1,DL Coverage Enhancements for NR NTN
RAN WG1 #118-bis,"Hefei, China",RAN WG1,NR-NTN Downlink Coverage Enhancement
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,NTN IoT Phase 3 Enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,Physical Layer Enhancements for NR
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR NTN enhancements for RedCap/eRedCap
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,NR_NTN_enh Work Item
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,NR UE Power Saving Enhancements
3GPP TSG RAN Meeting #...,"Fukuoka, Japan",RAN,NR-NTN Standardization
3GPP TSG RAN WG1 #116 bis,"Changsha, Hunan Province, China",RAN WG1,NR MIMO Enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,DL/UL Physical Channels Design for Ambient IoT
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR positioning techniques
RAN WG1 #116,"Athens, Greece",RAN WG1,9.4.2.2: Ambient IoT Physical Layer
RAN WG1 #118Bis,"Hefei, China",RAN WG1,NR NTN Phase 3 Enhancements
3GPP TSG RAN WG1 Meeting #116-bis,"Changsha, Hunan Province, China",RAN WG1,On-demand SSB SCell Operation
RAN WG1 #119,"Orlando, USA",RAN WG1,NR Physical Layer Agenda
3GPP TSG RAN WG1 #119,"Orlando, US",RAN WG1,Physical layer protocol development
RAN WG1 #118bis,"Hefei, China",RAN WG1,3GPP TSG RAN WG1 Meeting #118bis
RAN WG1 #118bis,"Hefei, China",RAN WG1,AI/ML Model and Data Aspects
3GPP TSG-RAN WG1 #116,"Athens, Greece",RAN WG1,AI/ML-based Positioning
RAN WG2 #126,"Fukuoka, Japan",RAN2,RAN2 aspects of NTN coverage enhancements
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR Sidelink Evolution
RAN WG1 #116,"Athens, Greece",RAN WG1,Agenda Item 9.4.1.2: Ambient IoT Architecture
RAN WG1 #116,"Athens, Greece",RAN WG1,NR-NTN DL Coverage Enhancements
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Rel-19 CSI enhancements
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Enhancements for asymmetric DL sTRP/UL mTRP deployment
3GPP TSG RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Collision Handling Between PUCCH and SRS
3GPP TSG RAN WG1#116bis,"Changsha, China",RAN WG1,Multiplexing HARQ-ACK in PUSCH with repetitions
RAN WG1 #116bis,"Hunan Province, China",RAN WG1,Evaluation assumptions for Ambient IoT
RAN WG1 #118bis,"Hefei, China",RAN1,NR Physical Layer Enhancements
3GPP TSG-RAN WG1 Meeting #118,"Maastricht, Netherlands",RAN WG1,NR Positioning Maintenance for RedCap
RAN WG1 #119,"Orlando, USA",RAN WG1,Multi-carrier enhancements Phase 2
3GPP TSG-RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Channel model enhancements for 5G-Advanced and 6G
RAN WG1 #118bis,"Hefei, China",RAN WG1,Physical layer specifications for LTE/NR
RAN WG1 #118-bis,"Hefei, China",RAN WG1,ISAC Channel Modelling
RAN WG1 #118-bis,"Hefei, China",RAN WG1,FR3 channel modeling enhancements
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,8.3: Maintenance of Expanded and Improved NR Positioning
RAN WG1 #119,"Orlando, US",RAN WG1,9.2.1 UE-initiated beam management
RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-19 NR Enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,NR_XR_enh-Core Work Item Discussion
RAN WG1 #119,"Orlando, Florida, USA",RAN WG1,AI/ML for NR Air Interface - CSI prediction
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR Multi-Cell Enhancement Core
RAN WG1 #118bis,"Hefei, China",RAN WG1,9.4.2.2 - A-IoT Frame Structure and Timing
RAN WG1 #118,"Maastricht, NL",RAN WG1,3GPP TS 38.214 Maintenance
3GPP TSG-RAN WG1 #119,"Orlando, US",RAN WG1,NR duplex evolution
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Agenda Item 9.6.1: LP-WUS and LP-SS Design
TSG-RAN WG1 Meeting #119,"Orlando, Florida, USA",RAN WG1,SBFD operation scenarios
3GPP TSG RAN WG1 Meeting #116,"Athens, GR",RAN WG1,NR Sidelink Evolution Maintenance
RAN WG1 #118,"Maastricht, The Netherlands",RAN WG1,Rel-18 unified TCI framework enhancements
RAN WG1 #116bis,"Changsha, China",RAN WG1,Evolution of NR duplex operation
RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Evolution of NR duplex operation
TSG-RAN WG2 #127bis,"Hefei, China",RAN WG2,Radio interface protocols
3GPP TSG RAN WG1 #117,"Maastricht, NL",RAN WG1,9.3.2 Evolution of NR duplex operation: Sub-band full duplex (SBFD)
RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-19 asymmetric DL sTRP/UL mTRP scenarios
RAN WG1 #118,"Maastricht, NL",RAN WG1,CSI enhancements for MIMO
RAN WG1 Meeting #118,"Maastricht, Netherlands",RAN WG1,NR Physical Layer Specifications
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,9.4.2.3
RAN WG1 #118-bis,"Hefei, P.R. China",RAN WG1,NR-NTN downlink coverage enhancement
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,NR MIMO Enhancements
3GPP TSG RAN WG1 #116bis,"Changsha, China",RAN WG1,Agenda Item 9.4.2.2 - Ambient IoT
TSG-RAN WG1 Meeting #116-bis,"Changsha, China",RAN WG1,Sidelink Enhancements
RAN WG1 #118b,"Hefei, China",RAN WG1,Ambient IoT Evaluation
RAN WG1 #118-bis,"Hefei, China",RAN WG1,9.11.1: Downlink Coverage Enhancements for NR NTN
RAN WG1 #118bis,"Hefei, China",RAN WG1,NR MIMO Phase 5
3GPP TSG-RAN WG1 #116,"Athens, Greece",RAN WG1,AI/ML for NR Air Interface
,,RAN WG1,QCL assumption for periodic CSI-RS in unified TCI framework
3GPP TSG RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Rel-18 Sidelink Maintenance
TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN1,Physical Layer Specifications
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,PTRS-DMRS association for UL multi-TRP PUSCH repetition
RAN WG1 #119,"Orlando, UNITED STATES",RAN WG1,SBFD random access operation
RAN WG1 #119,"Orlando, US",RAN WG1,XR enhancements during RRM measurements
3GPP TSG-RAN WG1 Meeting #116bis,"Changsha, China",RAN WG1,Radio Access Network Technologies
3GPP TSG-RAN WG1 Meeting #118-bis,"Hefei, China",RAN WG1,Rel-19 AI/ML for Beam Management
RAN WG1 #118-bis,"Hefei, China",RAN WG1,NR-NTN uplink capacity/throughput enhancement
RAN WG1 #116,"Athens, Greece",RAN WG1,Type-1 codebook enhancements for MBS/unicast coexistence
RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Rel-19 Enhancement for UE-initiated/event-driven beam management
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,NR Physical Layer Enhancements for Ambient IoT
RAN WG1 #118bis,"Hefei, China",RAN WG1,IoT-NTN Uplink Enhancements
