name,aliases
Spark NZ,
Lenovo,Moderator (Lenovo)
"Qualcomm Technologies, Inc.",Qualcomm
Charter Communications Inc.,Charter Communications
Xiaomi,Xiaomi|RAN1
NEW H3C,
Wiliot,
"Nokia, NSB",Nokia|Nokia Shanghai Bell
Sharp Corporation,
Fujitsu,WANG Guotong (David)
DoCoMo,NTT DoCoMo
Lenovo/Motorola Mobility,Lenovo/MotM
IIT Kanpur,IITK
Xiang Gao,
"OPPO, Huawei, HiSilicon, LG Electronics",
KT,KT Corp.
Nordic Semiconductor ASA,Nordic Semi
Moderator (CMCC),CMCC
LG Uplus,
Hisilicon,"Hisilicon Semiconductor Co., Ltd."
"Sanechips Technology Co., Ltd.",Sanechips
Tejas Networks Limited,
HiSilicon,HiSilicon Semiconductor
Huawei,Huawei|HiSilicon
Intel Corporation,Intel|Intel Corp
3GPP,
Sanechips Technologies,Sanechips
MTK,MediaTek
Google,Alex Liou
Moderator (Samsung),Samsung
Mediatek,Mediatek
China Mobile Communications Corporation (CMCC),Moderator (CMCC)
ITRI,Industrial Technology Research Institute
vivo,Vivo Communication Technology Co. Ltd
Qualcomm,Hamed Pezeshki
CMCC,CMCC
Nokia,Nokia Networks
IIT Kanpur,
SK telecom,
"ZTE Corporation, Sanechips",[7]
Sony,Sony
Ad-Hoc Chair (Huawei),Huawei
Jiajun Chen,Chen.jiajun1(at)zte.com.cn
Xiaoran ZHANG,zhangxiaoran@chinamobile.com
Google,Alphabet Inc.
Huawei,TR editor
Qualcomm,RAN WG1
Ericsson,RAN2
Spreadtrum,unisoc
Panasonic,Panasonic Corp.
"NTT DOCOMO, INC.",NTT Docomo
"CATT, CICTCI",CATT
"NTT DOCOMO, INC.",DOCOMO
Futurewei,Futurewei
CEWiT,Ebin Chacko|Shiv Shankar
ZTE,Wenfeng LIU|Xingguang WEI
Nordic Semiconductor ASA,
CATT/CICTCI,
Ruijie Networks,
"Indian Institute of Technology Madras (IITM), IIT Kanpur",IITM|IIT Kanpur
CSCN,
NYU WIRELESS,
Lenovo,Moderator
FUTUREWEI,Weimin Xiao|Zhigang Rong
Thales,Thales Group
HiSilicon,HiSilicon
CATT,RAN1
China Information Communication Technology Group Corporation (CICT),CICTCI
Tejas Networks Pvt. Ltd.,Tejas Networks
China Telecom,CATT
RAN2,3GPP RAN Working Group 2
"Fraunhofer IIS, Fraunhofer HHI",Fraunhofer
Baicells,Baicells
KT Corp.,
Beijing University of Posts and Telecommunications,BUPT
DCM,Docomo
Charter Communications,Charter
3rd Generation Partnership Project; Technical Specification Group Radio Access Network,3GPP|3GPP RAN
Venkatarao Gonuguntla,Ericsson
Sony,
3GPP RAN1 Working Group,RAN1
Intel Corporation,Intel Corp.
RAN1,3GPP RAN WG1
Qualcomm (FL),FL
ZTE Corporation,ZTE
CEWiT(TSDSI),
DOCOMO,"NTT DOCOMO, INC."
CMCC,China Mobile|China Mobile Communications Corporation
Indian Institute of Technology Madras (IIT Madras),IIT Madras
Tejas,Tejas Networks
Ericsson,Moderator (Ericsson)
Nokia,Moderator (Nokia)
ESA,
LG Electronics Inc.,LGE
CATT/CICTCI,China Academy of Telecommunications Technology|CICTCI
Qualcomm Incorporated,QC
3GPP TSG-RAN WG3,RAN3
Spreadtrum Communications,Spreadtrum|Unisoc
China Telecom,China Telecom|CT
3GPP SA2,SA2
Transsion,
Qualcomm,Qualcomm|QTI
Apple,Chunxuan (Apple)
Viasat,Viasat
Siqi Liu,Vivo
Semtech,Semtech
"Samsung Electronics Co., Ltd.",Samsung
Marco Belleschi,Ericsson
3GPP Liaisons Coordinator,
Samsung,Samsung (Moderator)
Nokia,"Nokia, NSB"
"NTT DOCOMO, INC.",NTT DOCOMO|DOCOMO
Lekha Wireless Solutions,
Semtech,Semtech Corporation
MediaTek Inc.,Moderator
Ad-Hoc Chair (Huawei),
InterDigital,
"NTT DOCOMO, INC.",DCM
"Lenovo, ZTE, Qualcomm, Ericsson, Nokia, Nokia Shanghai Bell, Samsung, Huawei, HiSilicon",
China Telecom,China Telecom
Beijing Jiaotong University,
Panasonic,Panasonic Corporation
"Nokia, Nokia Shanghai Bell",[24]
LG Electronics,
"NTT DOCOMO, INC.",
BUTP,
China Academy of Telecommunications Technology,CATT
CBN,
OPPO,
RAN4,3GPP TSG-RAN WG4
"Huawei, HiSilicon",[1]
RAN1,TSG RAN WG1
CAICT,
CATT/CICTC,
Huawei/HiSi,Thorsten Schier
Nokia/NSB,Nokia
3GPP TSG-RAN Working Group 1,RAN WG1
MediaTek Inc. (MTK),MTK
AT&T Labs,AT&T
MediaTek. INC,Moderator
Honor,
ZTE/Sanechks,
Moderator (ZTE),
Huawei,Li Zhang
3GPP TSG-RAN WG1,RAN1
"vivo, BUPT",
Interdigital,
Xiaoran Wen,
Hang Yin,yinh6@chinatelecom.cn
Spreadtrum Communications,Unisoc
LG,Seongwon Go
ZTE,Sanechips
Frank Wu,frankwu@google.com
"CATT, CICTCI, CBN",
Ericsson,[RAN1]
China Unicom,China Unicom|Unicom
3GPP TSG RAN Working Groups,RAN WG1|RAN WG2
Ziyi Li,
Intel Corporation,Moderator (Intel Corporation)
Toyota InfoTechnology Center,Toyota
OPPO,OPPO [RAN1]
TSG RAN WG1,RAN1
Keysight Technologies,
Panasonic,peter.klenner@eu.panasonic.com
CBN,China Broadcast Network
ZTE Corporation,Moderator (ZTE)
"Lenovo, MotM",Lenovo|Motorola
ITL,ITL
Ericsson,Moderator
Apple,Apple Inc.
Spreadtrum Communications,Spreadtrum Communications
"HiSilicon Technologies Co., Ltd",HiSilicon
ETRI,[16]
3GPP Contributor,3GPP
Qualcomm,FL|Qualcomm Incorporated
CableLabs,CableLabs
OPPO,Moderator
Sony,Sony Group
Fraunhofer IIS,Fraunhofer Institute for Integrated Circuits IIS
RAN4,
Sharp,Takahisa Fukui
ASUSTek,ASUS
Mavenir,Mavenir
"Huawei, HiSilicon, CBN",Huawei|HiSilicon|CBN
Samsung,RAN1
InterDigital Inc.,InterDigital
InterDigital,IDC
NSYSU,National Sun Yat-sen University
LG Electronics,LG
NEC,
xiaomi,Yingyang
BT,British Telecom
Comba,Comba
Spreadtrum Communications,
AT&T,Moderator (AT&T)
InterDigital,Diana Pani
MediaTek Inc,Moderator
Southeast University (SEU),SEU
Junqiang Cheng,MediaTek
Sony,Tingting Fan
RAN1 Chair,
Huawei,"Huawei, HiSilicon, Tongji University"
Interdigital,IDC
Ericsson,Rapporteur
Rakuten,
ITL,
China Telecom,CT
Sharp,Sharp
InterDigital,Youngwoo Kwak
vivo,"Vivo Communications Technology Co., Ltd."
AT&T,
Fraunhofer IIS/HHI,
MediaTek. Inc,MediaTek
CATT (Moderator),CATT
SPRD,Spreadtrum Communications
Fujitsu,Fujitsu
Panasonic,Panasonic
MediaTek Inc.,MediaTek Inc.
Nokia,Nokia [RAN WG1]
3GPP - David,David
Spreadtrum Communications,Moderator
Google,Alphabet
ASUSTeK,Denny Huang
CATT,
PML,
Korea Testing Laboratory,
AT&T,Ad-Hoc Chair (AT&T)
Xiaomi Corporation,Xiaomi
3GPP TSG WG1,WG1
Nordic Semiconductor,Nordic
OPPO,Kevin Lin|Kevin.Lin@oppo.com
IIT KANPUR,IITK
RAN2,3GPP TSG RAN WG2
RAN WG1,RAN1
Nokia,
Samsung,[3]
New H3C,Lei Zhou
OPPO,OPPO Electronics
New H3C,
Fraunhofer,
CCU,CCU
ASUSTeK,
Huawei/HiSilicon,
"Huawei, HiSilicon","Huawei Technologies Co., Ltd.|HiSilicon Semiconductor"
China Broadnet,China Broadcasting Network Corporation
NTPU,NTPU
OPPO,"OPPO Guangdong Mobile Communications Co., Ltd."
Xiaomi Communications,Xiaomi
Apple Inc.,Apple Inc.
Lenovo,Motorola
Thales,
Qualcomm,QCM
NTT DOCOMO,DOCOMO
Xiaomi,Xiaomi Communications
CAICT,[18]
NICT,
Chuangxin Jiang,"Jiang, Chuangxin"
New H3C,H3C
OPPO,qianxi.lu@oppo.com
Fraunhofer IIS,
R1,RAN WG1
Thales,Mohamed EL JAAFARI
Kevin Lin,Kevin Lin
"HiSilicon Semiconductor Co., Ltd",HiSilicon
Nokia,[RAN1]
"Huawei, HiSilicon, China Unicom, ZTE, Sanechips",
Ren Da,renda@catt.cn
RAN2,TSG-RAN WG2
DOCOMO,"Haruhi (DOCOMO)|NTT DOCOMO, INC."
Debdeep Chatterjee,Intel
Hiroki Harada,NTT Docomo
Moderator (Huawei),Huawei
CATT,"CATT, CICTCI"
BUPT,Beijing University of Posts and Telecommunications
Nokia,Moderator
China Southern Power Grid,CSG
EURECOM,
Jinhuan Xia,Huawei
HONOR,HONOR
"AT&T, FirstNet",AT&T
Southeast University,SEU
Inmarsat,Inmarsat
3rd Generation Partnership Project (3GPP) Organizational Partners,ARIB|ATIS|CCSA|ETSI|TSDSI|TTA|TTC
Moderator (CATT),CATT
Xiaomi,[10]
OPPO,Guoli
NEC,emea.nec.com
"Moderators (AT&T, NTT DOCOMO, INC.)",Hiroki Harada|Ralf Bendlin
"Moderators (AT&T, NTT DOCOMO, INC.)",RAN WG1
NTT DOCOMO,NTT DOCOMO
Thales,Moderator
3GPP RAN WG1,RAN1
KDDI,
Beijing Jiaotong University (BJTU),BJTU
ZTE,ZTE|Pengcheng laboratory
Yu Pan,ZTE Corporation
Feifei Sun,Feifei.sun@samsung.com
Indian Institute of Technology Madras,IITM
LG,LGE
Huawei,Ad-Hoc Chair
Huawei,"Huawei Technologies Co., Ltd"
NTT DOCOMO,DCM
LG Electronics,LGE|LG
NTT DOCOMO,
Korea Testing Laboratory,KTL
"Spreadtrum Communications, BUPT",
TSG RAN WG4,RAN4
Kyocera,Kyocera
KDDI Corporation,
NTPU,
Mediatek Inc.,MediaTek
New H3C Technologies,New H3C
IDC,InterDigital
ROHDE & SCHWARZ,
Industrial Technology Research Institute (ITRI),ITRI
"Nokia, Nokia Shanghai Bell",
Rakuten Symphony Inc.,
Hiroki Harada,
ITRI,ITRI
Moderator (Huawei),
Vodafone,Moderator
UNISOC,
NYU WIRELESS,NYU WIRELESS
CMCC,Jiazhen Zhang
Debdeep Chatterjee,
AT&T Labs,Ralf Bendlin
Moderator (AT&T),AT&T
Google Inc,
Nanxi (China Telecom),China Telecom
MediaTek,Rebecca Chen
SONY,
Comba,
BT,BT
TSG RAN,RAN
NTT DOCOMO Inc.,DOCOMO
NTT DOCOMO,Moderator
Huawei,Ad-Hoc Chair (Huawei)
Xiaomi,BJTU|BUPT
Qualcomm Incorporated,Qualcomm|QC
"Fujitsu, Qualcomm, Ericsson, Nokia, Google, ZTE, Huawei, Lenovo, Apple",
MediaTek,
Yunjing Hou,houyunjing@catt.cn
Chair,3GPP Chair
vivo,Rapporteur(vivo)
vivo,vivo Communication Technology Co. Ltd.
Intel,Yi Guo|Intel Corporation
Qualcomm,Qualcomm Incorporated
3GPP,3GPP
CMCC,Ad-hoc Chair (CMCC)
HONOR,Guozeng Zheng
Lekha Wireless Solutions Pvt Ltd,Lekha Wireless
RUijie networks,
Intel Corporation,Intel
NTT CORPORATION,NTT
"CATT, CICTCI",
LG Electronics,LGE
IIT Kharagpur,IIT KGP
NVIDIA,
LGE,LG Electronics
III,
Nokia Shanghai Bell,Nokia Shanghai Bell
RAN1 Chair,RAN1 Chair|ETSI MCC
"Xiaomi Communications Co., Ltd.",Xiaomi
SA5,
CICTCI,CICTCI
RAN WG1,3GPP RAN Working Group 1
Huawei,"Moderator|Huawei, HiSilicon"
China Telecom,
NTT DOCOMO,Docomo
Jianxiang Li,
CATT,CBN|China Broadnet
ETRI,
China Academy of Telecommunications Technology (CATT),Moderator (CATT)
"Nokia, Ericsson",
Indian Institute of Technology Madras (IITM),IIT Madras
Tejas Networks Ltd.,
Magister,Magister
Qualcomm Incorporated,
"Nokia, Nokia Shanghai Bell, Samsung",
NTT DOCOMO,docomo
"ZTE Corporation, Sanechips",ZTE|Sanechips
China Mobile Communications Corporation,CMCC
Panasonic,
MediaTek,Moderator (Gilles)
NTT DOCOMO,DoCoMo
ZTE,
FL,
Moderator (CMCC),
RAN1 Chair,Chair
Moderator (Nokia),Nokia
Marco Maso,marco.maso@nokia.com
Intel,Yi Guo
Eutelsat Group,
Nathan Tenny,
"Hiroki Harada, Ralf Bendlin",hiroki.harada.sv@nttdocomo.com|ralf_bendlin@labs.att.com
Apple,Qiming Li
Qualcomm Incorporated,Qualcomm
Ericsson,Florent Munier
MediaTek Korea Inc.,MediaTek
Mediatek Inc.,Mediatek
ZTE Corporation,ZTE Corporation
3GPP RAN2 Working Group,RAN2
Spreadtrum,Shijia Shao
CMCC,
NEC,NEC Corporation
NTT DOCOMO,syouhei.yoshioka.py@nttdocomo.com
Ruijie,
Qualcomm,QTI
Samsung,R1-2410936 contributor
Mavenir,
Panasonic,Henry Tran
LG,LG Electronics
ZTE,ZTE Corporation|Sanechips
Fraunhofer HHI,FHHI
MediaTek Inc,Moderator (MediaTek Inc)
TSG RAN,3GPP TSG RAN
LG Electronics,daesung.hwang@lge.com|edison.lee@lge.com|hanjun0128.park@lge.com
Intel Corporation (Moderator),
Spark NZ Ltd,
"HiSilicon Semiconductor Co., Ltd.",HiSilicon
ZTE,"ZTE Corporation, Sanechips"
Vodafone,Diogo Martins
Thales,Moderator (Thales)
Intel Corporation,
MediaTek,CH.Hsieh@mediatek.com
Diana Pani,diana.pani@interdigital.com
Fujitsu,
HiSilicon,"HiSilicon Semiconductor Co., Ltd"
TOYOTA,TOYOTA InfoTechnology Center
Charter Communications,
Huawei,Hisilicon
Meta,
Sven Fischer,sfischer@qti.qualcomm.com
OPPO,RAN1
OPPO,Oppo
Nokia/Nokia Shanghai Bell,Nokia
Ralf Bendlin,
Fraunhofer IIS,FIIS
"Huawei, HiSilicon, China Unicom, ZTE, Sanechips",Huawei|HiSilicon|China Unicom
CAICT,China Academy of Information and Communications Technology
China Unicom,
Beijing University of Posts and Telecommunications (BUPT),
"Huawei, HiSilicon",HW
Kyocera,Kyocera Corporation
Verizon,
Yushu Zhang,
Indian Institute of Technology Kanpur (IIT Kanpur),IIT Kanpur
Charter Communications Inc,
Qualcomm (QC),QC
Cybercore,
Spreadtrum Communications,Spreadtrum|UNISOC
Ad-Hoc Chair (AT&T),AT&T
National Taiwan University,NTU
Keysight Technologies UK Ltd,
LGE,
Orange,
Chair,
DENSO Cooperation,DENSO
DCM,
RAN1,3GPP RAN Working Group 1
InterDigital,Jonghyun Park
RUijie networks,RUijie networks
Chuangxin Jiang,ZTE
IIT Kanpur,Indian Institute of Technology Madras
MediaTek,MediaTek Inc.
RAN1,
IDC,
Viasat,
Qualcomm,"QTI|Qualcomm Technologies, Inc."
Spreadtrum Communications,SGITG
ZTE Corporation,ZTE|Sanechips
Ericsson AB,Ericsson
"Vivo Mobile Communication Co., Ltd.",VIVO
MediaTek,Yu-Jen Ku
KT Corp.,KT
Fraunhofer HHI,FhG HHI
Spreadtrum,Spreadtrum
Vivo Communication Technology Co. Ltd.,Vivo
"Moderator(Fujitsu), Langbo, ZTE, Ericsson, Google, Huawei, HiSilicon, Lenovo, New H3C, Samsung, Nokia",
Lenovo,
Nokia Shanghai Bell,NSB
Deutsche Telekom,Deutsche Telekom
Futurewei,FUTUREWEI
3GPP RAN Working Group 2,RAN WG2|RAN2
Moderator (Ericsson),
Lenovo,Lenovo Group Ltd.
vivo,Moderator(vivo)
NEC,Hassan Al-Kanani
Huawei,Frank Long|RAN WG1
NVIDIA Corporation,
Spreadtrum Communication,Spreadtrum
Intel,Intel Corporation
China Telecom,Moderator (China Telecom)
"NTT DOCOMO, INC",NTT DOCOMO
3GPP TSG-RAN Working Group,RAN WG
Yu Pan,
Google,Yushu Zhang
CCL,
"Huawei Technologies Co., Ltd.",Huawei
Fraunhofer IIS,Fraunhofer IIS
LG,
Shichang Zhang,
Spreadtrum,SPRD
Indian Institute of Technology MADRAS (IITM),IITM
"Nokia, CATT, Ericsson, Samsung",
Qualcomm,FL
CEWiT,Ebin Chacko Shiv Shankar
Samsung,Samsung
TCL,
China Southern Power Grid,
Nokia/NSB,
"KRRI, Hanbat National University",KRRI|Hanbat
Ericsson,Telefonaktiebolaget LM Ericsson
RAN2,3GPP TSG-RAN WG2
Company,
Qiming Li,<li_qiming@apple.com>
"ZTE, Sanechips",ZTE|Sanechips
