id,name,description
RAN WG2,Radio Access Network Working Group 2,Addresses radio interface architecture and protocols for NTN.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications and radio channel modeling in 3GPP
RAN WG1,Radio Access Network Working Group 1,"Responsible for defining physical layer specifications (Layer 1) for NR/5G systems, including AI/ML enhancements."
RAN WG2,Radio Access Network Working Group 2,Focuses on radio interface architecture and protocols.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of LTE/NR radio interfaces
RAN WG1,Radio Access Network Working Group 1,Responsible for the physical layer specifications of NR air interface.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical channels and adaptation mechanisms."
RAN WG4,Radio Access Network Working Group 4,Defines RF and RRM requirements for NTN deployments.
RAN WG2,Radio Access Network Working Group 2,Focuses on NR radio interface architecture and protocols
RAN WG1,Radio Access Network Working Group 1,Responsible for defining physical layer specifications for NR air interface.
RAN4,Radio Access Network Working Group 4,Addresses RF aspects and conformance testing.
RAN WG1,Radio Access Network Working Group 1,Deals with physical layer specifications
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for NR physical layer specifications.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer and frame structure design."
RAN WG4,Radio Access Network Working Group 4,Responsible for radio performance and protocol aspects of 3GPP specifications
RAN WG1,Radio Access Network Working Group 1,Focuses on physical layer specifications for 3GPP radio access technologies.
TSG-RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specifications, including physical layer enhancements for NTN."
RAN WG1,Radio Access Network Working Group 1,Specifies physical layer procedures for NR.
RAN WG2,Radio Access Network Working Group 2,Focuses on the radio interface architecture and protocols in 3GPP.
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of the radio interface
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for the physical layer specifications of NR radio interface
SA2,System Architecture Working Group 2,3GPP group addressing system architecture aspects.
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of NR
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of NR radio interface.
RAN WG2,Radio Access Network Working Group 2,Responsible for radio interface architecture and protocols (Layer 2/Layer 3)
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications including channel modeling
RAN WG2,Radio Access Network Working Group 2,"Focuses on MAC, RLC, and PDCP layer protocols."
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of radio interfaces in 3GPP standards
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer specifications for radio access technologies
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in NR and LTE
RAN WG2,Radio Access Network Working Group 2,Focuses on radio interface architecture and protocols in 3GPP systems.
TSG-RAN,Radio Access Network Working Group,Responsible for radio access architecture and protocols
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer specifications including physical channels and protocols.
RAN WG1,Radio Access Network Working Group 1,Responsible for defining NR physical layer specifications and channel models.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer specifications, including physical layer structures for NTN and IoT."
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for NR physical layer specifications, including AI/ML integration into air interface."
SA2,Service and System Aspects Working Group 2,Addresses architecture and service requirements.
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer specifications for radio access technologies.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of radio interfaces
RAN WG1,Radio Access Network Working Group 1,Responsible for 5G/NR physical layer specifications
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for the physical layer specifications of radio interfaces
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications including physical channels, modulation, and synchronization"
RAN WG4,Radio Access Network Working Group 4,Focuses on radio performance and protocol aspects in 3GPP.
RAN WG1,Radio Access Network Working Group 1,Responsible for defining UE and base station requirements for radio interfaces.
RAN WG4,Radio Access Network Working Group 4,Handles RF and radio performance aspects
RAN WG1,Radio Access Network Working Group 1,Responsible for the physical layer specifications of 3GPP radio interfaces.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer protocols for IoT-NTN."
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications and physical layer aspects of 5G NR
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specification development, including physical layer protocols and RF characteristics."
RAN WG1,Radio Access Network Working Group 1,"Responsible for the physical layer specifications of LTE, NR, and related technologies."
RAN WG1,Radio Access Network Working Group 1,Focuses on the physical layer specifications for NR and LTE.
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio access network specifications, including physical layer protocols and air interface technologies."
RAN4,Radio Access Network Working Group 4,Defines RF and radio resource management requirements.
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for physical layer specifications in radio access technologies.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications and physical layer aspects of 3GPP systems
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of radio interfaces
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including AI/ML enhancements."
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in 5G NR.
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of the radio interface.
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for the physical layer specifications of NR radio interfaces.
RAN WG2,Radio Access Network Working Group 2,"Focuses on radio interface architecture, protocols, and service characteristics."
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for physical layer standardization.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio interface physical layer specifications in 3GPP.
RAN WG2,Radio Access Network Working Group 2,Responsible for Radio Interface Architecture and Protocols
RAN WG1,Radio Access Network Working Group 1,"Responsible for physical layer specifications in 3GPP, including waveform design and multiple access."
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer and radio interface specifications in 3GPP.
RAN WG2,Radio Access Network Working Group 2,Focuses on NR layer 2/layer 3 radio interface architecture.
RAN WG3,Radio Access Network Working Group 3,Focuses on overall architecture and interfaces
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of 3GPP radio access technologies including NR beam management enhancements.
RAN WG1,Radio Access Network Working Group 1,Responsible for NR physical layer specifications including channel structures and modulation.
RAN WG1,Radio Access Network Working Group 1,Handles physical layer specifications for NR-NTN enhancements.
RAN WG2,Radio Access Network Working Group 2,Responsible for layer 2/layer 3 radio interface specifications
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications for NR and LTE.
RAN WG2,Radio Access Network Working Group 2,"Focuses on radio interface architecture, protocols, and layer 2/3 specifications."
RAN WG2,Radio Access Network Working Group 2,"Handles radio interface architecture, procedures, and RRM aspects related to LP-WUS configuration."
RAN WG1,Radio Access Network Working Group 1,Responsible for radio access network physical layer specifications
RAN WG2,Radio Access Network Working Group 2,Focuses on radio layer 2/3 and radio interface architecture.
RAN WG1,Radio Access Network Working Group 1,Responsible for specifying the physical layer of the NR radio interface.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in radio access technologies.
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including LP-WUS/LP-SS design."
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specifications, including physical layer protocols for NTN and IoT."
RAN WG2,Radio Access Network Working Group 2,Focuses on NR radio interface architecture.
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio layer architecture and protocols specification
RAN WG2,Radio Access Network Working Group 2,"Focuses on radio interface architecture, MAC layer protocols, and mobility management in 3GPP systems."
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of 3GPP radio technologies
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specification development including physical layer protocols
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of NR (New Radio) in 3GPP.
TSG-RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer protocols."
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of 3GPP radio interfaces
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of 5G NR radio interface
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including LP-WUS design and synchronization."
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in 3GPP.
RAN WG2,Radio Access Network Working Group 2,Responsible for Layer 2 (MAC) and Layer 3 (RRC) protocol specifications
RAN3,Radio Access Network Working Group 3,Handles overall UTRAN architecture and interworking.
RAN WG1,Radio Access Network Working Group 1,"Responsible for defining the physical layer specifications of 3GPP radio interfaces, including NR and LTE."
RAN WG1,Radio Access Network Working Group 1,Focuses on the specification of radio access technologies and physical layer protocols in 3GPP.
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for radio access network specifications including physical layer protocols and channel modeling.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications including physical layer
RAN WG1,Radio Access Network Working Group 1,Develops physical layer specifications for NR.
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio access network physical layer specifications
RAN WG2,Radio Access Network Working Group 2,Handles radio interface architecture and protocols for 5G NR.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications including physical channels and modulation
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio access network physical layer specifications.
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specifications, including physical layer protocols and channel structures."
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specifications, including physical layer and channel modeling."
RAN WG2,Radio Access Network Working Group 2,Focuses on NR radio interface protocols.
RAN3,Radio Access Network Working Group 3,Focuses on RAN architecture and interfaces
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio layer 1 specifications including physical channel structures.
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of 3GPP radio interfaces.
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of radio interfaces for 3GPP systems.
SA5,Service and System Aspects Working Group 5,Manages OAM and network resource model specifications.
RAN WG1,Radio Access Network Working Group 1,"Responsible for defining the physical layer of NR specifications, including NTN enhancements."
RAN WG2,Radio Access Network Working Group 2,Focuses on layer 2/layer 3 radio interface specifications.
RAN WG1,Radio Access Network Working Group 1,Responsible for defining physical layer specifications for NR
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio interface architecture and protocols.
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio interface specifications.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of LTE/NR radio interfaces.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of LTE and NR radio interfaces
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of 3GPP radio access technologies
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer procedures and channel structures."
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications.
RAN WG3,Radio Access Network Working Group 3,Handles radio access network interoperability.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer specifications including physical layer procedures.
RAN WG1,Radio Access Network Working Group 1,"Responsible for the specification of the physical layer of 3GPP radio interfaces, including NR and LTE."
RAN WG2,Radio Access Network Working Group 2,Addresses NR radio interface protocols and AI/ML framework coordination.
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the radio layer 1/layer 2 protocol and physical layer.
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio access network specifications, including physical layer and RF aspects."
RAN WG2,Radio Access Network Working Group 2,Focuses on NR layer 2/layer 3 protocols and radio interface architecture.
RAN WG1,Radio Access Network Working Group 1,Responsible for definition of the physical layer and radio interface protocols
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the radio layer 1 (physical layer) for NR and LTE.
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR radio layer 1 specifications, including physical layer protocols and UE features."
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including SSB design and energy efficiency features."
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for the physical layer specifications of NR
RAN WG1,Radio Access Network Working Group 1,Focuses on physical layer specifications for 5G NR.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of 3GPP radio interfaces
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of 5G NR.
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including radio interface protocols and channel structures."
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in radio access.
RAN WG1,Radio Access Network Working Group 1,Focuses on physical layer specifications for NR.
RAN WG1,Radio Access Network Working Group 1,Responsible for defining physical layer specifications and channel models for 3GPP standards.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications and AI/ML positioning aspects
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications including MIMO enhancements and CSI framework development
RAN WG3,Radio Access Network Working Group 3,Focuses on network architecture interfaces
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of radio interfaces
RAN WG1,Radio Access Network Working Group 1,Focuses on physical layer specifications for NR Air Interface.
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio layer 1 specifications including physical layer aspects
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer specifications of 3GPP radio access technologies.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer protocols for NTN."
SA2,Service and System Aspects Working Group 2,Handles architecture and service capabilities.
RAN WG4,Radio Access Network Working Group 4,3GPP group responsible for radio performance and protocol aspects
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for the physical layer specifications of NR/LTE
RAN3,Radio Access Network Working Group 3,Responsible for UMTS and LTE/5G NR architecture and interfaces.
RAN WG1,Radio Access Network Working Group 1,Responsible for the physical layer specifications of NR (New Radio).
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of 3GPP systems.
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including beam management enhancements."
RAN WG3,Radio Access Network Working Group 3,Focuses on UTRAN/GERAN architecture and interfaces
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the radio interface physical layer.
RAN3,Radio Access Network Working Group 3,Handles radio access network interfaces and inter-node coordination.
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specifications, including physical layer procedures for NR."
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for physical layer specifications, including AIoT TB size evaluations."
RAN WG1,Radio Access Network Working Group 1,Responsible for defining UE and base station radio functionalities in 3GPP.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications and AI/ML model transfer mechanisms
RAN WG2,Radio Access Network Working Group 2,Responsible for the radio interface architecture and protocols of NR and LTE.
RAN4,Radio Access Network Working Group 4,Responsible for radio performance aspects
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer protocols and channel structures."
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications including physical layer procedures and MIMO enhancements.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications in 3GPP, including physical channels and modulation."
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the UE & base station radio access capabilities and the specification of the physical layer
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer protocols for NR and LTE."
RAN WG4,Radio Access Network Working Group 4,Responsible for radio performance and protocol aspects of NR
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of radio interfaces for cellular networks.
RAN WG2,Radio Access Network Working Group 2,Responsible for NR protocol aspects (RLC/MAC/RRC)
RAN WG1,Radio Access Network Working Group 1,Responsible for defining the physical layer specifications in 3GPP.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications including physical layer procedures.
TSG RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications
RAN2,Radio Access Network Working Group 2,"Responsible for radio interface architecture, protocols, and procedures."
SA2,Service and System Aspects Working Group 2,3GPP group handling architecture and service requirements
3GPP,3rd Generation Partnership Project,Standardization organization for mobile telecommunications protocols.
RAN WG2,Radio Access Network Working Group 2,Responsible for NR radio interface architecture and protocols.
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specifications, including physical layer protocols."
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in 3GPP radio systems.
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of NR
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including NTN and RedCap functionalities."
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for the physical layer specifications of NR and LTE.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications and physical layer enhancements
RAN WG1,Radio Access Network Working Group 1,"Responsible for 5G NR physical layer specifications, including AI/ML-based positioning enhancements."
RAN WG1,Radio Access Network Working Group 1,Specifies physical layer protocols for radio access.
RAN WG1,Radio Access Network Working Group 1,Responsible for the physical layer specifications of NR.
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specifications, including physical layer protocols and waveforms."
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including radio interface protocols and energy savings."
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the radio interface physical layer (Layer 1)
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specifications, including physical layer for Ambient IoT."
RAN WG1,Radio Access Network Working Group 1,Specifies physical layer protocols for radio interfaces
RAN WG1,Radio Access Network Working Group 1,"Responsible for defining physical layer specifications in 3GPP, including radio access technologies and waveforms."
5GAA WG4,5G Automotive Association Working Group 4,Focuses on spectrum & technology for connected automated driving and V2X communications.
RAN WG3,Radio Access Network Working Group 3,Responsible for overall UTRAN architecture and interfaces
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer and radio access protocols in 3GPP standards.
RAN WG4,Radio Access Network Working Group 4,Handles RF and RRM requirements for SBFD operation.
TSG-RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer protocols and UE capabilities."
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specifications, including physical layer protocols and RF requirements."
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of radio interfaces.
RAN1,Radio Access Network Working Group 1,Responsible for physical layer specifications development
RAN WG2,Radio Access Network Working Group 2,Handles MAC and RLC layer specifications in 3GPP.
RAN WG2,Radio Access Network Working Group 2,Responsible for the radio interface architecture and protocols of NR.
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in NR.
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including TS 38.214."
RAN WG1,Radio Access Network Working Group 1,Responsible for the physical layer specifications of 5G NR
RAN WG2,Radio Access Network Working Group 2,Responsible for MAC and RLC layer specifications
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of the radio interface.
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer specifications of 3GPP radio technologies.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications in 3GPP.
RAN WG1,Radio Access Network Working Group 1,Responsible for defining physical layer specifications for NR/UTRA.
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for physical layer specifications in NR.
RAN WG1,Radio Access Network Working Group 1,Responsible for the development of physical layer specifications for 3GPP radio access technologies.
RAN WG2,Radio Access Network Working Group 2,3GPP group focusing on radio interface architecture and protocols.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer specifications including channel modeling
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications and radio resource management in NR.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer structures and protocols."
RAN WG2,Radio Access Network Working Group 2,Layer 2/3 specifications
RAN WG2,Radio Access Network Working Group 2,Handles layer 2/3 specifications and radio interface architecture
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer protocols and AI/ML integration."
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of radio interface
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer specifications in 3GPP
RAN WG1,Radio Access Network Working Group 1,"Responsible for physical layer specifications of 3GPP radio technologies, including NR NTN enhancements."
TSG SA,Service and System Aspects Technical Specification Group,Responsible for overall architecture and service capabilities
RAN WG2,Radio Access Network Working Group 2,Handles radio layer 2/3 specifications
RAN WG4,Radio Access Network Working Group 4,Responsible for radio performance and protocol aspects of NR and LTE.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer specifications, including physical layer protocols and procedures."
RAN4,Radio Access Network Working Group 4,Focuses on RF and RRM conformance testing.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer procedures."
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of radio access technologies
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specification of radio interfaces in 3GPP systems
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of NR.
RAN WG1,Radio Access Network Working Group 1,"Responsible for 5G-NR physical layer specifications, including UE radio access capabilities and features."
RAN WG4,Radio Access Network Working Group 4,Defines RF and RRM requirements for IoT-NTN TDD bands.
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specifications, including physical layer protocols for NB-IoT and NTN."
RAN WG2,Radio Access Network Working Group 2,Responsible for the radio interface architecture and protocols in NR and LTE.
SA2,Service and System Aspects Working Group 2,Handles architecture and service requirements in 3GPP.
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for the physical layer specifications of radio interfaces
RAN WG4,Radio Access Network Working Group 4,Focuses on RF/conformance testing aspects.
RAN WG1,Radio Access Network Working Group 1,Handles physical layer specifications
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer standardization in 3GPP
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the radio layer (physical layer) in 3GPP.
RAN WG1,Radio Access Network Working Group 1,Specifies the physical layer of 3GPP radio interfaces.
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of 3GPP radio interfaces.
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including LP-WUS/WUR standardization."
RAN WG2,Radio Access Network Working Group 2,Handles layer 2/layer 3 radio interface specifications
TSG-RAN WG1,Radio Access Network Working Group 1,"Responsible for 3GPP radio layer 1 specifications, including physical layer procedures."
RAN WG4,Radio Access Network Working Group 4,Radio performance and protocol aspects
RAN WG2,Radio Access Network Working Group 2,"Responsible for the architecture, protocols, and interfaces of the 3GPP radio access network."
SA5,Service and System Aspects Working Group 5,"Responsible for telecommunications management, including network management and orchestration."
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio layer specifications including physical layer and RF characteristics
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio layer 1 specifications including physical channels and procedures.
RAN WG1,Radio Access Network Working Group 1,Responsible for the physical layer specifications of LTE/NR radio interfaces
RAN WG1,Radio Access Network Working Group 1,Responsible for defining the physical layer specifications for NR.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications and channel modeling.
RAN WG4,Radio Access Network Working Group 4,Handles RF conformance testing and radio performance aspects.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer protocols and multi-carrier enhancements."
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of radio interfaces.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications including physical layer and RF aspects
RAN WG4,Radio Access Network Working Group 4,Focuses on radio performance and protocol aspects
RAN WG3,Radio Access Network Working Group 3,Handles RAN architecture and interfaces
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of radio access technologies.
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio layer 1 specifications including physical layer protocols and radio resource management
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer in 3GPP standards.
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specification development
RAN WG1,Radio Access Network Working Group 1,Responsible for radio interface architecture and protocols
RAN WG1,Radio Access Network Working Group 1,Responsible for 3GPP radio layer 1 specifications
RAN2,Radio Access Network Working Group 2,Handles the radio interface architecture and protocols for NR and LTE.
SA2,System Architecture Working Group 2,Responsible for overall system architecture and core network aspects
RAN WG1,Radio Access Network Working Group 1,"Responsible for the definition of the physical layer of 3GPP radio interfaces, including NR and NTN technologies."
RAN WG1,Radio Access Network Working Group 1,Responsible for radio access network specifications including physical layer protocols
TSG RAN WG4,Radio Access Network Working Group 4,Responsible for radio performance and protocol aspects
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in NR radio access
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of NR and LTE
RAN WG2,Radio Access Network Working Group 2,"Responsible for radio interface architecture and protocols, including mobility management"
RAN WG1,Radio Access Network Working Group 1,Focuses on physical layer specifications.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of 3GPP radio access technologies
RAN WG1,Radio Access Network Working Group 1,Develops physical layer specifications for NR and LTE.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in 3GPP systems
RAN WG1,Radio Access Network Working Group 1,Responsible for defining the physical layer specifications for NR and LTE.
RAN WG1,Radio Access Network Working Group 1,"Responsible for defining physical layer specifications for 3GPP radio technologies, including NR and LTE."
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for physical layer specifications in NR
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer procedures and waveforms."
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including radio interface protocols and CA functionalities."
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications and radio access network functionality.
RAN WG4,Radio Access Network Working Group 4,Responsible for radio performance and protocol aspects in 3GPP NR
RAN WG1,Radio Access Network Working Group 1,Responsible for defining NR physical layer specifications and radio interface protocols.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications and RAN1-related work items.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications in 3GPP
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in radio access
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including LP-WUS design."
RAN WG4,Radio Access Network Working Group 4,Handles RF and radio performance requirements.
RAN WG1,Radio Access Network Working Group 1,Responsible for NR radio layer 1 specifications.
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio layer architecture and protocols
RAN WG4,Radio Access Network Working Group 4,Responsible for radio interface performance specifications
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of NR air interface.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in NR
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of NR radio interface
RAN WG2,Radio Access Network Working Group 2,Handles MAC and RLC layer specifications
RAN4,Radio Access Network Working Group 4,Responsible for radio performance requirements
RAN WG4,Radio Access Network Working Group 4,"Focuses on RF and RRM conformance testing, critical for LP-WUS coverage requirements."
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications including waveform design
RAN WG1,Radio Access Network Working Group 1,Focuses on the physical layer specifications of radio access technologies.
RAN WG2,Radio Access Network Working Group 2,3GPP group responsible for radio interface architecture and protocols.
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio access network layer 1 specifications.
