doc_id,entity_name,context,frequency
R1-2401151,Rel-18 codebook,Baseline for performance comparison,8
R1-2409743,4x1 Subarray,Antenna configuration with 4 elements per port,5
R1-2407353,CLI,Main focus of document,142
R1-2400727,CSI-RS,Extended to support 128 ports through resource aggregation,47
R1-2406829,DCI-based Reset,State synchronization mechanism,3
R1-2406245,Single-Tone Waveform,Proposed as baseline for D2R backscattering due to spectral efficiency and interference advantages,12
R1-2407709,PRDCH,Main downlink physical channel carrying control information and payload,15
R1-2407423,Unified TCI State Framework,Power control parameter exclusion rules,8
R1-2404445,PRS-RSRPP,Existing DL positioning reference signal measurement,3
R1-2402192,SSB,Adaptation mechanisms for idle/inactive UEs and connected mode UEs,28
R1-2404263,TBoMS,Integration with OCC for parity preservation,8
R1-2402583,NPUSCH,Uplink capacity enhancements for single/multi-tone transmissions,18
R1-2406264,LTM,Event triggered measurement reporting framework,15
R1-2404848,SL PRS-RSRP,Measurement reporting capability discussion,4
R1-2403859,FDD,Frequency shift requirements in NR bands,18
R1-2407571,TS 38.214,Referenced for IMCS definition and UL-SCH transport block procedures,3
R1-2400849,Coherent Joint Transmission (CJT),Minimizing combined channel delay spread via TRP time adjustments.,8
R1-2407576,BWP,PUSCH configuration relationships with bandwidth parts,8
R1-2409245,CSI-RS,Discussion about validity as spatial relation source in INACTIVE state,15
R1-2404741,GNSS,UE positioning and measurement gap management,25
R1-2402365,SL-PRS,Sidelink PRS processing capabilities and measurement reporting,18
R1-2410788,SRS-RSRP,Measurement resource configuration for intra-cell interference,23
R1-2402121,DMRS Bundling,Impact analysis on phase continuity during UL collisions,4
R1-2406361,OCC,UL capacity enhancement via UE multiplexing,25
R1-2401251,CLI,Measurement and mitigation techniques discussion,45
R1-2402788,CSI-RS,Configuration for channel measurement with 5ms/20ms periodicity,15
R1-2400930,MAC-CE,Carrier selection for CSI reporting transmission,5
R1-2404830,LTM,Clarification of prerequisites for L1 measurements,5
R1-2402314,SCell dormancy,Extension to DCI 0_3/1_3 with per-BC granularity,9
R1-2409701,NPUSCH Format 1,Main uplink channel for IoT-NTN data transmission,18
R1-2408705,Blockage Model A,Preferred for spatial non-stationarity due to stochastic efficiency.,3
R1-24nnnnn,DCI format 1_3,Rel-18 feature compatibility with SRS carrier switching,12
R1-2403059,OOK modulator,Proposed for device 1 due to low complexity and power efficiency.,3
R1-2402509,PRACH,Repetition mechanisms and configuration,18
R1-2406393,K-factor,LOS component power ratio analysis,4
R1-2408591,UL WUS,PRACH-based triggering method for SIB1 request,8
R1-2402071,CDM groups,Exclusion from data transmission for co-scheduled UEs,12
R1-2401319,LP-WUS,Design considerations for connected mode operation,28
R1-2402063,MAC Control Element,Discussed as Option 1 for beam reporting with PUSCH transport blocks,8
R1-2410442,SIB1,Core mechanism for on-demand system information delivery in NES cells.,25
R1-2409546,OOK-4,Waveform design for symbol rate configuration,27
R1-2402866,TS 38.213,Primary specification being amended for PSFCH power control,8
R1-2402148,TR 38.843,Rel-18 study item technical report,4
R1-2403913,LNA,Receiver front-end linearity requirements for adjacent channel interference,3
R1-2410467,DL-TdoA,Proposed integration of Case1 AI/ML positioning with UE-based DL-TdoA methods,15
R1-2410223,PRACH,RO configuration in SBFD symbols,27
R1-2405302,4T6R Antenna Switching,Rel-17 design alternatives review,8
R1-2404335,DCI,Proposed dynamic skipping mechanisms using DCI formats,9
R1-2404618,UE,Intermediate node in Topology 2,23
R1-2401510,UL Tx Switching,Main discussion topic for scheduling restrictions and switching gap calculations,42
R1-2401088,TCI,Beam indication framework for joint DL/UL beam management,15
R1-2410767,Doppler Shift Modeling,Debate between element-wise vs antenna-wise modeling approaches,27
R1-2407482,SSB,Periodicity extension for NTN initial access,15
R1-2401242,TR38.843,Referenced for performance observations in model interoperability scenarios,12
R1-2400410,DCI format 2_9,Design considerations for activation/deactivation signaling,8
R1-2403226,PSCCH,Decoding timeline adjustments for resource allocation,6
R1-2407681,MAC-CE,PL offset configuration updates for TCI states and SRS resource sets,3
R1-2409316,TS 38.214,Rel-17 specification requiring correction,4
R1-2403884,Type-I codebook,Refinement proposals for RI=5-8 using Schemes 1-4.,12
R1-2405113,SBFD,Core technology for duplex enhancement in 5G-Advanced,27
R1-2404259,TCI State,Unified TCI state application for cell switch operations,12
R1-2402767,CSI-RS,Resource aggregation for >32 port configurations,15
R1-2404965,Carrier-wave,Control parameters for CW transmission characteristics,15
R1-2400726,MAC CE,Comparison of latency characteristics with UCI-based reporting,12
R1-2410338,TR 37.885,Used for automotive scenario mobility models,8
R1-2408795,PEI,Comparison of LP-WUS subgrouping independence from legacy PEI mechanisms.,12
R1-2406552,Msg3,Contention-based transmission procedure analysis,15
R1-2404037,C-DRX,Legacy power-saving framework for PDCCH monitoring,12
R1-2404820,SIB1,Core focus of on-demand transmission mechanisms,28
R1-2401080,HARQ,Reliability limitations in NTN,6
R1-2401801,RedCap UE,Bandwidth behavior during positioning measurements,5
R1-24xxxxx,PUSCH,UL resource muting configuration in symbols carrying UCI,42
R1-2400421,eType II Codebook,Baseline for performance comparison,4
R1-2408937,Beam Hopping,System-level method to minimize adjacent beam interference.,4
R1-2407702,SBFD,Semi-static configuration procedures,87
R1-2409222,SSB,Synchronization Signal Block measurements,8
R1-2400910,CSI Prediction,Temporal/spatial compression techniques,12
R1-2402017,MAC-CE,Preferred method for beam report transmission (Option 1),8
R1-2410075,UL WUS,Triggering mechanism for SIB1 requests,10
R1-2405361,TR38.901,Baseline channel model document being validated,15
R1-2409111,SCell dormancy,BWP switching constraints with valid FDRA,8
R1-2404122,SSB,Periodic transmission assumptions (20ms/160ms periods),15
R1-2404482,UCI-onPUSCH,Configuration determination for DCI 0_1/0_3,8
R1-2408348,L1-RSRP,Beam quality measurement,22
R1-2402851,UAV,Sensing target for air traffic management,4
R1-2402643,CAPC,Restriction requirements during COT resumption,5
R1-24xxxxx,DCI 0_3/1_3,Scheduling mechanism for multi-cell transmissions,12
R1-2401354,CSI Reporting MAC-CE,Carrier selection implementation aspects,15
R1-2407117,TS 38.214,Referenced for QCL properties,3
R1-2406328,HARQ,HARQ process management for SPS transmissions,8
R1-2401514,MBS,Debated for compatibility with FG48-1/48-2 bandwidth restrictions,18
R1-2400435,LTE,Coexistence analysis in guard-band deployments,4
R1-2401293,SSB,Dynamic periodicity adaptation impacts legacy UE synchronization,25
R1-2406521,PUCCH Format 0/1,UL signaling medium for initial beam report indication,6
R1-2401716,Numerology,Numerology alignment requirements for co-scheduled channels,4
R1-2400997,LTE Sidelink,Co-channel coexistence with NR sidelink,6
R1-2405207,SIB1,Energy savings via on-demand transmission,28
R1-2402944,SSB,Impact of dynamic periodicity on legacy UE synchronization,15
R1-2403276,LP-SS,RRM measurement requirements,18
R1-2403074,PRACH,Prioritization rules for candidate cell transmissions,5
R1-2401762,DCI Format 2_8,Beam index indication via DCI format 2_8 with NCR-RNTI scrambling,5
R1-2405409,Interlace RB,Transmission/reception methods for PSCCH/PSSCH/PSFCH in shared spectrum.,12
R1-2406819,Msg3 Transmission,Timing accuracy requirements analysis,12
R1-2400892,NCD-SSB,Antenna port configuration conflict resolution,15
R1-2401225,Model-ID-Based LCM,"Proposed for use cases requiring NW-UE model pairing (e.g., CSI compression)",8
R1-2405805,Ambient IoT,Deployment scenarios and waveform requirements,20
R1-2401508,SL-CA,Discussed in relation to per-carrier operation principles and RAN2 agreement conflicts.,15
R1-2400949,MCS,Reserved modulation schemes for HARQ,8
R1-2406741,OCC,UE multiplexing schemes in NPRACH and NPUSCH,18
R1-2407148,PUCCH,Power control formula correction,15
R1-2403284,OFDM,Waveform for OOK modulation,5
R1-2400806,SSB,Proposed for dynamic transmission triggering in SCells,35
R1-2407157,Physical Random Access Channel,Configuration of additional PRACH resources and overlap avoidance mechanisms,12
R1-2401631,LP-WUS,Main subject of the document discussing configuration and operation,142
R1-2407016,DRX,Activation/deactivation timing adjustment,8
R1-2406445,OOK,Proposed for D2R modulation due to low power consumption.,5
R1-2405173,PUSCH Repetition Type B,Invalid symbol determination under TA mismatch,5
R1-2409484,Type-2 HARQ-ACK codebook,Modifications for handling multiple TBs per DCI,12
R1-2402772,Cell DTX,Proposed as baseline for energy-saving in satellite beams,3
R1-2400831,L1-RSRP,Beam measurement metric for AI/ML inference,9
R1-2403008,Time Offset,Configuration ambiguity resolution between CFRA/CBRA,8
R1-2403577,SL PRS,Measurement reporting for positioning,8
R1-2407733,Ambient Internet of Things,Core subject of architectural proposals,28
R1-2406662,iDRX,Idle mode discontinuous reception cycle,4
R1-2400300,TDD,Base duplexing method for SBFD operation,12
R1-2404113,Type-2 RA,Proposed for support in SBFD symbols to reduce latency,12
R1-2407858,CLI,UE-to-UE interference management in SBFD symbols,12
R1-2406017,TR 38.843,Rel-18 Study Item reference,4
R1-2400417,BWP,Removal of FG 53-2 due to updated agreements on SSB handling.,5
R1-2406384,TR38.901 Channel Model,Primary reference model for validation,15
R1-2410917,SSB,Periodicity configuration for energy efficiency,15
R1-2406616,NTN,Rel-19 NR NTN DL coverage enhancements,1
R1-2407524,K_offset,Timing offset parameter for NTN propagation delay compensation,8
R1-2408813,CSI-RS,NZP CSI-RS transmission unaffected by Type-1 SD adaptation,15
R1-2404323,LEO,Low Earth Orbit satellite parameters,15
R1-2400785,PSFCH,Slot configuration constraints for starting symbols,8
R1-2400180,Carrier Aggregation,"Intra-band, inter-band, and non-co-located scenarios.",12
R1-2407155,XR,Traffic model considerations and latency requirements,
R1-2409476,LP-WUS,Payload size configuration and encoding methods discussion,35
R1-2406702,PRG,Precoding Resource Block Group discussions for PDSCH resource allocation,8
R4-2410381,TS 38.331,Current specification defining UL reference point usage,2
R4-2406496,FG 27-3-1,TN positioning measurement component,1
R1-2403786,PDRCH,D2R transmission structure,38
R1-2403118,LP-WUS,Low-power wake-up receiver architectures discussed in TR 38.869,3
R1-2402406,CSI-RS,Enhancements for configurations up to 128 ports,28
R1-2405957,SSB,Dynamic activation/deactivation for energy efficiency and beam management,28
R1-2404240,CSI-RS,Port aggregation up to 128 ports,28
R1-2402474,PRACH,Spatial domain adaptation via non-uniform resource allocation per SSB,28
R1-2402015,Manchester Coding,Used for line coding in PRDCH to enable clock recovery.,4
R1-2410898,CSI-ReportConfig,Configuration framework for inference reporting,8
R1-2400272,BWP,Proposal for dedicated BWP allocation to avoid RF retuning,6
R1-2408040,CSI-RS,Support for up to 128 ports configuration,22
R1-2407051,OCC,Proposed as key solution for UL capacity enhancement,47
R1-2401106,CD-SSB,BWP configuration measurements,8
R1-2401135,Model Transfer Framework Z3,Proposed baseline for training type 1,4
R1-2401479,UE-Sided Model Training Data,Encapsulation of L1 metrics into IP packets for OTT/CN transfer,8
R1-2401259,HARQ,Excluded from A-IoT design due to complexity constraints,2
R1-2403346,RedCap,Bandwidth reduction requirements,15
R1-2401724,CRI-based CSI,Hybrid beamforming support for MU-MIMO scenarios.,10
R1-2408208,PDRCH,FDM subcarrier selection and FEC support,12
R1-2402032,DCI format 0_3/1_3,Multi-cell scheduling mechanisms,15
R1-2402740,FR2,Discussion on LP-WUS/LP-SS deployment feasibility in high-frequency bands.,2
R1-2408107,TR 38.843,Referenced technical report for AI/ML study,5
R1-2406336,SL-U,CW adjustment procedures for SL-U transmissions,12
R1-2405669,TCI,QCL assumptions for PDCCH/PDSCH after cell switch,27
R1-2408040,CJT,Phase offset reporting and calibration enhancements,28
R1-2408912,TS 38.331,RRC configuration for sidelink resource pools,1
R1-2401296,CLI,Primary interference mechanism addressed,41
R1-2407391,PUSCH,Physical Uplink Shared Channel operation with multiple layers,12
R1-2405173,SIB19,Prioritization during SI windows for ephemeris updates,8
R1-2402953,UDS,Ultra-deep sleep state power modeling,12
R1-2400913,Type-II Doppler Codebook,CSI processing criteria updates for velocity-optimized codebooks,8
R1-2407171,DCI format 3_2,Scheduling mechanism for SL-PRS resources,5
R1-2408042,DCI format 2_3,Extension of starting bit range for power control commands,8
R1-2407883,DCI formats 0-3/1-3,Proposed for multi-cell scheduling with mixed SCS/carrier types,12
R1-2408363,Latent Message,Compressed representation in encoder output,3
R1-2401424,multi-DCI,Two TAs support for multi-DCI based STxMP schemes,15
R1-2401976,BPSK,Proposed as UL modulation for improved SINR,5
R1-2400152,switching2T-Mode-r18,Rel-18 configuration parameter for 2Tx-2Tx switching period calculation,4
R1-2404293,MAC-CE,Preferred signaling method for SSB activation commands,12
R1-2405885,Spatial Non-Stationarity,Modeling of visibility regions and blocker effects,15
R1-2404915,UAV,Example object for sensing target modeling,2
R1-2410500,Type-2 HARQ-ACK codebook,Modified for multi-PDSCH scheduling with sub-codebooks,8
R1-2404384,L1-RSRP,Reference signal measurement metric for beam quality assessment,32
R1-2403687,TS 38.213,Clause 8.3 modification,5
R1-2400652,UAV Detection,Critical security mechanism for drone management systems,8
R1-2405713,TS 38.213,Clause 9.2.5.2 being modified,5
R1-2402790,AI/ML Model Identification,Core discussion on MI-Options 1-5 and their applicability to use cases,15
R1-2403835,LMF,Potential host for ML model training,5
R1-2403431,SCell Dormancy,Dynamic BWP switching through DCI signaling,18
R1-2405803,LTE,Comparison with microsleep techniques for energy saving,3
R1-2404474,OCC,Multiplexing up to 4 UEs per subcarrier via orthogonal codes,28
R1-2405184,PR2DCH,Proposed physical channel for R2D control information.,5
R1-2400933,L1-RSRP,Beam quality measurement metric,3
R1-2401806,DCI Format 0_1/0_2,Release mechanisms for multi-PUSCH configurations,9
R1-2409456,LP-SS,Synchronization signal design with OOK-1/OOK-4 waveform options,42
R1-2402523,ISAC,Core discussion topic throughout document,28
R1-2400225,DCI formats,Scheduling of PDSCH receptions,2
R1-2401639,TS 38.101-1,Switching gap definitions,8
R1-2408663,SSB,Extended periodicity analysis for initial access,18
R1-2403513,LMMSE-IRC,Advanced receiver technique for interference suppression,3
R1-2402058,TCI states,Priority rules for overlapping PDCCH/PDSCH receptions with conflicting TCI states,15
R1-2402720,MSK,Spectral efficiency comparison with OOK/BPSK,15
R1-2404582,Beam Failure Recovery,Suggested reuse of SCell BFR framework for AI model performance monitoring,4
R1-240XXXX,PDSCH,Repetition schemes for coverage enhancement,18
R1-2409238,Ambient IoT,Core technology for ultra-low-power IoT devices using backscattering.,15
R1-2401660,TS 38.331,Reference for startingBitOfFormat2-3 parameter definitions,3
R1-2405174,OCC,Evaluation of OCC schemes under impairments like Doppler and phase noise,42
R1-2404144,Type 3 PHR,Prioritization rules for reporting based on actual/reference transmissions,10
R1-2408718,PUCCH Format 4,Comb-like structure reference for intra-symbol OCC design,4
R1-2405001,38.214,Referenced for SL resource selection procedures,3
R1-2409666,SRS-PosTx-Hopping,Configuration for frequency hopping outside active BWP,4
R1-2404919,CJT,Calibration reporting under non-ideal backhaul,28
R1-2403515,Ambient IoT,Coverage evaluation methodology and deployment scenarios,45
R1-2404242,CLPC,Two separate closed-loop power control states for SRS,12
R1-2409647,UAV,RCS modeling for small/large UAVs (quadcopters vs. fixed-wing),8
R1-2400086,LTM,Mobility enhancements for intra/inter-frequency L1 measurements and beam management,10
R1-2401946,NCD-SSB,Time offset configuration requirements,8
R1-2403072,RACH Partitioning,Rel-17 feature integration for SBFD configurations,8
R1-2401118,SBFD,Core technology for enabling simultaneous UL/DL in subbands,15
R1-2400322,CSI-RS,Configuration for 128-port support,28
R1-2400834,Model ID,LCM operations and network coordination,15
R1-2408529,OCC,Proposed for NPUSCH/NPRACH to improve orthogonality in NTN-IoT,
R1-2401341,PUSCH,Configured grant Type 1 transmissions with repetitions,15
R1-2409149,Frequency Hopping,Discussed as a method to improve diversity gain in fading channels,22
R1-2400301,PRACH,PRACH resource configuration and valid RO determination in SBFD symbols,
R1-2400514,RRC Segmentation,Identified limitation for large AI/ML model transfers,4
R1-2407962,128 CSI-RS ports,Codebook extension for FR1 deployments,15
R1-2401237,PFD,ITU-R coordination threshold impact,12
R1-2406603,Energy Harvesting,Analysis of harvesting sensitivity and impact on device availability,12
R1-2407895,CovLSTM,Used in AI model backbone for temporal CSI compression,2
R1-2404052,SL PRS,Measurement reporting ambiguity resolution,12
R1-2401457,SMTC,FR2 intra-frequency L1-RSRP scheduling restrictions,5
R1-240XXXX,SL-U,Channel access and RA procedures,15
R1-2407060,DCI Format 1_0,PDCCH format monitored after LP-WUS detection,2
R1-2408150,RP-240826,Revised SID for Ambient IoT study in Rel-19.,2
R1-2408540,NTN,Satellite communication system constraints,28
R1-2405304,3GPP TR 38.843,Base document for model transfer/delivery case analysis,5
R1-24xxxxx,TR38.901,Channel model validation and adaptation baseline,15
R1-2409079,RedCap,Positioning maintenance for reduced capability devices,8
R1-2408475,PRACH,Configuration of additional resources and muting patterns,18
R1-2406072,PRDCH,Main downlink channel structure with preamble and postamble design,12
R1-2408407,TCI,UL power control framework,12
R1-2402763,Measurement Gap,Impact of measurement gaps on XR traffic delivery reliability,27
R1-2409790,CSI-RS,Used for performance monitoring through precoded transmissions,8
R1-2408659,3GPP,Standardization organization,8
R1-2401181,TS 38.331,Specification defining SearchSpace information elements,5
R1-2400577,Sounding Reference Signal,Power control and transmission occasion definitions,15
R1-2410640,CFO,Critical impairment requiring grouping <200Hz,89
R1-2410784,SSB adaptation,Time location relations before/after adaptation,47
R1-2407676,SBFD,PRACH resource configuration and CLI mitigation,25
R4-2416911,SSB,Impact analysis on RRM measurement requirements,8
R1-2405933,SBFD,Core technology discussed throughout the document,87
R1-2408841,Model Transfer/Delivery,Deprioritization of cases (z1-z5) based on feasibility and standardization needs.,8
R1-2410411,PRDCH,Design options for CRC attachment in PRDCH transmissions,
R1-2407292,Rayleigh Distance,Threshold for near-field region definition,8
R1-2407139,Beam Hopping,Satellite beam scheduling constraint for time-domain techniques,5
R1-2408173,TS 38.213,Power control specifications for SRS transmissions,4
R1-2403295,MCSt,Multi-TB transmission handling in shared spectrum,5
R1-2406305,AI/ML Model,Beam prediction and performance monitoring,35
R1-2407634,BWP,Proposal for dedicated BWP to host LP-WUS/LP-SS and avoid RF retuning.,12
R1-2404158,PHR,Power control mechanism for UL transmissions,15
R1-2402535,Kalman Filter,Baseline non-AI prediction method comparison,3
R1-2404237,PRACH,Analysis of mask index configurations for UE-dedicated and shared ROs,15
R1-2400310,PSCCH DMRS,RSRP measurement for resource exclusion,5
R1-24010548,PRG,Partial PRG handling in SBFD symbols for UE channel estimation,15
R1-2401667,RedCap,Proposed relaxation of CSS configuration mandates for RedCap UEs in connected mode.,15
R1-2410531,PDP,Power Delay Profile measurement reporting,15
R1-2406380,LP-WUS,Power saving through wake-up signal monitoring,42
R1-2406046,Type-1 CG PUSCH,Pre-configured resources for beam reporting,9
R1-2408258,SIB19,Critical for satellite ephemeris data acquisition,5
R1-2410291,SSB,Discussed as both always-on and on-demand variants for SCell operation,42
R1-2404280,sTRP,Downlink single-TRP operation,4
R1-2405204,MIMO,MaxRank and layer configurations for multi-antenna transmissions,8
R1-2404433,SSB,On-demand transmission for SCell synchronization and measurement,42
R1-2408456,CSI Compression,Primary use case for training collaboration types,
R1-2406268,EEPROM,Non-volatile memory for device identification,4
R1-2408727,SSB,Impact analysis of extended periodicity on initial access,27
R1-2402370,Model-ID-Based LCM,Analyzed as a potential solution requiring NW knowledge of UE-side additional conditions,15
R1-2405802,Cyclic Prefix (CP),CP removal methods and impact on device synchronization,22
R1-2406923,eT2-like CSI Reporting,NW-side performance monitoring mechanism,4
R1-2404559,PRB,Proposed as gap metric between CW tones (3/6 PRBs),4
R1-2301712,FG47-m1,Prerequisite feature group with component exemptions,4
R1-2407700,3T6R SRS,Proposed implementation constraints for antenna switching,6
R1-2405615,coresetPoolIndex,Used as condition for enabling out-of-order operations,8
R1-2404631,ISAC,Proposed channel model enhancements for sensing and communication integration,15
R1-2400740,SSB,Core component for SCell synchronization and measurements,
R1-2410867,DCI format 0_3,SRS request and offset indicator fields,12
R1-2410098,UAV,Primary use case for large/small target differentiation,22
R1-2409033,TS38.211,Physical layer specifications for NR,8
R1-2401275,NB-IoT,Existing LPWA technology comparison,3
R1-2403182,AI/ML models,Beam prediction consistency maintenance,42
R1-2403421,GNSS,Measurement gap configuration and autonomous positioning,45
R1-2401150,LP-WUR,Hardware architecture discussion,15
R1-2404091,PDCCH,QCL assumptions for DM-RS antenna ports,15
R1-2408012,Sounding Reference Signal (SRS),Power control parameter determination for non-associated TCI states,12
R1-2403114,DCI format 0_3/1_3,Main subject of proposed clarifications,12
R1-2403428,Sounding Reference Signal (SRS),Proposals for parameter corrections and power scaling in TDMed configurations.,15
R1-2403861,PRDCH,Reader-to-Device physical channel carrying system information and control data,15
R1-2403491,R1-2203012,File naming convention guidance,1
R1-2400964,cDRX,Fallback mechanism and measurement relaxations,18
R1-2406232,OCC,UE multiplexing technique for uplink capacity improvement,42
R1-2401150,Duty Cycle,Time-domain transmission configuration,8
R1-2406303,LTM,Main topic of the document discussing mobility enhancement procedures,25
R1-2404330,XL-MIMO,Near-field region analysis for extremely large arrays,4
R1-2409720,SIB19,Reception priority vs UL transmission conflicts,15
R1-2400740,UL WUS,Proposed trigger mechanism for on-demand SSB,
R1-2405839,MAC CE,TA reporting mechanism enhancements,8
R1-2402462,PRACH,Power control for PDCCH-order triggered transmissions,3
R1-2407892,Beam Management,Core discussion topic for AI-based enhancements,
R1-2406849,SSB,Adaptation for connected-mode UEs on NCD-SSBs or non-sync-raster SSBs,45
R1-2407916,ISAC,Deployment scenario evaluation parameters,
R1-2403146,CSI prediction,Time-domain prediction using UE-sided models,25
R1-2408910,Wake-Up Signal,Trigger mechanism analysis,8
R1-2409600,ACK/NACK,Feedback mechanism for PRDCH reliability without HARQ,8
R1-2409904,OOK-4,Supported modulation scheme for LP-WUS with M=4 configuration,12
R1-2404229,UCI,Multiplexing limitations in random access,12
R1-2407398,portSubsetIndicator,Restriction on antenna port configurations across CDM groups,8
R1-2401306,OOK,Proposed modulation scheme for low-complexity A-IoT devices.,8
R1-2400454,PSSCH,Association with SL-PRS in shared resource pools,8
R1-2407397,SRS,Clarifications for SRS transmissions outside active BWP in 38.211,28
R1-2408090,CSI-RS,Measurement resource for beam quality reporting,35
R1-2402143,OLPC,Prerequisite for sidelink positioning features,7
R1-2406771,RF-ED,Compared against IF-ED/ZIF architectures in LLS results,15
R1-2406720,CSI Compression,Core focus of the document addressing spatial-temporal compression methods.,45
R1-2405449,SRS-PosResourceSet,Power control configuration for positioning,4
R1-2402549,PCMAX,Maximum power threshold for transmission,8
R1-2406491,Massive MIMO,Target deployment scenario for near-field modeling,9
R1-2409818,TR 38.901,Channel model baseline reference,8
R1-2406056,Channel Estimation Error,Modeled using TR36.897 Table A.1-2 with Gaussian noise,12
R1-2407288,RRC,Semi-static pattern configuration,28
R1-2404180,Midamble,Analysis of midamble necessity for timing tracking and channel estimation,
R1-2404530,Beam Nulling,Proposed as key spatial domain mitigation technique for gNB-gNB CLI,12
R2-2403807,RRC_INACTIVE,Potential application state for bandwidth aggregation,2
R1-2400808,DCI 2_9,Dynamic activation of common channel adaptations using 2-bit indication,7
R1-2402191,UL-WUS,Design considerations including configuration sources (Cell A vs NES cell) and resource allocation,28
R1-2402342,RRM,Measurement gap configurations and cancellation mechanisms for XR traffic,15
R1-2400175,Radar Cross Section,Fundamental ISAC system design parameter,12
R1-2407382,RRC_INACTIVE,State management for multicast service continuity,8
R1-2404893,OFDM,Excluded from study for D2R backscattering in Rel-19,3
R1-2403840,TR 38.848,Initial study document for Ambient IoT,4
R1-2410305,HD-FDD,Collision handling in NTN scenarios,42
R1-2407399,Non-Volatile Memory,Feasibility in A-IoT device design and energy constraints for updates,10
R1-2406147,SSB,SSB pattern stability and periodicity extension considerations,4
R1-2401654,TDD-UL-DL-ConfigCommon,Reference configuration for SBFD symbol allocation,27
R1-2406556,NPRACH,Intra-symbol group OCC and modified frequency hopping,12
R1-2410573,Beam Management,Proposals for event-driven beam switching and reporting,
R1-2405421,SSB,Proposed extension of periodicity up to 640ms for coverage improvement,42
R1-2406479,SSB,Adaptation of SSB periodicity for energy savings in connected/idle modes.,15
R1-2404870,OOK,Modulation scheme for low-power devices,23
R1-2409146,Associated ID,Proposed solution for training/inference consistency,22
R1-2405489,Rel-18 Type II Codebook,Used as baseline for CSI compression in evaluations,18
38.214,Intra-cell Guardband,Handling of PRBs in overlapping scenarios,3
R1-2407585,Sub-band Full Duplex,SBFD TX/RX procedures and CLI handling in agenda item 9.3,23
R1-2405635,DCI format 2_7,TRS availability indication field in DCI format 2_7,3
R1-2410619,PRACH,UL link budget challenges and narrow-beam mapping,10
R1-2408622,groupBasedBeamReporting-r18,Configuration parameter enabling Rel-18 beam reporting,4
R1-2409480,LOS/NLOS,Measurement reporting for AI/ML-assisted positioning,12
R1-2409573,TS 38.214,Defines UE behaviors for PDSCH reception with scheduling offset < timeDurationForQCL,2
R1-2410620,1024QAM,Soft buffer configuration,1
R1-2405749,SL PRS Resource Pool,Dedicated vs shared resource pool configuration differences,7
R1-2409190,DMRS,DMRS configuration types and port mapping procedures,15
R1-2405107,PRACH,Time/spatial domain resource configuration,28
R1-2407366,additionalRACH-ConfigList,Introduced in Rel-17 to support multiple RACH configurations for different features,8
R1-2403316,Msg3 PUSCH,RACH procedure message transmission,12
R1-2406987,Guardband PRBs,Subchannel validity determination,8
R1-24xxxxx,PRACH,Time period determination for multiple transmissions,1
R1-2400524,RFID,Architectural reference for passive/semi-passive device designs,8
R1-2407013,Type-2 HARQ-ACK Codebook,Codebook generation rules during BWP switching,15
R1-2404281,CLI,UE-to-UE and gNB-to-gNB interference management,27
R1-2402352,PSFCH,Associated with PSSCH transmission timing requirements,3
R1-2410728,SRS Resource Set,TPMI determination for different SRS resource set configurations,8
R1-2402241,SBFD,Target deployment scenario for enhancements,32
R1-2400961,RCS,Key parameter for modeling target reflections in sensing.,
R1-2410752,CSI-RS,Port scaling and codebook parameter extensions,28
R1-2410062,MAC-CE,Triggering mechanism for on-demand SSB,12
R1-2406848,UL WUS,Key mechanism for triggering on-demand SIB1 transmissions,12
R1-2400811,LP-SS,Low-power synchronization signal design with 320ms periodicity baseline,8
R1-2408258,TA Reporting,Proposed for finer granularity to reduce scheduling collisions,12
R1-2409232,atg-gNB-Location,IE for configuring gNB location in ATG,2
R1-2402468,OFDM,Waveform design for R2D communications,15
R1-2410914,Beam Management,Evaluation periodicity for Event-2 instances,8
R1-2400215,PCI,Unchanged PCI requirement during satellite switching,5
R1-2410173,MI-Option2,Discussed as a model identification method with dataset transfer.,8
R1-2408966,Ambient IoT,"Core topic of the document, covering use cases, device types, and technical evaluations.",35
R1-2401204,UL-WUS,UE-initiated signal for triggering SIB1 transmission,12
R1-2403774,Reflection Amplifier,Proposed for Device 2a with 10-15dB gain and 300-400µW power,18
R1-2404418,OCC,Main enhancement technique discussed throughout document,142
R1-2404068,38.213,Clauses affected by HARQ-ACK multiplexing procedures,5
R1-2408197,TCI-State,Clause 5.1.5 specification update,12
R1-2404657,BFD/BFR,Interaction analysis with beam failure recovery procedures,12
R1-2402303,PSFCH,Power control formula corrections,15
R1-2402339,C-DRX,Integration with wake-up procedures,15
R1-2404605,3GPP TR 38.843,Referenced for model transfer/delivery case analysis,3
R1-2402842,CSI prediction,Performance comparison between AI/ML and Kalman filter approaches,47
R1-2400948,38.213,Modified specification for UE procedures,5
R1-2408209,Ambient Internet of Things,Core technology enabling batteryless IoT devices through RF energy harvesting,12
R1-2405902,Model Transfer Case z1,Deprioritized due to cross-vendor collaboration issues.,3
R1-2404652,Stochastic Channel Modeling,Proposed as baseline for complex targets,15
S2-2403859,ECC Decision,Basis for NTZ restrictions on UAV transmissions,4
R1-2409842,TCI state,Beam activation and RS derivation for current beam measurement,6
R1-2407414,RedCap,UE behavior in initial access and connected mode configurations,42
R1-2404182,Carrier Wave (CW),Primary focus of waveform comparison and interference analysis,45
