doc_id,wg_name,role_in_group
R1-2408095,RAN WG1,Contribution
R1-2401415,RAN WG1,CR Sponsor
R1-2408225,RAN WG1,Contribution
R1-2400391,RAN WG1,Contribution
R1-2409314,RAN WG1,Change Request
R1-2405632,RAN WG1,Discussion summary for agenda item 9.5.2
R1-2401908,RAN WG1,Specification Contributor
R1-2408818,RAN WG2,Protocol aspects
R1-2403418,RAN WG1,Contribution
R1-2406826,RAN WG1,Technical Proposal
R1-2406751,RAN WG1,Technical Contribution
R1-2406515,RAN WG1,Technical Specification Contribution
R1-2400262,RAN WG1,Technical Contribution
R1-2404342,RAN WG1,Source
R1-2405229,TSG-RAN WG1,Technical Specification Contribution
R1-2401510,RAN WG1,Discussion Summary
R1-2404936,RAN WG1,Technical Contribution
R1-2407224,RAN WG1,Discussion Document
R1-2405645,RAN WG1,Discussion Summary
R1-2408053,RAN WG1,Technical contribution
R1-2408126,RAN WG1,Contribution
R1-2408315,RAN WG1,Contribution
R1-2407222,RAN WG1,Discussion Document
R1-2404015,RAN WG1,Contribution
R1-2404137,RAN WG1,Contribution to Rel-19 AI/ML Work Item
R1-2403973,RAN WG1,Technical Contribution
R1-2403659,RAN WG1,Session Notes
R1-2404390,RAN WG1,Technical contribution
R1-2403661,RAN WG1,Session Notes
R1-2407060,RAN WG1,Technical Contribution
R1-2407739,RAN WG1,Discussion Contributor
R1-2402060,RAN WG1,Technical Proposal
R1-2407459,RAN WG1,Change Request
R1-2400249,RAN WG1,Contribution
R1-2402638,RAN WG1,Contribution
R1-2410135,RAN WG1,Contribution
R1-2408247,RAN WG1,Technical Contribution
R1-24xxxxx,RAN WG1,Session Management
R1-2404820,RAN WG1,Technical contribution
R1-2401745,RAN WG1,CR submission
R1-2407666,RAN WG1,Contribution
R1-2406692,RAN WG1,Contribution
R1-2406714,RAN WG1,Contribution
R1-2409716,RAN WG1,Technical contribution
R1-2409307,RAN WG1,Contribution
CR 0498 rev 1,TSG-RAN WG1,Specification Maintenance
R1-2405253,RAN WG1,Technical proposal submission
R1-2402637,RAN WG1,Technical Contribution
R1-2402586,RAN WG1,Contribution
R1-2401779,RAN WG1,Change Proposal
R1-2410419,RAN WG1,Technical Contribution
R1-2403213,RAN WG1,Technical Proposal
R1-2410828,RAN WG1,Contribution
R1-2401380,TSG-RAN WG1,Contribution
R1-2409988,RAN WG1,Technical Contribution
R1-2408558,RAN WG1,Discussion Document
R1-2408033,RAN WG1,Contribution
R1-2406870,RAN WG1,Contribution
R1-2404139,RAN WG1,Technical Contribution
R1-2406024,RAN WG1,Discussion Document
R1-2401824,RAN WG4,Recipient
R1-2410561,RAN WG1,Contribution
R1-2410046,RAN WG1,Contribution to Agenda 9.3.2
R1-2409763,RAN WG1,Contribution
R1-2404173,RAN WG1,Contribution on UL MIMO enhancements
R1-2402294,RAN1,Response Document
R1-2409300,RAN WG1,Contribution
CR-Form-v12.3,RAN WG1,Specification Amendment
R1-2402666,RAN WG1,Contribution
R1-2400808,RAN WG1,Contribution
R1-2407145,RAN WG1,Contribution for Discussion
R1-2410659,RAN WG1,Contribution
R1-2407577,RAN WG1,Specification Maintenance
R1-2403669,RAN WG1,Change Request Proposal
R1-2407854,RAN WG1,Contribution on Physical Layer Enhancements
R1-2402404,RAN WG1,Technical Contribution
R1-2400479,RAN WG1,Discussion Contribution
R1-2405984,RAN WG1,Discussion Document
R1-2405478,RAN WG1,Change Proposal
R1-2410521,RAN WG1,Contribution
R1-2406963,RAN WG1,Technical Contribution
R1-2408083,RAN WG1,Technical contribution
R1-2401364,RAN WG1,Discussion/Decision document for IoT NTN enhancements
R1-2408554,RAN WG1,Contribution on NTN UL enhancements
R1-2408807,RAN WG1,Contribution
R1-2403439,RAN WG1,Specification maintenance discussion
R1-2403729,RAN WG1,Discussion summary for Rel-19 NES work item
R1-2407416,RAN WG1,Change Request
R1-2401825,RAN WG1,Discussion Document
R1-2409181,RAN WG1,Contribution
R1-2401834,RAN WG1,Specification Maintenance
R1-2409441,RAN WG1,Channel Modeling Contribution
R1-2405938,RAN WG1,Technical Specification Development
R1-2408402,RAN WG1,Technical Specification Development
R1-2408540,RAN WG1,
R1-2400619,RAN WG1,Discussion Document
R1-2402736,RAN WG1,Contribution
R1-2405865,RAN WG1,Contribution
R1-2410089,RAN WG1,Contribution
R1-2410615,RAN WG1,Contribution on beam management
R1-2408438,RAN WG1,Discussion Contributor
R1-2407489,TSG-RAN WG1,Technical Report editor
R1-2409411,RAN WG1,Contribution
R1-2400799,RAN WG1,Contribution
R1-2402549,RAN WG1,Specification Amendment
R1-2402326,RAN WG1,Discussion Document
R1-2410434,RAN WG1,Contribution on NTN RedCap support
R1-2406887,RAN WG1,Contribution
R1-2406389,RAN WG1,Technical Contribution
R1-2404522,RAN WG1,Channel Modeling Contribution
R1-2409895,RAN WG1,Evaluation Contribution
R1-2404871,RAN WG1,Contribution
R1-2410610,TSG-RAN WG1,Contribution on MIMO enhancements
R1-2403636,RAN WG1,Positioning Parameter Specification
R1-2400194,RAN WG1,Technical Contribution
R1-2410512,RAN WG1,Contribution
R1-2407255,RAN WG1,Discussion Document
R1-2401377,RAN WG1,Coverage Enhancement Proposal
R1-2403207,RAN WG1,Channel modeling contribution
R1-2406802,RAN WG1,Contribution
R1-2402628,RAN WG1,Contribution
R1-2408005,RAN WG1,Reply LS Author
R1-2401236,RAN WG1,Contribution
R1-2400160,RAN WG1,Contribution
R1-2410839,RAN WG1,Session Notes
R1-2404900,RAN WG1,Contribution
R1-2407200,RAN WG1,Discussion Lead
R1-2404312,RAN WG1,Technical Contribution
R1-2405080,RAN WG1,Contribution
R1-2404054,RAN WG1,Contribution
R1-2405881,RAN WG1,Discussion Document
R1-2403204,RAN WG1,Agenda Item 9.6.2 Contributor
R1-2408458,RAN WG1,Contribution
R1-2404116,RAN WG1,Contribution
R1-2409761,RAN WG1,Technical contribution
R1-2407371,RAN WG1,Change Request Proposal
R1-2403060,RAN WG1,Contribution
R1-2408833,RAN WG1,Discussion Contributor
R1-2405278,RAN WG1,Coverage Enhancements Work Item Contributor
R1-2406273,RAN WG1,Contribution
R1-2408454,RAN WG1,Technical Contribution
R1-2405634,RAN WG1,Specification amendment
R1-2401028,RAN WG1,Contribution
R1-2409376,RAN WG1,Discussion document for NR physical layer enhancements
R1-2407821,RAN WG1,Contribution
R1-2409317,RAN WG1,Technical contribution
R1-2407626,RAN WG1,Contribution
R1-2401388,RAN WG1,Contribution
R1-2400844,RAN WG1,Discussion Document
R1-2408177,RAN WG1,Contribution
R1-2402497,RAN WG1,Technical Contribution
R1-2405376,RAN WG1,Discussion Document
R1-2407656,RAN WG1,Technical Contribution
R1-2404630,RAN WG1,Contribution for discussion
R1-2402526,RAN WG1,Contribution on physical layer enhancements
R1-2400019,RAN WG1,Liaison Statement recipient
R1-2406131,RAN WG1,Contribution to agenda 9.11.2
R1-2410692,RAN WG1,Discussion Document
R1-2402937,RAN WG1,Contribution
R1-2400864,RAN WG2,Procedure specification
R1-2400360,RAN WG4,Measurement gap specifications
R1-2406421,RAN WG1,Contribution
R1-2406629,RAN WG1,Technical contribution
R1-2402877,RAN WG1,Discussion document
R1-2404300,RAN WG1,Discussion coordination
R1-2403962,RAN WG1,Contribution
R1-2404986,RAN WG1,Specification Change Proposal
R1-2406763,RAN WG1,Technical Contribution
R1-2402623,RAN WG1,Discussion Document
R1-2407750,RAN WG1,Discussion Document
R1-2401660,RAN WG1,Change Request
R1-2405455,RAN WG1,Discussion Document
R1-2403243,RAN WG1,Contribution
R1-2402718,RAN WG1,Technical Contribution
R1-2400327,RAN WG1,Technical contribution
R1-2402178,RAN WG1,Contributor
R1-2410054,RAN WG1,Technical Contribution
R1-2401097,RAN WG1,Discussion lead
R1-2403721,TSG-RAN WG1,Feature Lead Summary
R1-2401601,RAN WG1,Discussion document
R1-2409420,RAN WG1,Contribution
R1-2402377,RAN WG1,Discussion Document
R1-2404208,RAN WG1,Technical Specification
R1-2410614,RAN WG1,Discussion Document
R1-2406784,RAN WG1,Technical Contribution
R1-2406672,RAN WG1,Technical Contribution
R1-2403465,RAN WG1,Discussion Document
R1-2407732,RAN WG1,Technical Contribution
R1-2401587,RAN WG1,Discussion Document
R1-2400374,RAN WG1,Specification Maintenance
R1-2403541,RAN WG1,Contribution
R1-2410726,RAN WG1,Summary document for agenda item 7
R1-2408830,RAN WG1,Discussion on physical layer enhancements
R1-2409902,RAN WG1,Contribution
R1-2406589,RAN WG1,Technical Contribution
R1-2406458,RAN WG1,Discussion Document
R1-2402670,RAN WG1,Contribution to Ambient IoT Standardization
R1-2400577,RAN WG1,Technical Contribution
R1-2402934,RAN WG1,Contribution
R1-2403176,RAN WG1,Specification maintenance
R1-2408587,RAN WG1,Discussion Document
R1-2400231,RAN WG1,Technical Contribution
R1-2400233,RAN WG1,Technical Specification Development
R1-2409791,RAN WG1,Contribution
R1-2408294,RAN WG1,Discussion Document
R1-2410278,RAN WG1,Contribution on NTN UE enhancements
R1-2404277,RAN WG1,Discussion Document
R1-2410214,RAN WG1,Contribution to channel modeling work item
R1-2408760,RAN WG1,Contribution for discussion on ISAC deployment scenarios
R1-2406236,RAN WG1,NTN Physical Layer Specification Contributor
R1-2408646,RAN WG1,Contribution
R1-2410038,RAN WG1,Contribution
R1-2405513,RAN WG1,Change Request Proposal
R1-2406408,RAN WG1,Contribution Document
R1-24XXXXX,RAN WG1,Discussion Coordinator
R1-2401079,RAN WG1,Contribution
R1-2403920,RAN WG1,Technical Proposal
R1-2405149,RAN WG1,Contribution on MIMO enhancements
R1-2406670,RAN WG1,Technical analysis and proposal
R1-2406989,RAN WG1,Specification Maintenance
R1-2401606,RAN WG1,Moderator summary
R1-2404894,RAN WG1,Contribution on network energy saving
R1-2409526,RAN WG1,Specification of physical layer enhancements
R1-2409980,RAN WG1,UL capacity enhancement analysis
R1-2403509,RAN WG1,Discussion document
R1-2407999,RAN WG1,Technical Contribution
R1-2408433,RAN WG1,Technical Contribution
R1-2402258,RAN WG1,Technical discussion
R1-2403433,RAN WG1,Discussion Document
R1-2410204,RAN WG1,Technical Proposal Submission
R1-2406541,RAN WG1,Technical contribution
R1-2404914,RAN WG1,Contribution
R1-2405342,RAN WG1,Technical Contribution
R1-2409009,RAN WG1,Technical contribution
R1-2401797,RAN WG1,Discussion document
R1-2400732,RAN WG1,Contribution
R1-2406459,RAN WG1,Contribution
R1-2406287,RAN WG1,Technical contribution on physical layer aspects
R1-2406450,RAN WG1,Contribution
R1-2407242,RAN WG1,Discussion Moderator
R1-2404525,RAN WG1,Contribution
R1-2402347,RAN WG1,Specification Contributor
R1-2406988,TSG-RAN WG1,Specification Maintenance
R1-2400593,RAN WG1,Contribution
R1-2407924,RAN WG1,Technical Contribution
R1-2409775,RAN WG1,Contribution
R1-2406724,RAN WG1,Technical contribution on physical layer enhancements
R1-2407512,RAN WG1,Source
R1-2404209,RAN WG1,Contribution
R1-2406204,RAN WG1,Contribution
R1-2401093,RAN WG1,Technical Contribution
R1-2405559,RAN WG1,Contribution
R1-2404225,RAN WG1,Contribution
R1-2401245,RAN WG1,Technical contribution
R1-2405405,RAN WG1,Change Request Proposal
R1-2406638,RAN WG1,Contribution
R1-2409163,RAN WG1,Discussion lead for multi-carrier enhancements
R1-2406631,RAN WG1,Change Request
R1-2408527,RAN WG1,Contribution
R1-2408060,RAN WG1,Contribution
R1-2406542,RAN WG1,Technical Contribution
R1-2410459,RAN WG1,Technical contribution
R1-2408215,RAN WG1,Contribution
R1-2402222,RAN WG1,Specification Maintenance
R1-2406377,RAN WG1,Contribution for discussion
R1-2400004,RAN2,Outgoing Liaison Statement
R1-2407482,RAN WG1,Discussion document for NTN enhancements
R1-2406809,RAN WG1,Contribution
R1-2404911,RAN WG1,Technical Specification contribution
R1-2406930,RAN WG1,Technical Contribution
R1-2406798,RAN WG1,Contribution to Rel-18 UE feature standardization
R1-2402766,RAN WG1,Technical Contribution
R1-2404034,RAN WG1,Contribution to NR energy saving features
R1-2410859,RAN WG1,Discussion/Decision Document
R1-2406864,RAN WG4,RF/RRM Requirements
R1-2407674,RAN WG1,Contribution
R1-2400494,RAN WG1,Contribution for discussion on NR energy saving enhancements
R1-2410219,RAN WG1,Contribution
R1-2401304,RAN WG1,Contribution
R1-2400377,RAN WG1,Technical Contribution
R1-2402163,RAN WG1,Contribution on multi-carrier enhancements
R1-2409804,RAN WG1,Contribution
R1-2405727,RAN WG1,Specification Maintenance
R1-2409289,RAN WG1,Discussion moderator
R1-2400235,RAN WG1,Contribution
R1-2401657,RAN WG1,Technical Specification
R1-2403771,RAN WG1,Specification contributor
R1-2400210,RAN WG1,Contribution
R1-2405844,RAN WG1,Technical Specification Contribution
R1-2400520,RAN WG1,Technical Contribution
R1-2400674,RAN WG1,Discussion Contributor
R1-2404081,RAN WG1,Contribution
R1-2406812,RAN WG1,Technical Contribution
R1-2410202,RAN WG1,Technical Contribution
R1-2410290,RAN WG1,Contribution
R1-2401157,RAN WG1,Contribution
R1-2403394,RAN WG1,Contribution
R1-2401538,RAN WG1,Discussion Document
R1-2402971,RAN WG1,Discussion Document
R1-2409517,RAN WG1,Contribution on SCell energy saving mechanisms
R1-2405871,RAN WG1,Contribution
R1-2403913,RAN WG1,Technical Contribution
R1-2407175,RAN WG1,Contribution
R1-2401221,RAN WG1,Technical Contribution
R1-2406493,RAN WG1,Discussion Document
R1-2404634,RAN WG1,Discussion Document
R1-2400761,RAN WG1,Change Proposal
R1-2402361,RAN WG1,Specification maintenance
R1-2405877,RAN WG1,Contribution
R1-2407047,RAN WG1,Mobility Enhancement Specifications
R1-2407107,RAN WG1,Technical contribution on Ambient IoT
R1-2406544,RAN WG1,Contribution
R1-2404844,RAN WG1,Technical Specification Contribution
R1-2402458,RAN WG1,Discussion coordination
R1-2402417,RAN WG1,Specification Amendment
R1-2402442,RAN WG1,Specification Maintenance
R1-2402820,RAN WG1,Contribution
R1-2404483,RAN WG1,Contribution on UE capability specifications
R1-2400698,RAN WG1,Technical contribution
R1-2407990,RAN WG1,Contribution
R1-2410543,RAN WG1,Discussion Document
R1-2404847,RAN WG1,Specification Maintenance
R1-2401696,RAN WG1,Discussion Summary
R1-2400381,RAN WG1,Contribution
R1-2400790,RAN WG1,Technical Contribution
R1-2405983,RAN WG1,Contribution
R4-2321730,RAN WG2,Recipient
R1-2402283,RAN WG1,Contribution to physical layer specification development
R1-2405659,RAN WG1,Discussion/Decision Document
R1-2409484,RAN WG1,Discussion document
R1-2400981,RAN WG1,Specification Development
R1-2406416,RAN WG1,Technical contributor for beam management enhancements
R1-2409105,RAN WG1,Normative work for Rel19 XR enhancements
R1-2410601,RAN WG1,Contribution
R1-2405123,RAN WG1,Contribution
R1-2401255,RAN WG1,Technical Contribution
R1-2401092,RAN WG1,Discussion Contributor
R1-2408414,RAN WG1,Rel-19 NES enhancement specification
R1-2409819,RAN WG1,Contribution
R1-2408713,RAN WG1,Contribution
R1-2403972,RAN WG1,Contribution
R1-2404373,RAN WG1,Contribution
R1-2403349,RAN WG1,CR Submission
R1-2401124,RAN WG1,Discussion Document
R4-2321388,RAN WG4,Technical Specification
R1-2404033,RAN WG1,Contribution to Network Energy Savings Work Item
R1-2403413,RAN WG1,Discussion lead
R1-2400092,RAN WG1,Physical Layer Standardization
R1-2401101,RAN WG1,Contribution
R1-2400380,RAN WG1,Technical Contribution
R1-2407639,RAN WG1,Contribution
R1-2406658,RAN WG1,Discussion Document
R1-2409677,RAN WG1,Contribution
R1-2403577,RAN WG1,Positioning Enhancements Proposal
R1-2405896,RAN WG1,Contribution
R1-2410084,RAN WG1,Contribution on physical layer enhancements
R1-2410769,RAN WG1,Contribution
R1-2402330,RAN WG1,Discussion contributor
R1-2400751,RAN WG1,Contribution on uplink NTN enhancements
R1-2407465,RAN WG1,Specification amendment
R1-2404861,RAN WG1,Technical Contribution
R1-2402672,RAN WG1,Technical Contribution
R1-2410805,RAN WG1,Discussion Contributor
R1-2402474,RAN WG1,Contribution
R1-2409571,RAN WG1,Reply LS on SSB configuration
R1-2404715,RAN WG1,Discussion coordination
R1-2400549,RAN WG1,Contribution
R2-2403915,RAN WG2,Source
R1-2404884,RAN WG1,Contribution
R1-2400328,RAN1,Physical layer aspects leadership
R1-2406489,TSG-RAN WG1,Contribution
R1-2408341,RAN WG1,Contribution on channel modeling
R1-2403182,RAN WG1,Technical Contribution
R1-2408702,RAN WG1,Contribution
R1-2404396,RAN WG1,Contribution
R1-2405571,RAN WG1,Discussion document
R1-2402254,RAN WG1,Contribution
R1-2405343,RAN WG1,Contribution
R1-2402108,RAN WG1,Contribution
R1-2403472,RAN WG1,Contribution
R1-2400689,RAN WG1,Contribution on SBFD enhancements
R1-2408532,RAN WG1,Contribution on A-IoT physical layer design
R1-2402179,RAN WG1,Technical contribution
R1-2400365,RAN WG1,Contribution
R1-2410549,RAN WG1,Contribution on CSI enhancements
R1-2402685,RAN WG1,Technical Contribution
R1-2406004,RAN WG1,Contribution to NTN Phase 3 Work Item
R1-2404873,RAN WG1,Study Item Contribution
R4-2321599,RAN WG4,Specification of radio performance requirements
R1-2407692,RAN WG1,Contribution on AI/ML Air Interface
R1-2410209,RAN WG1,Discussion contribution
R1-2406908,RAN WG1,Change Request
R1-2405087,RAN WG1,Technical Specification Development
R1-2410331,RAN WG1,Technical Contribution
R1-2410710,RAN WG1,Technical Contribution
R1-2402102,RAN WG1,Contribution
R1-2408919,RAN WG2,Protocol impact analysis
R1-2401720,RAN WG1,Technical Specification
R1-2405111,RAN WG1,Technical Contribution
R1-2409741,RAN WG1,Physical Layer Specification Development
R1-2406632,RAN WG1,Specification amendment proposal
R1-2404530,RAN WG1,Discussion Document
R1-2407634,RAN WG1,Contribution on LP-WUS/LP-SS design
R1-2402631,RAN WG1,Contribution
R1-2404959,RAN WG1,Technical Contribution
R1-2405486,RAN WG1,Discussion Moderator
R1-2402121,RAN WG1,Discussion contributor
R1-2404220,RAN WG1,Contribution
R1-2408266,RAN WG1,Contribution on Physical Layer Design
R1-2408842,RAN WG1,Contribution
R1-2408859,RAN WG1,Contribution
R1-2402230,RAN WG1,Technical Contribution
R1-2408192,RAN WG1,Discussion Document
R1-2401187,RAN WG1,Contribution
R1-2400475,RAN WG1,Discussion/Decision
R1-2410767,RAN WG1,Discussion Summary
R1-2410243,RAN WG1,NR_mob_enh2-Core Work Item Contributor
R1-2400841,RAN WG1,Contribution
R1-2403704,RAN WG1,Discussion Lead
R4-2410600,RAN WG4,Specification Development
R1-2400540,RAN WG1,Technical Proposal
R1-2408767,RAN WG1,Contribution
R1-2402202,RAN WG2,Recipient
R1-2409740,RAN WG1,Contribution on ISAC channel modeling
R1-2403910,RAN WG1,Contribution
R1-2407560,RAN WG1,Evaluation Methodology Specification
R1-2403682,RAN WG2,Recipient
R1-2406409,RAN WG1,Contribution to 9.5.1 agenda item
R1-2408325,RAN WG1,Technical Contribution
R1-2408884,RAN WG1,Contribution
R1-2400270,RAN WG1,Contribution
R1-2409732,RAN WG1,Contribution
R1-2408123,RAN WG1,Contribution
R1-24XXXXX,RAN WG1,Discussion and Decision
R1-2407362,RAN WG1,Discussion Document
R2-2407463,RAN WG2,Reply LS on UE capability signaling
R1-2401027,RAN WG1,Contributor
R1-2408057,RAN WG1,Contribution
R4-2321998,RAN WG4,Response to LS from RAN WG2
R1-2409248,RAN WG1,Discussion Summary
R1-2410662,RAN WG1,Discussion and Decision
R1-2400559,RAN WG1,Technical contribution
R1-2409273,RAN WG1,Contribution
R1-2401041,RAN WG1,Contribution
R1-2408017,RAN WG1,Specification maintenance
CR-38.214-Clarification,RAN WG1,Specification Clarification
R1-2402582,RAN WG1,Contributor
R1-2410129,RAN WG1,Contribution
R1-2409516,RAN WG1,Contribution
R1-2410920,RAN WG1,Specification Change Proposal
R1-2407138,RAN WG1,Contribution
R1-2404739,RAN WG1,Contribution
R1-2406141,RAN WG1,Contribution
R1-2402844,RAN WG1,Technical Contribution
R1-2402808,RAN WG1,Contribution
R1-2401756,RAN WG1,Specification Development
R1-2401607,RAN WG1,Discussion Document
R1-2400304,RAN WG1,Technical Contribution
RAN1#119_Schedule,RAN WG1,Meeting Schedule
R1-2401787,RAN WG1,Technical Contribution
R1-2410463,RAN WG1,Contribution on physical layer procedures
R1-2410423,RAN WG1,Discussion Document
R1-2406983,RAN WG1,Contribution
R1-2407728,RAN WG1,Technical Contribution
R1-2402380,RAN WG1,Discussion Document
R1-2405468,RAN WG1,Contribution
R1-2409144,RAN WG1,Discussion Document
R1-2405825,RAN WG1,Discussion/Decision
R1-2400548,RAN WG1,Contribution
R1-2408820,RAN WG1,Technical Contribution
R1-2403997,RAN WG1,Contribution
R1-2404391,RAN WG1,Contribution
R1-2407135,RAN WG1,Technical contribution
R1-2402044,RAN WG1,Physical layer specification development
R1-2402939,RAN WG1,Discussion Lead
R1-2402145,RAN WG1,Technical Contribution
R1-2409738,RAN WG1,Channel modeling technical contribution
R1-2404608,RAN WG1,Contribution
R1-2410711,RAN WG1,Contribution
R1-2404944,RAN WG1,Technical Specification Contribution
R1-2408686,RAN WG1,Contribution
R1-2410427,RAN WG1,Contribution
R1-2400188,RAN WG1,Contribution on AIoT physical layer design
R1-2400871,RAN WG1,Contribution
R1-2409456,RAN WG1,Technical Specification Development
R1-2407530,TSG-RAN WG1,Change Proposal
R1-2401890,RAN WG1,Change Proposal
R1-2404716,RAN WG1,Contribution
R1-2402053,RAN WG1,Contribution
R1-2405758,RAN WG1,Technical Specification Contributor
R1-2405314,TSG-RAN WG1,Change Request
R1-2402334,RAN WG1,Contribution to Agenda Item 9.5.1
R1-2402817,RAN WG1,Contribution
R1-2404553,RAN WG1,Contribution
R1-2403198,RAN WG1,Contribution
R1-2405930,RAN WG1,Specification contributor
R1-2402625,RAN WG1,Contribution
R1-2409849,RAN WG1,Contribution for IoT-NTN TDD mode specification
R1-2405117,RAN WG1,Work Item contributor for Rel-18 NTN enhancements
R1-2404428,RAN WG1,Technical Contribution
R1-2408500,RAN WG1,Contribution
R1-2407162,RAN WG1,Contribution
R1-2403410,RAN WG1,Positioning Enhancements Maintenance
R1-2400752,RAN WG1,Contribution
R1-2406023,RAN WG1,Contribution
R1-2406834,RAN WG1,Contribution
R1-2402547,RAN WG1,RAN1-led physical layer design
R1-2402931,RAN WG1,Contribution
R1-2406849,RAN WG1,Contribution
R1-2410338,RAN WG1,Discussion Document
R1-2407562,RAN WG1,Specification Maintenance
R1-2400797,RAN WG1,Contribution on AI/ML framework
R1-2410789,RAN WG1,Discussion Summary
R1-2404161,RAN WG1,Technical Specification Maintenance
R1-2404626,RAN WG1,Contribution
R1-2401224,RAN WG1,Contribution
R1-2403226,RAN WG1,Change Proposal
R1-2408553,RAN WG1,Discussion Document
R1-9411-1,RAN WG1,Contribution
R1-2407985,RAN WG1,Change Proposal
R1-2404776,RAN WG1,Technical Contribution
R1-2407054,RAN WG1,Discussion Document
R1-2408305,RAN WG1,Technical contribution on mobility enhancements
R1-2408839,RAN WG1,Contribution
R1-2410817,RAN WG1,Moderated Discussion Document
R1-2404388,RAN WG2,Coordination Required
R1-2409841,RAN WG1,Contribution
R1-2401643,RAN WG1,Discussion summary for UE features
R1-2410869,TSG-RAN WG1,Specification Contributor
R1-2400888,RAN WG1,Contribution on Ambient IoT physical layer
R1-2403205,RAN WG1,Design Proposal
R1-2410383,RAN WG1,Technical contribution
R1-2402302,RAN WG1,Technical Specification maintenance
R1-2400248,RAN WG1,Contribution
R1-2405112,RAN WG1,Contribution
S1-242527,SA WG1,Liaison Statement
R1-2403814,RAN WG1,Specification Drafting
R1-2407122,RAN WG1,Technical contribution
R1-2401329,RAN WG1,Contribution
R1-2406941,RAN WG1,Lead contributor for LP-WUS/LP-SS L1 design
R1-2408308,RAN WG1,Contribution
R1-2403880,RAN WG1,Technical Contribution
R1-2406115,RAN WG1,Technical Specification Contribution
R1-2400068,RAN WG1,Contribution
R1-2408286,RAN WG1,Reply to LS on physical layer aspects
R1-2401317,RAN WG1,Technical Specification Development
R1-2404658,RAN WG1,Discussion Document
R1-2405490,RAN WG1,Discussion Document
R1-2405753,TSG-RAN WG1,Specification Maintenance
R1-2401096,RAN WG1,Maintenance of NR NTN specifications
R1-2408346,RAN WG1,Contribution
R1-2408552,RAN WG1,Technical Contribution
R1-2408211,RAN WG1,Contribution
R1-2410620,RAN WG1,Technical Specification
R1-2404881,RAN WG1,Contribution
R1-2408296,RAN WG1,Contribution
R1-2405438,RAN WG1,Discussion and decision document
R1-2402144,RAN WG1,Contribution to Rel-19 AI/ML Work Item
R1-2404644,RAN WG1,CR Proposal
R1-2401506,RAN WG1,Discussion Document
R1-2400554,RAN WG1,Technical Contribution
R1-2406609,RAN WG1,Contribution
R1-2408288,RAN WG1,Change Request
R1-2403477,RAN WG1,Feature Lead Summary
R1-2405367,RAN WG1,Discussion Document
R1-2408569,RAN WG1,Contribution
R1-2400284,RAN WG1,Technical Contribution
R1-2410770,RAN WG1,Discussion lead
R1-2403185,RAN WG1,Technical contribution
R1-2401099,RAN WG1,Technical Specification
R1-2410240,RAN WG1,Contribution on IoT-NTN uplink enhancements
R1-2404117,RAN WG1,Discussion Document
R1-2406905,RAN WG1,Discussion Document
R1-2404993,RAN WG1,Technical Specification
R1-2410824,RAN WG1,Discussion Document
R1-2405826,RAN WG1,Contribution on Physical Layer Design
R1-2408806,RAN WG1,Technical Contribution
R1-2402067,RAN WG1,Technical contribution
R1-2405394,RAN WG1,Specification Development
R1-2407871,RAN WG1,Contribution
R1-2405630,RAN WG1,Discussion document for AI 9.5.3
R1-2409986,RAN WG1,Contribution on AI/ML positioning
R1-2407511,RAN WG1,Discussion and Decision Document
R1-2406618,RAN WG1,Contribution
R1-2401859,RAN WG1,Technical Specification Contribution
R1-2404476,RAN WG1,Contribution
R1-2408901,RAN WG1,Contribution
R1-2402074,RAN WG1,Technical Contribution
R1-2403200,RAN WG1,Contribution
R1-2406929,RAN WG1,Discussion Document
R1-2402344,RAN WG1,Technical Contribution
R1-2407925,RAN WG1,Contribution
R1-2400766,RAN WG1,Contribution
R1-2406562,RAN WG1,Contribution
R1-2401281,RAN WG1,Contribution
R1-2401351,RAN WG1,Technical Contribution
R1-2401673,RAN WG1,Discussion document
R1-2400451,RAN WG1,Technical contribution
R1-2403757,RAN WG1,Change Request
R1-2400509,RAN WG1,Contribution
R1-2409998,RAN WG1,Discussion document
R1-2400899,RAN WG1,Technical Discussion Document
R1-2408485,RAN WG1,Discussion input
R1-2404450,RAN WG1,Technical Contribution
R1-2402291,RAN WG1,Discussion and Decision
R1-2410501,RAN WG1,Technical Contribution
R1-2401248,RAN WG1,Coverage enhancement proposals
R1-2405876,RAN WG1,Technical Contribution
R1-2404132,RAN WG1,Contribution
R1-2404699,RAN WG1,Contributor
R1-2407128,RAN WG1,Technical Contribution
R1-2404537,RAN WG1,Positioning enhancements specification
R1-2401916,RAN WG1,Contribution
R1-2406656,RAN WG1,Technical Proposal
R1-2409744,RAN WG1,Technical Contribution
R1-2409303,RAN WG1,Change Request
R1-2402124,RAN WG1,Technical contribution
R1-2400994,RAN WG1,Technical contribution
R1-2400780,RAN WG1,Contribution
R1-2408381,RAN WG1,Discussion Document for Agenda 9.1.2
R1-2401617,RAN WG1,Contribution
R1-2312623,RAN WG1,Contribution on coverage enhancement proposals
R1-2401553,RAN WG1,Coverage Enhancement Specification
R1-2404762,RAN WG1,Technical Discussion Contributor
R1-2410280,RAN WG1,Contribution on Physical Layer Enhancements
R1-240xxxx,RAN WG1,Moderator summary
R1-2406215,TSG-RAN WG1,Technical Contribution
R1-2410500,RAN WG1,Discussion Lead
R1-2400215,RAN WG1,Contribution on satellite switching procedures
R1-2400560,RAN WG1,Contribution for discussion
